ob_id,asset,symbol,direction,timeframe,creation_timestamp,creation_bar_index,confirmation_timestamp,confirmation_bar_index,decision_timestamp,decision_bar_index,top_price,bottom_price,zone_size,zone_size_percent,zone_midpoint,entry_price,sl_price,tp_price,risk_distance,stop_distance_percent,atr_at_decision,atr_normalized_stop_distance,leverage,source_candle_index,source_candle_timestamp,source_candle_open,source_candle_high,source_candle_low,source_candle_close,source_candle_volume,break_type,structure_origin,trend_before_break,internal_trend_at_decision,swing_trend_at_decision,structural_event_id,qualification_status,invalidation_status,invalidation_bar_index,invalidation_timestamp,first_touch_occurred,first_touch_bar_index,first_touch_timestamp,first_touch_price,first_touch_result,realized_r,holding_bars,mfe_r,mae_r,feature_cutoff_timestamp,feat_ob_width_pct,feat_ob_width_atr,feat_stop_distance_pct,feat_stop_distance_atr,feat_entry_depth_in_zone,feat_mitigation_depth_pct,feat_formation_body_ratio,feat_formation_range_atr,feat_displacement_atr,feat_bars_since_formation,feat_bars_since_break,feat_pre_decision_retests,feat_price_to_entry_atr,feat_is_bos,feat_is_choch,feat_origin_swing,feat_trend_align_internal,feat_trend_align_swing,feat_premium_discount,feat_dist_nearest_pivot_atr,feat_atr_pct,feat_atr_percentile,feat_realized_vol_20,feat_vol_expansion,feat_ret_5,feat_ret_15,feat_ret_50,feat_volume_ratio,feat_direction_long
XRPUSD_13912_BEARISH_13886_13887,XRPUSD,XRPUSD,SHORT,1h,2025-12-31T14:00:00+00:00,13886,2025-12-31T15:00:00+00:00,13887,2026-01-01T16:00:00+00:00,13912,1.8824,1.863,0.0194,1.0413,1.8727,1.86785,1.8824,1.84,0.01455,0.779,0.012554,1.159,44,13886,2025-12-31T14:00:00+00:00,1.8752,1.8824,1.863,1.8662,1543675.0,choch,internal,BEARISH,BULLISH,BEARISH,internal|choch|brk13887|form13886,QUALIFIED_SHORT,INVALIDATED,13923,2026-01-02T03:00:00+00:00,True,13913,2026-01-01T17:00:00+00:00,1.863,TOUCH_HIT_SL,-1.0,11,0.299,1.6735,2026-01-01T16:00:00+00:00,1.040828,1.54533,0.77897,1.158997,0.953608,0.185567,0.463918,1.54533,0.557593,26.0,25.0,1.0,0.314642,0.0,1.0,0.0,0.0,1.0,0.498586,0.063725,0.673532,0.5,0.277658,0.677077,0.506875,1.2824,-0.459279,0.884819,0.0
BTCUSD_13956_BEARISH_13948_13951,BTCUSD,BTCUSD,SHORT,1h,2026-01-03T04:00:00+00:00,13948,2026-01-03T07:00:00+00:00,13951,2026-01-03T12:00:00+00:00,13956,90459.0,90001.0,458.0,0.5089,90230.0,90001.0,90459.0,89215.86,458.0,0.5089,437.151698,1.0477,68,13948,2026-01-03T04:00:00+00:00,90288.5,90459.0,90001.0,90130.5,294373.0,choch,internal,BEARISH,BULLISH,BULLISH,internal|choch|brk13951|form13948,QUALIFIED_SHORT,INVALIDATED,13965,2026-01-03T21:00:00+00:00,True,13957,2026-01-03T13:00:00+00:00,90001.0,TOUCH_HIT_SL,-1.0,9,0.2795,1.583,2026-01-03T12:00:00+00:00,0.508824,1.047691,0.508883,1.047691,0.977074,0.052402,0.344978,1.047691,0.66796,8.0,5.0,0.0,0.024019,0.0,1.0,0.0,0.0,0.0,0.749128,0.033169,0.485662,13.5,0.224682,0.909295,0.52209,-0.013885,2.468609,0.570067,0.0
SOLUSD_14005_BULLISH_13987_13993,SOLUSD,SOLUSD,LONG,1h,2026-01-04T19:00:00+00:00,13987,2026-01-05T01:00:00+00:00,13993,2026-01-05T13:00:00+00:00,14005,134.2063,133.106,1.1003,0.8266,133.65615,133.931225,133.106,135.35,0.825225,0.6162,1.011578,0.8158,56,13987,2026-01-04T19:00:00+00:00,134.2063,134.2063,133.106,133.576,65145.0,bos,internal,BULLISH,BEARISH,BULLISH,internal|bos|brk13993|form13987,QUALIFIED_LONG,INVALIDATED,14078,2026-01-08T14:00:00+00:00,True,14006,2026-01-05T14:00:00+00:00,134.2063,TOUCH_HIT_TP,1.7193,1,2.0683,0.9321,2026-01-05T13:00:00+00:00,0.822427,1.087706,0.616156,0.81578,0.618922,0.892757,0.572844,1.087706,1.197139,18.0,12.0,0.0,0.142574,1.0,0.0,0.0,0.0,1.0,0.70566,0.000989,0.756111,29.0,0.48745,2.129346,-1.042923,-0.298091,2.365814,1.119345,1.0
SOLUSD_14013_BEARISH_13428_13431,SOLUSD,SOLUSD,SHORT,1h,2025-12-12T12:00:00+00:00,13428,2025-12-12T15:00:00+00:00,13431,2026-01-05T21:00:00+00:00,14013,139.9,138.379,1.521,1.0992,139.1395,138.75925,139.9,136.8,1.14075,0.8221,1.046946,1.0896,42,13428,2025-12-12T12:00:00+00:00,138.729,139.9,138.379,139.669,66262.0,choch,internal,BEARISH,BULLISH,BULLISH,internal|choch|brk13431|form13428,QUALIFIED_SHORT,INVALIDATED,14021,2026-01-06T05:00:00+00:00,True,14014,2026-01-05T22:00:00+00:00,138.379,TOUCH_HIT_SL,-1.0,8,1.6298,1.1753,2026-01-05T21:00:00+00:00,1.09883,1.452797,0.822107,1.089598,0.973044,0.988297,0.618014,1.452797,4.816866,585.0,582.0,2.0,0.324038,0.0,1.0,0.0,0.0,0.0,0.901537,0.0,0.756355,57.0,0.537998,0.832899,2.210047,2.073624,5.034716,1.374193,0.0
SOLUSD_14014_BEARISH_13422_13503,SOLUSD,SOLUSD,SHORT,1h,2025-12-12T06:00:00+00:00,13422,2025-12-15T15:00:00+00:00,13503,2026-01-05T22:00:00+00:00,14014,140.162,138.75,1.412,1.0177,139.456,139.103,140.162,137.29,1.059,0.7613,1.046111,1.0123,45,13422,2025-12-12T06:00:00+00:00,138.929,140.162,138.75,139.18,92266.0,choch,internal,BEARISH,BULLISH,BULLISH,internal|choch|brk13503|form13422,QUALIFIED_SHORT,INVALIDATED,14030,2026-01-06T14:00:00+00:00,True,14015,2026-01-05T23:00:00+00:00,138.75,TOUCH_HIT_TP,1.712,2,2.0803,0.0,2026-01-05T22:00:00+00:00,1.017235,1.349761,0.761306,1.01232,0.959207,0.801841,0.177762,1.349761,3.470949,592.0,511.0,3.0,0.282379,0.0,1.0,0.0,0.0,0.0,0.926749,0.007265,0.753641,57.0,0.540096,0.841211,1.654803,2.511392,5.161256,1.061255,0.0
SOLUSD_14032_BULLISH_14023_14030,SOLUSD,SOLUSD,LONG,1h,2026-01-06T07:00:00+00:00,14023,2026-01-06T14:00:00+00:00,14030,2026-01-06T16:00:00+00:00,14032,139.1,137.338,1.762,1.283,138.219,138.6595,137.338,140.92,1.3215,0.9531,1.087276,1.2154,36,14023,2026-01-06T07:00:00+00:00,139.019,139.1,137.338,137.578,80339.0,bos,internal,BULLISH,BEARISH,BULLISH,internal|bos|brk14030|form14023,QUALIFIED_LONG,INVALIDATED,14033,2026-01-06T17:00:00+00:00,True,14033,2026-01-06T17:00:00+00:00,139.1,TOUCH_HIT_SL,-1.0,1,0.409,1.7098,2026-01-06T16:00:00+00:00,1.268365,1.620564,0.953054,1.215423,0.897276,0.534052,0.817821,1.620564,2.677334,9.0,2.0,0.0,0.23867,1.0,0.0,0.0,0.0,1.0,0.724355,0.038629,0.782669,83.5,0.79804,3.532683,-0.422912,0.989401,2.93575,1.907345,1.0
ETHUSD_14037_BEARISH_14031_14033,ETHUSD,ETHUSD,SHORT,1h,2026-01-06T15:00:00+00:00,14031,2026-01-06T17:00:00+00:00,14033,2026-01-06T21:00:00+00:00,14037,3301.35,3260.25,41.1,1.2606,3280.8,3270.525,3301.35,3217.68,30.825,0.9425,21.338608,1.4446,37,14031,2026-01-06T15:00:00+00:00,3277.3,3301.35,3260.25,3271.45,3241797.0,choch,internal,BEARISH,BULLISH,BULLISH,internal|choch|brk14033|form14031,QUALIFIED_SHORT,INVALIDATED,14206,2026-01-13T22:00:00+00:00,True,14038,2026-01-06T22:00:00+00:00,3260.25,TOUCH_HIT_TP,1.7144,12,2.3577,0.9968,2026-01-06T21:00:00+00:00,1.254713,1.926086,0.942509,1.444565,0.625304,0.96837,0.142336,1.926086,2.612635,6.0,4.0,0.0,0.240175,0.0,1.0,0.0,0.0,0.0,0.85754,0.04452,0.651431,70.0,0.629387,2.945366,0.758228,1.092508,4.589866,1.12539,0.0
SOLUSD_14055_BULLISH_13998_14011,SOLUSD,SOLUSD,LONG,1h,2026-01-05T06:00:00+00:00,13998,2026-01-05T19:00:00+00:00,14011,2026-01-07T15:00:00+00:00,14055,135.7,134.627,1.073,0.797,135.1635,135.43175,134.627,136.81,0.80475,0.5942,1.129963,0.7122,58,13998,2026-01-05T06:00:00+00:00,135.048,135.7,134.627,135.608,43722.0,choch,internal,BULLISH,BEARISH,BULLISH,internal|choch|brk14011|form13998,QUALIFIED_LONG,INVALIDATED,14059,2026-01-07T19:00:00+00:00,True,14056,2026-01-07T16:00:00+00:00,135.7,TOUCH_HIT_SL,-1.0,4,1.525,1.2821,2026-01-07T15:00:00+00:00,0.790849,0.949589,0.594211,0.712192,0.978565,0.432432,0.521901,0.949589,0.770822,57.0,44.0,0.0,0.217043,0.0,1.0,0.0,0.0,1.0,0.397327,0.00885,0.832833,100.0,0.757779,2.534596,-1.353081,-3.004718,1.412693,1.152088,1.0
SOLUSD_14080_BEARISH_14068_14076,SOLUSD,SOLUSD,SHORT,1h,2026-01-08T04:00:00+00:00,14068,2026-01-08T12:00:00+00:00,14076,2026-01-08T16:00:00+00:00,14080,138.36,136.425,1.935,1.4184,137.3925,136.90875,138.36,134.42,1.45125,1.06,1.165688,1.245,33,14068,2026-01-08T04:00:00+00:00,136.749,138.36,136.425,137.658,64655.0,bos,internal,BEARISH,BULLISH,BEARISH,internal|bos|brk14076|form14068,QUALIFIED_SHORT,INVALIDATED,14081,2026-01-08T17:00:00+00:00,True,14081,2026-01-08T17:00:00+00:00,136.425,TOUCH_HIT_SL,-1.0,1,0.0,1.3542,2026-01-08T16:00:00+00:00,1.400145,1.659963,1.060013,1.244973,0.082687,0.922481,0.469767,1.659963,0.583346,12.0,4.0,1.0,1.107715,1.0,0.0,0.0,0.0,1.0,0.507951,0.005147,0.843479,100.0,0.738472,1.708862,2.54736,0.995338,-2.689762,1.599095,0.0
BTCUSD_14081_BEARISH_14065_14070,BTCUSD,BTCUSD,SHORT,1h,2026-01-08T01:00:00+00:00,14065,2026-01-08T06:00:00+00:00,14070,2026-01-08T17:00:00+00:00,14081,91660.0,91268.0,392.0,0.4295,91464.0,91268.0,91660.0,90596.0,392.0,0.4295,474.978981,0.8253,81,14065,2026-01-08T01:00:00+00:00,91369.0,91660.0,91268.0,91395.0,151460.0,bos,internal,BEARISH,BULLISH,BEARISH,internal|bos|brk14070|form14065,QUALIFIED_SHORT,INVALIDATED,14103,2026-01-09T15:00:00+00:00,True,14082,2026-01-08T18:00:00+00:00,91268.0,TOUCH_HIT_TP,1.7143,3,1.8827,0.426,2026-01-08T17:00:00+00:00,0.429213,0.8253,0.429504,0.8253,0.841837,0.360969,0.066327,0.8253,1.990614,16.0,11.0,0.0,0.130532,1.0,0.0,0.0,0.0,1.0,0.374375,0.033686,0.520069,100.0,0.417613,1.286373,1.520642,0.433824,-2.442932,1.864174,0.0
