Trade_Number,Asset,Direction,OB_Zone_Low,OB_Zone_High,OB_Width,Setup_Time_IST,Entry_Execution_Time_IST,Exit_Completion_Time_IST,Trade_Duration,Entry_Price,Stop_Loss_Price,Take_Profit_Price,Stop_Loss_Distance_Pct,Leverage,Actual_SL_Risk_Pct,TP_Target_Return_Pct,Outcome,Realized_R,Cumulative_Realized_R,Starting_Account_Balance_USD,Position_Notional_USD,Exchange_Fees_USD,Gross_PnL_USD,Net_PnL_USD,Ending_Account_Balance_USD,Trade_Narrative
1,SOLUSD,LONG,157.948,159.289,1.341,2024-06-11 04:30:00 IST,2024-06-11 04:36:24 IST,2024-06-11 06:47:29 IST,2h 11m 5s,158.9537,157.948,159.9075,0.6327,55.32,35.0,33.19,FILLED_SL,-1.0,-1.0,10.000000,553.157470,0.442526,-3.500000,-3.942526,6.057474,"Filled at 158.9537, consolidated for 2 bars, then reversed to breach distal SL at 157.9480."
2,SOLUSD,LONG,145.645,148.295,2.65,2024-06-14 00:30:00 IST,2024-06-14 01:36:13 IST,2024-06-14 07:45:21 IST,6h 9m 8s,147.6325,145.645,148.5183,1.3462,26.0,35.0,15.6,FILLED_TP,0.4457,-0.5543,6.057474,157.483276,0.125987,0.944900,0.818913,6.876387,Price expanded in trade direction to hit fixed +0.60% TP at 148.5183.
3,SOLUSD,LONG,130.418,132.906,2.488,2024-06-20 21:30:00 IST,2024-06-20 22:02:50 IST,2024-06-20 22:15:09 IST,0h 12m 19s,132.284,130.418,133.0777,1.4106,24.81,35.0,14.89,FILLED_TP,0.4254,-0.129,6.876387,170.617682,0.136494,1.023706,0.887212,7.763599,Price expanded in trade direction to hit fixed +0.60% TP at 133.0777.
4,SOLUSD,SHORT,134.25,135.785,1.535,2024-06-22 03:30:00 IST,2024-06-22 04:04:47 IST,2024-06-22 04:15:58 IST,0h 11m 11s,134.6337,135.785,133.8259,0.8551,40.93,35.0,24.56,FILLED_TP,0.7017,0.5727,7.763599,317.771863,0.254217,1.906631,1.652414,9.416013,Price expanded in trade direction to hit fixed +0.60% TP at 133.8259.
5,SOLUSD,LONG,133.208,134.335,1.127,2024-06-22 13:30:00 IST,2024-06-22 14:04:19 IST,2024-06-22 14:15:56 IST,0h 11m 37s,134.0532,133.208,134.8576,0.6305,55.51,35.0,33.31,FILLED_TP,0.9516,1.5243,9.416013,522.669608,0.418136,3.136018,2.717882,12.133895,Price expanded in trade direction to hit fixed +0.60% TP at 134.8576.
6,SOLUSD,LONG,133.11,134.265,1.155,2024-06-23 15:30:00 IST,2024-06-23 16:06:40 IST,2024-06-23 19:44:16 IST,3h 37m 36s,133.9762,133.11,134.7801,0.6466,54.13,35.0,32.48,FILLED_SL,-1.0,0.5243,12.133895,656.829779,0.525464,-4.246863,-4.772327,7.361568,"Filled at 133.9762, consolidated for 4 bars, then reversed to breach distal SL at 133.1100."
7,SOLUSD,LONG,146.918,148.3682,1.4502,2024-07-02 19:30:00 IST,2024-07-02 19:56:54 IST,2024-07-02 20:12:00 IST,0h 15m 6s,148.0057,146.918,148.8937,0.7349,47.63,35.0,28.58,FILLED_TP,0.8165,1.3408,7.361568,350.612573,0.280490,2.103675,1.823185,9.184753,Price expanded in trade direction to hit fixed +0.60% TP at 148.8937.
8,SOLUSD,SHORT,133.925,135.9,1.975,2024-07-05 20:30:00 IST,2024-07-05 21:06:33 IST,2024-07-05 21:17:20 IST,0h 10m 47s,134.4188,135.9,133.6122,1.102,31.76,35.0,19.06,FILLED_TP,0.5445,1.8852,9.184753,291.720547,0.233376,1.750323,1.516947,10.701700,Price expanded in trade direction to hit fixed +0.60% TP at 133.6122.
9,SOLUSD,SHORT,134.059,135.977,1.918,2024-07-06 08:30:00 IST,2024-07-06 09:03:02 IST,2024-07-06 09:14:51 IST,0h 11m 49s,134.5385,135.977,133.7313,1.0692,32.73,35.0,19.64,FILLED_TP,0.5612,2.4464,10.701700,350.314028,0.280251,2.101884,1.821633,12.523333,Price expanded in trade direction to hit fixed +0.60% TP at 133.7313.
10,SOLUSD,LONG,138.596,140.646,2.05,2024-07-11 08:30:00 IST,2024-07-11 09:00:28 IST,2024-07-11 09:13:30 IST,0h 13m 2s,140.1335,138.596,140.9743,1.0972,31.9,35.0,19.14,FILLED_TP,0.5469,2.9933,12.523333,399.498188,0.319599,2.396989,2.077391,14.600723,Price expanded in trade direction to hit fixed +0.60% TP at 140.9743.
11,SOLUSD,LONG,139.256,141.8,2.544,2024-07-11 19:30:00 IST,2024-07-11 19:54:00 IST,2024-07-11 20:10:11 IST,0h 16m 11s,141.164,139.256,142.011,1.3516,25.89,35.0,15.54,FILLED_TP,0.4439,3.4372,14.600723,378.083744,0.302467,2.268502,1.966035,16.566759,Price expanded in trade direction to hit fixed +0.60% TP at 142.0110.
12,SOLUSD,LONG,135.245,138.6,3.355,2024-07-11 20:30:00 IST,2024-07-11 21:57:26 IST,2024-07-11 22:12:22 IST,0h 14m 56s,137.7612,135.245,138.5878,1.8265,19.16,35.0,11.5,FILLED_TP,0.3285,3.7657,16.566759,317.452596,0.253962,1.904716,1.650754,18.217512,Price expanded in trade direction to hit fixed +0.60% TP at 138.5878.
13,SOLUSD,SHORT,161.626,163.603,1.977,2024-07-19 08:30:00 IST,2024-07-19 09:46:23 IST,2024-07-19 10:05:38 IST,0h 19m 15s,162.1202,163.603,161.1475,0.9146,38.27,35.0,22.96,FILLED_TP,0.656,4.4217,18.217512,697.150351,0.557720,4.182902,3.625182,21.842694,Price expanded in trade direction to hit fixed +0.60% TP at 161.1475.
14,SOLUSD,SHORT,169.3945,172.754,3.3595,2024-07-20 05:30:00 IST,2024-07-20 06:52:14 IST,2024-07-20 11:52:45 IST,5h 0m 31s,170.2344,172.754,169.213,1.4801,23.65,35.0,14.19,FILLED_TP,0.4054,4.8271,21.842694,516.518169,0.413215,3.099109,2.685894,24.528589,Price expanded in trade direction to hit fixed +0.60% TP at 169.2130.
15,SOLUSD,SHORT,173.962,175.634,1.672,2024-07-20 22:30:00 IST,2024-07-20 23:13:18 IST,2024-07-20 23:20:30 IST,0h 7m 12s,174.38,175.634,173.3337,0.7191,48.67,35.0,29.2,FILLED_TP,0.8344,5.6614,24.528589,1193.822452,0.955058,7.162935,6.207877,30.736465,Price expanded in trade direction to hit fixed +0.60% TP at 173.3337.
16,SOLUSD,SHORT,177.265,178.706,1.441,2024-07-24 16:30:00 IST,2024-07-24 16:36:03 IST,2024-07-24 17:58:04 IST,1h 22m 1s,177.6252,178.706,176.5595,0.6084,57.52,35.0,34.51,FILLED_TP,0.9861,6.6475,30.736465,1768.078027,1.414462,10.608468,9.194006,39.930471,Price expanded in trade direction to hit fixed +0.60% TP at 176.5595.
17,SOLUSD,LONG,179.166,183.09,3.924,2024-07-27 20:30:00 IST,2024-07-27 21:08:37 IST,2024-07-27 21:17:52 IST,0h 9m 15s,182.109,179.166,183.2017,1.6161,21.66,35.0,12.99,FILLED_TP,0.3713,7.0188,39.930471,864.795910,0.691837,5.188775,4.496939,44.427410,Price expanded in trade direction to hit fixed +0.60% TP at 183.2017.
18,SOLUSD,LONG,182.603,184.245,1.642,2024-07-30 02:30:00 IST,2024-07-30 03:01:59 IST,2024-07-30 03:14:52 IST,0h 12m 53s,183.8345,182.603,184.9375,0.6699,52.25,35.0,31.35,FILLED_TP,0.8957,7.9145,44.427410,2321.195081,1.856956,13.927170,12.070214,56.497624,Price expanded in trade direction to hit fixed +0.60% TP at 184.9375.
19,SOLUSD,SHORT,181.454,184.844,3.39,2024-07-31 06:30:00 IST,2024-07-31 11:49:50 IST,2024-07-31 17:50:27 IST,6h 0m 37s,182.3015,184.844,181.2077,1.3947,25.1,35.0,15.06,FILLED_TP,0.4302,8.3447,56.497624,1417.840938,1.134273,8.507046,7.372773,63.870397,Price expanded in trade direction to hit fixed +0.60% TP at 181.2077.
20,SOLUSD,SHORT,141.273,143.809,2.536,2024-08-06 10:30:00 IST,2024-08-06 10:48:58 IST,2024-08-06 11:07:19 IST,0h 18m 21s,141.907,143.809,141.0556,1.3403,26.11,35.0,15.67,FILLED_TP,0.4477,8.7923,63.870397,1667.865280,1.334292,10.007192,8.672899,72.543297,Price expanded in trade direction to hit fixed +0.60% TP at 141.0556.
