date,trades,wins,losses,win_rate_pct,ending_capital_net,ending_capital_gross
2026-08-01,3,1,2,33.33,4.6514,6.2796
2026-08-03,4,2,2,50.0,3.3777,5.5922
2026-08-04,1,1,0,100.0,5.1605,8.8717
2026-08-05,2,1,1,50.0,4.5006,8.4015
2026-08-06,1,1,0,100.0,8.043,15.749
2026-08-08,2,0,2,0.0,2.5144,6.6539
2026-08-09,1,1,0,100.0,8.2873,23.6286
2026-08-10,1,0,1,0.0,4.7233,15.3586
2026-08-11,2,1,1,50.0,4.271,16.0576
2026-08-12,3,1,2,33.33,2.1013,10.8194
2026-08-13,2,2,0,100.0,4.8281,26.7402
2026-08-14,1,0,1,0.0,2.9686,17.3811
2026-08-17,2,1,1,50.0,2.1833,16.3592
2026-08-19,1,1,0,100.0,3.9913,31.4116
