trade_number,asset,direction,ob_creation_time,entry_time,exit_time,entry_price,ob_high,ob_low,sl_price,tp_price,sl_distance_pct,leverage,tp_return_pct,fill_candle,exit_candle,exit_price,outcome,realized_r,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,notional_size_usd,fees_usd,net_pnl_usd,ending_capital_net,is_ambiguous,sl_bucket,autopsy_narrative,loss_mechanism
1,SOLUSD,SHORT,2026-08-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,2026-08-01 16:00:00+00:00,73.0763,73.497,72.936,73.497,72.4916,0.5758,60.7883,48.6307,"{'dt': '2026-08-01 00:00:00+00:00', 'open': 72.8819, 'high': 73.157, 'low': 72.876, 'close': 73.006}","{'dt': '2026-08-01 16:00:00+00:00', 'open': 72.786, 'high': 72.937, 'low': 72.45, 'close': 72.6954}",72.4916,FILLED_TP,1.3894,10.0,4.863066,14.863066,10.0,607.883244,0.486307,4.376759,14.376759,False,0.50-0.70%,Price expanded in trade direction to hit fixed 0.8% TP (72.49) in candle [72.45 - 72.94].,N/A
2,ETHUSD,LONG,2026-08-01 16:00:00+00:00,2026-08-01 16:00:00+00:00,2026-08-01 17:00:00+00:00,1866.5375,1868.05,1862.0,1862.0,1881.4698,0.2431,143.9753,115.1803,"{'dt': '2026-08-01 16:00:00+00:00', 'open': 1869.15, 'high': 1872.95, 'low': 1865.15, 'close': 1867.95}","{'dt': '2026-08-01 17:00:00+00:00', 'open': 1867.95, 'high': 1869.4, 'low': 1856.25, 'close': 1861.25}",1862.0,FILLED_SL,-1.0,14.863066,-5.202073,9.660993,14.376759,2069.898879,1.655919,-6.687785,7.688974,False,<0.30%,"Filled at 1866.54, moved inside zone for 1 bars, then reversed and breached distal SL at 1862.00.",CONSOLIDATION_REVERSAL
3,ETHUSD,LONG,2026-08-01 17:00:00+00:00,2026-08-01 17:00:00+00:00,2026-08-01 18:00:00+00:00,1858.55,1862.4,1847.0,1847.0,1873.4184,0.6215,56.3197,45.0558,"{'dt': '2026-08-01 17:00:00+00:00', 'open': 1867.95, 'high': 1869.4, 'low': 1856.25, 'close': 1861.25}","{'dt': '2026-08-01 18:00:00+00:00', 'open': 1861.15, 'high': 1862.2, 'low': 1820.8, 'close': 1836.1}",1847.0,FILLED_SL,-1.0,9.660993,-3.381348,6.279645,7.688974,433.040713,0.346433,-3.037574,4.651401,False,0.50-0.70%,"Filled at 1858.55, moved inside zone for 1 bars, then reversed and breached distal SL at 1847.00.",CONSOLIDATION_REVERSAL
4,XRPUSD,LONG,2026-08-03 00:00:00+00:00,2026-08-03 00:00:00+00:00,2026-08-03 01:00:00+00:00,1.0825,1.0843,1.0769,1.0769,1.0911,0.5127,68.2626,54.6101,"{'dt': '2026-08-03 00:00:00+00:00', 'open': 1.0873, 'high': 1.0884, 'low': 1.0803, 'close': 1.0812}","{'dt': '2026-08-03 01:00:00+00:00', 'open': 1.0808, 'high': 1.0819, 'low': 1.0751, 'close': 1.0758}",1.0769,FILLED_SL,-1.0,6.279645,-2.197876,4.081769,4.651401,317.516774,0.254013,-1.882004,2.769397,False,0.50-0.70%,"Filled at 1.08, moved inside zone for 1 bars, then reversed and breached distal SL at 1.08.",CONSOLIDATION_REVERSAL
5,ETHUSD,LONG,2026-08-03 01:00:00+00:00,2026-08-03 02:00:00+00:00,2026-08-03 06:00:00+00:00,1863.675,1868.85,1848.15,1848.15,1878.5844,0.833,42.0152,33.6122,"{'dt': '2026-08-03 02:00:00+00:00', 'open': 1866.4, 'high': 1871.25, 'low': 1861.55, 'close': 1863.5}","{'dt': '2026-08-03 06:00:00+00:00', 'open': 1858.95, 'high': 1860.25, 'low': 1845.45, 'close': 1848.0}",1848.15,FILLED_SL,-1.0,4.081769,-1.428619,2.65315,2.769397,116.356822,0.093085,-1.062374,1.707023,False,0.70-1.00%,"Filled at 1863.67, moved inside zone for 4 bars, then reversed and breached distal SL at 1848.15.",CONSOLIDATION_REVERSAL
6,BTCUSD,LONG,2026-08-03 12:00:00+00:00,2026-08-03 12:00:00+00:00,2026-08-03 13:00:00+00:00,62599.375,62717.5,62245.0,62245.0,63100.17,0.5661,61.8265,49.4612,"{'dt': '2026-08-03 12:00:00+00:00', 'open': 62540.0, 'high': 62776.0, 'low': 62412.0, 'close': 62675.5}","{'dt': '2026-08-03 13:00:00+00:00', 'open': 62675.5, 'high': 63375.0, 'low': 62539.0, 'close': 63323.5}",63100.17,FILLED_TP,1.4132,2.65315,1.312281,3.965431,1.707023,105.539311,0.084431,0.759883,2.466906,False,0.50-0.70%,Price expanded in trade direction to hit fixed 0.8% TP (63100.17) in candle [62539.00 - 63375.00].,N/A
7,SOLUSD,SHORT,2026-08-03 14:00:00+00:00,2026-08-03 17:00:00+00:00,2026-08-04 00:00:00+00:00,73.844,74.348,73.676,74.348,73.2532,0.6825,51.2806,41.0244,"{'dt': '2026-08-03 17:00:00+00:00', 'open': 73.426, 'high': 73.869, 'low': 73.316, 'close': 73.696}","{'dt': '2026-08-04 00:00:00+00:00', 'open': 73.577, 'high': 73.637, 'low': 73.056, 'close': 73.068}",73.2532,FILLED_TP,1.1721,3.965431,1.626796,5.592227,2.466906,126.504296,0.101203,0.910831,3.377737,False,0.50-0.70%,Price expanded in trade direction to hit fixed 0.8% TP (73.25) in candle [73.06 - 73.64].,N/A
8,ETHUSD,LONG,2026-08-04 13:00:00+00:00,2026-08-04 13:00:00+00:00,2026-08-04 13:00:00+00:00,1861.3875,1864.35,1852.5,1852.5,1876.2786,0.4775,73.3036,58.6429,"{'dt': '2026-08-04 13:00:00+00:00', 'open': 1874.2, 'high': 1876.85, 'low': 1859.05, 'close': 1860.95}","{'dt': '2026-08-04 13:00:00+00:00', 'open': 1874.2, 'high': 1876.85, 'low': 1859.05, 'close': 1860.95}",1876.2786,FILLED_TP,1.6755,5.592227,3.279442,8.871669,3.377737,247.60021,0.19808,1.782722,5.160458,False,0.30-0.50%,Price expanded in trade direction to hit fixed 0.8% TP (1876.28) in candle [1859.05 - 1876.85].,N/A
9,SOLUSD,LONG,2026-08-05 00:00:00+00:00,2026-08-05 00:00:00+00:00,2026-08-05 02:00:00+00:00,73.5577,73.708,73.107,73.107,74.1462,0.6128,57.1164,45.6931,"{'dt': '2026-08-05 00:00:00+00:00', 'open': 73.747, 'high': 73.797, 'low': 73.466, 'close': 73.506}","{'dt': '2026-08-05 02:00:00+00:00', 'open': 74.12, 'high': 74.5, 'low': 74.076, 'close': 74.217}",74.1462,FILLED_TP,1.3055,8.871669,4.053742,12.925411,5.160458,294.746737,0.235797,2.122177,7.282635,False,0.50-0.70%,Price expanded in trade direction to hit fixed 0.8% TP (74.15) in candle [74.08 - 74.50].,N/A
10,SOLUSD,LONG,2026-08-05 22:00:00+00:00,2026-08-05 23:00:00+00:00,2026-08-06 09:00:00+00:00,73.9025,74.118,73.256,73.256,74.4937,0.8748,40.0091,32.0073,"{'dt': '2026-08-05 23:00:00+00:00', 'open': 74.0, 'high': 74.1, 'low': 73.847, 'close': 74.016}","{'dt': '2026-08-06 09:00:00+00:00', 'open': 73.997, 'high': 73.997, 'low': 73.172, 'close': 73.286}",73.256,FILLED_SL,-1.0,12.925411,-4.523894,8.401517,7.282635,291.371567,0.233097,-2.782019,4.500615,False,0.70-1.00%,"Filled at 73.90, moved inside zone for 10 bars, then reversed and breached distal SL at 73.26.",CONSOLIDATION_REVERSAL
