month,trades,wins,losses,wr_pct,total_r,end_capital
2024-06,2,0,2,0.0,-2.0,3.637
2024-07,5,4,1,80.0,2.91,6.3322
2024-08,3,1,2,33.33,-1.41,2.6688
2024-09,5,3,2,60.0,0.22,1.9166
2024-11,4,3,1,75.0,1.43,2.2675
2024-12,2,1,1,50.0,-0.05,1.7347
2025-01,6,4,2,66.67,1.71,1.7651
2025-02,3,2,1,66.67,4.03,2.2445
2025-03,3,3,0,100.0,4.7,5.5618
2025-04,3,2,1,66.67,1.07,5.8669
2025-05,6,4,2,66.67,1.74,5.6462
2025-06,9,3,6,33.33,-2.69,0.8029
2025-07,7,1,6,14.29,0.62,0.0714
2025-08,4,2,2,50.0,0.82,0.0546
2025-09,8,5,3,62.5,4.97,0.0914
2025-10,5,5,0,100.0,5.7,0.3915
2025-11,5,4,1,80.0,3.45,0.7667
2025-12,5,4,1,80.0,2.09,1.0699
2026-01,4,4,0,100.0,4.59,3.3729
2026-02,5,4,1,80.0,3.21,6.0832
2026-03,6,6,0,100.0,6.01,29.1066
2026-04,4,2,2,50.0,-0.41,17.1197
2026-05,2,0,2,0.0,-2.0,7.468
2026-06,3,2,1,66.67,2.03,9.8238
2026-07,5,5,0,100.0,4.48,32.2714
2026-08,5,2,3,40.0,-0.95,11.8617
