month,trades,wins,losses,wr_pct,total_r,end_capital
2024-06,6,3,3,50.0,-0.9,4.826
2024-07,15,9,6,60.0,1.67,1.9233
2024-08,16,12,4,75.0,3.4,2.0048
2024-09,21,14,7,66.67,1.66,0.7889
2024-10,18,8,10,44.44,-2.14,0.038
2024-11,17,13,4,76.47,3.35,0.0412
2024-12,13,9,4,69.23,2.66,0.0318
2025-01,21,14,7,66.67,2.22,0.0131
2025-02,16,11,5,68.75,5.88,0.0126
2025-03,13,10,3,76.92,5.84,0.0233
2025-04,14,12,2,85.71,6.8,0.0913
2025-05,24,19,5,79.17,10.28,0.4155
2025-06,20,11,9,55.0,2.47,0.1104
2025-07,17,9,8,52.94,4.16,0.0165
2025-08,12,8,4,66.67,3.29,0.017
2025-09,21,14,7,66.67,7.85,0.0272
2025-10,24,19,5,79.17,11.41,0.1613
2025-11,13,9,4,69.23,1.96,0.1122
2025-12,18,12,6,66.67,3.61,0.0836
2026-01,16,12,4,75.0,8.58,0.2839
2026-02,13,12,1,92.31,8.21,2.0078
2026-03,18,15,3,83.33,8.76,10.0956
2026-04,16,7,9,43.75,-1.43,0.9387
2026-05,14,10,4,71.43,6.23,2.0394
2026-06,10,8,2,80.0,5.21,5.2569
2026-07,25,17,8,68.0,6.9,4.6135
2026-08,14,7,7,50.0,4.12,0.9865
