trade_id,asset,direction,bos_time,ob_formation_time,displacement_confirmed_time,retest_time,entry_time,exit_time,bos_time_ist,ob_formation_time_ist,displacement_confirmed_time_ist,retest_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,proximal,distal,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,theoretical_leverage,leverage,displacement_mode,displacement_threshold_value,mfe_from_proximal,mfe_pct,mfe_ob_width_multiples,candles_fully_outside_ob,pre_displacement_touches,entry_bar_from_bos,ob_age_at_entry_hours,retest_number,gross_sl_return_pct,gross_tp_return_pct,fees_usd,net_return_pct,starting_capital,position_notional,gross_pnl_usd,pnl_usd,ending_capital,outcome,reason_for_exit,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,BTCUSD,SHORT,2024-06-19 06:00:00+00:00,2024-06-18 05:00:00+00:00,2024-06-19 07:00:00+00:00,2024-06-20 06:00:00+00:00,2024-06-20 06:00:00+00:00,2024-06-20 07:00:00+00:00,2024-06-19 11:30:00 IST,2024-06-18 10:30:00 IST,2024-06-19 12:30:00 IST,2024-06-20 11:30:00 IST,2024-06-20 11:30:00 IST,2024-06-20 12:30:00 IST,65851.0,65561.0,290.0,0.4418,65561.0,65851.0,65633.5,65851.0,65239.699,0.3314,105.62,100.0,A,1.0,376.0,0.5735,1.2966,0,1,24,24.0,1,33.14,60.0,0.8,-41.14,10.0,1000.0,-3.3138564909687886,-4.1138564909687885,5.8861435090312115,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-1.0,1h,Distal SL breached at 65851.000000.
2,SOLUSD,LONG,2024-06-20 16:00:00+00:00,2024-06-18 19:00:00+00:00,2024-06-20 18:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-21 01:00:00+00:00,2024-06-20 21:30:00 IST,2024-06-19 00:30:00 IST,2024-06-20 23:30:00 IST,2024-06-21 05:30:00 IST,2024-06-21 05:30:00 IST,2024-06-21 06:30:00 IST,132.906,130.418,2.488,1.8808,132.906,130.418,132.284,130.418,133.077704,1.4106,24.81,24.81,A,1.0,2.879,2.1662,1.1572,1,0,8,8.0,1,35.0,14.89,0.11683811909197934,12.9,5.8861435090312115,146.04764886497418,0.876285893189845,0.7594477740978656,6.645591283129077,FILLED_TP,TP_HIT,False,1,1.0,0.4254,-0.5746,1h,Fixed +0.60% TP reached at 133.077704.
3,ETHUSD,SHORT,2024-06-21 09:00:00+00:00,2024-06-21 02:00:00+00:00,2024-06-21 12:00:00+00:00,2024-06-21 14:00:00+00:00,2024-06-21 14:00:00+00:00,2024-06-21 15:00:00+00:00,2024-06-21 14:30:00 IST,2024-06-21 07:30:00 IST,2024-06-21 17:30:00 IST,2024-06-21 19:30:00 IST,2024-06-21 19:30:00 IST,2024-06-21 20:30:00 IST,3537.0,3507.95,29.05,0.8264,3507.95,3537.0,3515.2125,3537.0,3494.121225,0.6198,56.47,56.47,A,1.0,34.15,0.9735,1.1756,0,1,5,5.0,1,35.0,33.88,0.300217388573121,29.36,6.645591283129077,375.2717357164013,2.251630414298408,1.951413025725287,8.597004308854364,FILLED_TP,TP_HIT,False,1,1.0,0.968,0.3934,1h,Fixed +0.60% TP reached at 3494.121225.
4,ETHUSD,SHORT,2024-06-22 15:00:00+00:00,2024-06-22 03:00:00+00:00,2024-06-22 18:00:00+00:00,2024-06-22 21:00:00+00:00,2024-06-22 21:00:00+00:00,2024-06-23 02:00:00+00:00,2024-06-22 20:30:00 IST,2024-06-22 08:30:00 IST,2024-06-22 23:30:00 IST,2024-06-23 02:30:00 IST,2024-06-23 02:30:00 IST,2024-06-23 07:30:00 IST,3513.15,3505.15,8.0,0.2281,3505.15,3513.15,3507.15,3513.15,3486.1071,0.1711,204.58,100.0,A,1.0,12.45,0.3552,1.5563,1,2,6,6.0,1,17.11,60.0,0.6877603447083491,-25.11,8.597004308854364,859.7004308854364,-1.4707675991367972,-2.1585279438451463,6.438476365009218,FILLED_SL,SL_HIT,False,5,5.0,-1.0,-0.6066,1h,Distal SL breached at 3513.150000.
5,BTCUSD,SHORT,2024-06-28 09:00:00+00:00,2024-06-28 01:00:00+00:00,2024-06-28 15:00:00+00:00,2024-06-30 07:00:00+00:00,2024-06-30 07:00:00+00:00,2024-06-30 20:00:00+00:00,2024-06-28 14:30:00 IST,2024-06-28 06:30:00 IST,2024-06-28 20:30:00 IST,2024-06-30 12:30:00 IST,2024-06-30 12:30:00 IST,2024-07-01 01:30:00 IST,62212.5,61495.5,717.0,1.1626,61495.5,62212.5,61674.75,62212.5,61304.7015,0.8719,40.14,40.14,A,1.0,755.0,1.2277,1.053,1,3,46,46.0,1,35.0,24.08,0.2067607580734517,-38.21,6.438476365009218,258.4509475918146,-2.253466727753226,-2.4602274858266777,3.9782488791825403,FILLED_SL,SL_HIT,False,13,13.0,-1.0,-1.6066,1h,Distal SL breached at 62212.500000.
6,ETHUSD,SHORT,2024-06-28 10:00:00+00:00,2024-06-28 02:00:00+00:00,2024-06-28 14:00:00+00:00,2024-06-30 22:00:00+00:00,2024-06-30 22:00:00+00:00,2024-07-01 00:00:00+00:00,2024-06-28 15:30:00 IST,2024-06-28 07:30:00 IST,2024-06-28 19:30:00 IST,2024-07-01 03:30:00 IST,2024-07-01 03:30:00 IST,2024-07-01 05:30:00 IST,3485.0,3445.65,39.35,1.1388,3445.65,3485.0,3455.4875,3485.0,3434.754575,0.8541,40.98,40.98,A,1.0,42.3,1.2276,1.075,0,4,60,60.0,1,35.0,24.59,0.1304227360167123,21.31,3.9782488791825403,163.02842002089037,0.9781705201253421,0.8477477841086298,4.82599666329117,FILLED_TP,TP_HIT,False,2,2.0,0.7025,-0.9041,1h,Fixed +0.60% TP reached at 3434.754575.
7,SOLUSD,LONG,2024-07-02 14:00:00+00:00,2024-07-02 08:00:00+00:00,2024-07-02 17:00:00+00:00,2024-07-03 04:00:00+00:00,2024-07-03 04:00:00+00:00,2024-07-03 05:00:00+00:00,2024-07-02 19:30:00 IST,2024-07-02 13:30:00 IST,2024-07-02 22:30:00 IST,2024-07-03 09:30:00 IST,2024-07-03 09:30:00 IST,2024-07-03 10:30:00 IST,148.3682,146.918,1.4502,0.9798,148.3682,146.918,148.00565,146.918,148.893684,0.7349,47.63,47.63,A,1.0,1.5978,1.0769,1.1018,0,2,14,14.0,1,35.0,28.58,0.18387986618260294,24.77,4.82599666329117,229.84983272825366,1.3790989963695217,1.1952191301869188,6.021215793478089,FILLED_TP,TP_HIT,False,1,1.0,0.8165,-0.0876,1h,Fixed +0.60% TP reached at 148.893684.
8,ETHUSD,LONG,2024-07-07 07:00:00+00:00,2024-07-06 09:00:00+00:00,2024-07-07 10:00:00+00:00,2024-07-07 12:00:00+00:00,2024-07-07 12:00:00+00:00,2024-07-07 13:00:00+00:00,2024-07-07 12:30:00 IST,2024-07-06 14:30:00 IST,2024-07-07 15:30:00 IST,2024-07-07 17:30:00 IST,2024-07-07 17:30:00 IST,2024-07-07 18:30:00 IST,3005.95,2984.95,21.0,0.6998,3005.95,2984.95,3000.7,2984.95,3018.7042,0.5249,66.68,66.68,A,1.0,25.75,0.8566,1.2262,2,0,5,5.0,1,35.0,40.01,0.32120643967092805,-40.33,6.021215793478089,401.50804958866007,-2.1074255277173313,-2.4286319673882595,3.5925838260898297,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-1.0876,1h,Distal SL breached at 2984.950000.
9,XRPUSD,LONG,2024-07-06 01:00:00+00:00,2024-07-05 18:00:00+00:00,2024-07-06 06:00:00+00:00,2024-07-07 14:00:00+00:00,2024-07-07 14:00:00+00:00,2024-07-07 15:00:00+00:00,2024-07-06 06:30:00 IST,2024-07-05 23:30:00 IST,2024-07-06 11:30:00 IST,2024-07-07 19:30:00 IST,2024-07-07 19:30:00 IST,2024-07-07 20:30:00 IST,0.4272,0.422,0.0052,1.2209,0.4272,0.422,0.4259,0.422,0.428455,0.9157,38.22,38.22,A,1.0,0.0056,1.3109,1.0769,1,1,37,37.0,1,35.0,22.93,0.10985200164842639,19.88,3.5925838260898297,137.31500206053298,0.8238900123631977,0.7140380107147714,4.306621836804601,FILLED_TP,TP_HIT,False,1,1.0,0.6552,-0.4324,1h,Fixed +0.60% TP reached at 0.428455.
10,BTCUSD,SHORT,2024-07-06 23:00:00+00:00,2024-07-04 19:00:00+00:00,2024-07-07 04:00:00+00:00,2024-07-09 18:00:00+00:00,2024-07-09 18:00:00+00:00,2024-07-09 19:00:00+00:00,2024-07-07 04:30:00 IST,2024-07-05 00:30:00 IST,2024-07-07 09:30:00 IST,2024-07-09 23:30:00 IST,2024-07-09 23:30:00 IST,2024-07-10 00:30:00 IST,58666.5,58149.0,517.5,0.888,58149.0,58666.5,58278.375,58666.5,57928.70475,0.666,52.55,52.55,A,1.0,575.0,0.9888,1.1111,1,4,67,67.0,1,35.0,31.53,0.1810633642995851,27.33,4.306621836804601,226.32920537448138,1.3579752322468883,1.1769118679473032,5.483533704751904,FILLED_TP,TP_HIT,False,1,1.0,0.9009,0.4685,1h,Fixed +0.60% TP reached at 57928.704750.
