month,trades,wins,losses,wr_pct,total_r,end_capital
2024-06,3,2,1,66.67,0.67,11.7529
2024-07,8,2,6,25.0,-4.55,0.8773
2024-08,2,2,0,100.0,1.52,1.3113
2024-09,3,2,1,66.67,-0.09,1.0233
2024-10,6,0,6,0.0,-6.0,0.0485
2024-11,4,2,2,50.0,-0.95,0.0242
2024-12,5,4,1,80.0,3.61,0.0451
2025-01,8,5,3,62.5,-0.2,0.0219
2025-02,3,3,0,100.0,3.22,0.0507
2025-03,4,2,2,50.0,-0.07,0.0291
2025-04,4,4,0,100.0,2.53,0.0579
2025-05,5,4,1,80.0,1.26,0.0673
2025-06,2,1,1,50.0,0.64,0.0633
2025-07,4,4,0,100.0,2.38,0.1223
2025-08,2,2,0,100.0,1.47,0.183
2025-09,7,5,2,71.43,3.16,0.2687
2025-10,7,3,4,42.86,-1.31,0.0682
2025-11,3,2,1,66.67,-0.13,0.0506
2025-12,3,3,0,100.0,2.25,0.0934
2026-01,1,1,0,100.0,0.66,0.112
2026-02,4,4,0,100.0,2.29,0.2111
2026-03,1,1,0,100.0,0.38,0.2353
2026-04,6,3,3,50.0,0.16,0.1316
2026-05,7,6,1,85.71,4.46,0.3281
2026-06,4,4,0,100.0,2.27,0.6188
2026-07,8,4,4,50.0,-0.39,0.2091
2026-08,2,2,0,100.0,6.72,0.4391
