trade_id,asset,direction,bos_time,ob_formation_time,displacement_confirmed_time,retest_time,entry_time,exit_time,bos_time_ist,ob_formation_time_ist,displacement_confirmed_time_ist,retest_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,proximal,distal,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,theoretical_leverage,leverage,displacement_mode,displacement_threshold_value,mfe_from_proximal,mfe_pct,mfe_ob_width_multiples,candles_fully_outside_ob,pre_displacement_touches,entry_bar_from_bos,ob_age_at_entry_hours,retest_number,gross_sl_return_pct,gross_tp_return_pct,fees_usd,net_return_pct,starting_capital,position_notional,gross_pnl_usd,pnl_usd,ending_capital,outcome,reason_for_exit,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,ETHUSD,SHORT,2024-06-21 09:00:00+00:00,2024-06-21 02:00:00+00:00,2024-06-21 12:00:00+00:00,2024-06-21 14:00:00+00:00,2024-06-21 14:00:00+00:00,2024-06-21 15:00:00+00:00,2024-06-21 14:30:00 IST,2024-06-21 07:30:00 IST,2024-06-21 17:30:00 IST,2024-06-21 19:30:00 IST,2024-06-21 19:30:00 IST,2024-06-21 20:30:00 IST,3537.0,3507.95,29.05,0.8264,3507.95,3537.0,3515.2125,3537.0,3494.121225,0.6198,56.47,56.47,A,1.0,34.15,0.9735,1.1756,0,1,5,5.0,1,35.0,33.88,0.4517542168674623,29.36,10.0,564.6927710843279,3.3881566265059675,2.936402409638505,12.936402409638506,FILLED_TP,TP_HIT,False,1,1.0,0.968,0.968,1h,Fixed +0.60% TP reached at 3494.121225.
2,ETHUSD,SHORT,2024-06-22 15:00:00+00:00,2024-06-22 03:00:00+00:00,2024-06-22 18:00:00+00:00,2024-06-22 21:00:00+00:00,2024-06-22 21:00:00+00:00,2024-06-23 02:00:00+00:00,2024-06-22 20:30:00 IST,2024-06-22 08:30:00 IST,2024-06-22 23:30:00 IST,2024-06-23 02:30:00 IST,2024-06-23 02:30:00 IST,2024-06-23 07:30:00 IST,3513.15,3505.15,8.0,0.2281,3505.15,3513.15,3507.15,3513.15,3486.1071,0.1711,204.58,100.0,A,1.0,12.45,0.3552,1.5563,1,2,6,6.0,1,17.11,60.0,1.0349121927710805,-25.11,12.936402409638506,1293.6402409638506,-2.2131478396370565,-3.2480600324081372,9.688342377230368,FILLED_SL,SL_HIT,False,5,5.0,-1.0,-0.032,1h,Distal SL breached at 3513.150000.
3,ETHUSD,SHORT,2024-06-28 10:00:00+00:00,2024-06-28 02:00:00+00:00,2024-06-28 14:00:00+00:00,2024-06-30 22:00:00+00:00,2024-06-30 22:00:00+00:00,2024-07-01 00:00:00+00:00,2024-06-28 15:30:00 IST,2024-06-28 07:30:00 IST,2024-06-28 19:30:00 IST,2024-07-01 03:30:00 IST,2024-07-01 03:30:00 IST,2024-07-01 05:30:00 IST,3485.0,3445.65,39.35,1.1388,3445.65,3485.0,3455.4875,3485.0,3434.754575,0.8541,40.98,40.98,A,1.0,42.3,1.2276,1.075,0,4,60,60.0,1,35.0,24.59,0.3176221897320528,21.31,9.688342377230368,397.02773716506596,2.382166422990396,2.064544233258343,11.752886610488712,FILLED_TP,TP_HIT,False,2,2.0,0.7025,0.6706,1h,Fixed +0.60% TP reached at 3434.754575.
4,ETHUSD,LONG,2024-07-07 07:00:00+00:00,2024-07-06 09:00:00+00:00,2024-07-07 10:00:00+00:00,2024-07-07 12:00:00+00:00,2024-07-07 12:00:00+00:00,2024-07-07 13:00:00+00:00,2024-07-07 12:30:00 IST,2024-07-06 14:30:00 IST,2024-07-07 15:30:00 IST,2024-07-07 17:30:00 IST,2024-07-07 17:30:00 IST,2024-07-07 18:30:00 IST,3005.95,2984.95,21.0,0.6998,3005.95,2984.95,3000.7,2984.95,3018.7042,0.5249,66.68,66.68,A,1.0,25.75,0.8566,1.2262,2,0,5,5.0,1,35.0,40.01,0.6269668773705508,-40.33,11.752886610488712,783.7085967131884,-4.113510313671049,-4.7404771910416,7.0124094194471125,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-0.3294,1h,Distal SL breached at 2984.950000.
5,ETHUSD,SHORT,2024-07-17 09:00:00+00:00,2024-07-01 02:00:00+00:00,2024-07-17 11:00:00+00:00,2024-07-19 16:00:00+00:00,2024-07-19 16:00:00+00:00,2024-07-19 19:00:00+00:00,2024-07-17 14:30:00 IST,2024-07-01 07:30:00 IST,2024-07-17 16:30:00 IST,2024-07-19 21:30:00 IST,2024-07-19 21:30:00 IST,2024-07-20 00:30:00 IST,3522.3,3490.0,32.3,0.9234,3490.0,3522.3,3498.075,3522.3,3477.08655,0.6925,50.54,50.54,A,1.0,47.35,1.3567,1.4659,1,0,55,55.0,1,35.0,30.32,0.2835245218733121,-39.04,7.0124094194471125,354.4056523416401,-2.4543432968064893,-2.7378678186798013,4.274541600767311,FILLED_SL,SL_HIT,False,3,3.0,-1.0,-1.3294,1h,Distal SL breached at 3522.300000.
6,ETHUSD,SHORT,2024-07-20 23:00:00+00:00,2024-06-21 20:00:00+00:00,2024-07-21 06:00:00+00:00,2024-07-21 17:00:00+00:00,2024-07-21 17:00:00+00:00,2024-07-21 18:00:00+00:00,2024-07-21 04:30:00 IST,2024-06-22 01:30:00 IST,2024-07-21 11:30:00 IST,2024-07-21 22:30:00 IST,2024-07-21 22:30:00 IST,2024-07-21 23:30:00 IST,3548.0,3518.15,29.85,0.8467,3518.15,3548.0,3525.6125,3548.0,3504.458825,0.635,55.12,55.12,A,1.0,34.35,0.9764,1.1508,3,1,18,18.0,1,35.0,33.07,0.188484897547377,28.66,4.274541600767311,235.60612193422122,1.4136367316053273,1.2251518340579504,5.499693434825261,FILLED_TP,TP_HIT,False,1,1.0,0.9449,-0.3846,1h,Fixed +0.60% TP reached at 3504.458825.
7,ETHUSD,SHORT,2024-07-21 14:00:00+00:00,2024-07-21 00:00:00+00:00,2024-07-21 17:00:00+00:00,2024-07-21 20:00:00+00:00,2024-07-21 20:00:00+00:00,2024-07-21 22:00:00+00:00,2024-07-21 19:30:00 IST,2024-07-21 05:30:00 IST,2024-07-21 22:30:00 IST,2024-07-22 01:30:00 IST,2024-07-22 01:30:00 IST,2024-07-22 03:30:00 IST,3529.7,3504.1,25.6,0.7292,3504.1,3529.7,3510.5,3529.7,3489.437,0.5469,63.99,63.99,A,1.0,53.55,1.5282,2.0918,0,3,6,6.0,1,35.0,38.4,0.2815556596264163,-40.12,5.499693434825261,351.9445745330204,-1.9248927021888411,-2.2064483618152573,3.2932450730100036,FILLED_SL,SL_HIT,False,2,2.0,-1.0,-1.3846,1h,Distal SL breached at 3529.700000.
8,ETHUSD,LONG,2024-07-23 13:00:00+00:00,2024-07-23 05:00:00+00:00,2024-07-23 14:00:00+00:00,2024-07-23 15:00:00+00:00,2024-07-23 15:00:00+00:00,2024-07-23 16:00:00+00:00,2024-07-23 18:30:00 IST,2024-07-23 10:30:00 IST,2024-07-23 19:30:00 IST,2024-07-23 20:30:00 IST,2024-07-23 20:30:00 IST,2024-07-23 21:30:00 IST,3460.0,3425.15,34.85,1.0098,3460.0,3425.15,3451.2875,3425.15,3471.995225,0.7573,46.22,46.22,A,1.0,37.15,1.0737,1.066,0,1,2,2.0,1,35.0,27.73,0.12175846792449568,-38.7,3.2932450730100036,152.1980849056196,-1.1526357755535013,-1.274394243477997,2.0188508295320067,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-2.3846,1h,Distal SL breached at 3425.150000.
9,ETHUSD,LONG,2024-07-23 16:00:00+00:00,2024-07-18 16:00:00+00:00,2024-07-23 19:00:00+00:00,2024-07-24 16:00:00+00:00,2024-07-24 16:00:00+00:00,2024-07-24 17:00:00+00:00,2024-07-23 21:30:00 IST,2024-07-18 21:30:00 IST,2024-07-24 00:30:00 IST,2024-07-24 21:30:00 IST,2024-07-24 21:30:00 IST,2024-07-24 22:30:00 IST,3420.75,3367.25,53.5,1.5701,3420.75,3367.25,3407.375,3367.25,3427.81925,1.1776,29.72,29.72,A,1.0,76.0,2.2217,1.4206,1,1,24,24.0,1,35.0,17.83,0.04800286396703935,15.46,2.0188508295320067,60.003579958799186,0.3600214797527951,0.31201861578575574,2.3308694453177625,FILLED_TP,TP_HIT,False,1,1.0,0.5095,-1.875,1h,Fixed +0.60% TP reached at 3427.819250.
10,ETHUSD,LONG,2024-07-14 13:00:00+00:00,2024-07-14 02:00:00+00:00,2024-07-14 21:00:00+00:00,2024-07-25 01:00:00+00:00,2024-07-25 01:00:00+00:00,2024-07-25 02:00:00+00:00,2024-07-14 18:30:00 IST,2024-07-14 07:30:00 IST,2024-07-15 02:30:00 IST,2024-07-25 06:30:00 IST,2024-07-25 06:30:00 IST,2024-07-25 07:30:00 IST,3188.0,3163.7,24.3,0.7637,3188.0,3163.7,3181.925,3163.7,3201.01655,0.5728,61.11,61.11,A,1.0,67.75,2.1252,2.7881,2,2,252,252.0,1,35.0,36.66,0.11394581578830842,-39.89,2.3308694453177625,142.43226973538552,-0.8158043058612169,-0.9297501216495253,1.401119323668237,FILLED_SL,DUAL_TOUCH_CONSERVATIVE_SL,True,1,1.0,-1.0,-2.875,1h,Dual-touch: both TP and SL hit same candle. Conservative SL-first applied.
11,ETHUSD,LONG,2024-07-27 00:00:00+00:00,2024-07-26 14:00:00+00:00,2024-07-27 13:00:00+00:00,2024-07-27 17:00:00+00:00,2024-07-27 17:00:00+00:00,2024-07-27 20:00:00+00:00,2024-07-27 05:30:00 IST,2024-07-26 19:30:00 IST,2024-07-27 18:30:00 IST,2024-07-27 22:30:00 IST,2024-07-27 22:30:00 IST,2024-07-28 01:30:00 IST,3271.4,3220.45,50.95,1.5635,3271.4,3220.45,3258.6625,3220.45,3278.214475,1.1726,29.85,29.85,A,1.0,57.2,1.7485,1.1227,2,6,17,17.0,1,35.0,17.91,0.033455466129084725,-37.39,1.401119323668237,41.8193326613559,-0.49039176328388295,-0.5238472294129677,0.8772720942552694,FILLED_SL,SL_HIT,False,3,3.0,-1.0,-3.875,1h,Distal SL breached at 3220.450000.
12,ETHUSD,SHORT,2024-08-15 15:00:00+00:00,2024-08-14 21:00:00+00:00,2024-08-15 17:00:00+00:00,2024-08-18 09:00:00+00:00,2024-08-18 09:00:00+00:00,2024-08-18 10:00:00+00:00,2024-08-15 20:30:00 IST,2024-08-15 02:30:00 IST,2024-08-15 22:30:00 IST,2024-08-18 14:30:00 IST,2024-08-18 14:30:00 IST,2024-08-18 15:30:00 IST,2680.2,2662.8,17.4,0.6524,2662.8,2680.2,2667.15,2680.2,2651.1471,0.4893,71.53,71.53,A,1.0,58.7,2.2044,3.3736,1,1,66,66.0,1,35.0,42.92,0.05020295437042433,37.2,0.8772720942552694,62.75369296303041,0.37652215777818243,0.3263192034077581,1.2035912976630274,FILLED_TP,TP_HIT,False,1,1.0,1.2263,-2.6488,1h,Fixed +0.60% TP reached at 2651.147100.
13,ETHUSD,LONG,2024-08-15 23:00:00+00:00,2024-08-12 00:00:00+00:00,2024-08-18 09:00:00+00:00,2024-08-20 15:00:00+00:00,2024-08-20 15:00:00+00:00,2024-08-20 16:00:00+00:00,2024-08-16 04:30:00 IST,2024-08-12 05:30:00 IST,2024-08-18 14:30:00 IST,2024-08-20 20:30:00 IST,2024-08-20 20:30:00 IST,2024-08-20 21:30:00 IST,2578.05,2508.6,69.45,2.7122,2578.05,2508.6,2560.6875,2508.6,2576.051625,2.0341,17.21,17.21,A,1.0,89.4,3.4677,1.2873,48,2,112,112.0,1,35.0,10.32,0.01656762051336034,8.95,1.2035912976630274,20.70952564170042,0.12425715385020253,0.1076895333368422,1.3112808309998696,FILLED_TP,TP_HIT,False,1,1.0,0.295,-2.3538,1h,Fixed +0.60% TP reached at 2576.051625.
14,ETHUSD,SHORT,2024-08-30 18:00:00+00:00,2024-08-30 12:00:00+00:00,2024-09-01 05:00:00+00:00,2024-09-02 09:00:00+00:00,2024-09-02 09:00:00+00:00,2024-09-02 13:00:00+00:00,2024-08-30 23:30:00 IST,2024-08-30 17:30:00 IST,2024-09-01 10:30:00 IST,2024-09-02 14:30:00 IST,2024-09-02 14:30:00 IST,2024-09-02 18:30:00 IST,2551.4,2510.25,41.15,1.6326,2510.25,2551.4,2520.5375,2551.4,2505.414275,1.2244,28.58,28.58,A,1.0,51.35,2.0456,1.2479,8,20,63,63.0,1,35.0,17.15,0.02998581132826466,14.86,1.3112808309998696,37.48226416033082,0.2248935849619849,0.19490777363372022,1.5061886046335897,FILLED_TP,TP_HIT,False,4,4.0,0.49,-1.8638,1h,Fixed +0.60% TP reached at 2505.414275.
15,ETHUSD,SHORT,2024-09-09 21:00:00+00:00,2024-09-06 13:00:00+00:00,2024-09-11 10:00:00+00:00,2024-09-11 17:00:00+00:00,2024-09-11 17:00:00+00:00,2024-09-11 18:00:00+00:00,2024-09-10 02:30:00 IST,2024-09-06 18:30:00 IST,2024-09-11 15:30:00 IST,2024-09-11 22:30:00 IST,2024-09-11 22:30:00 IST,2024-09-11 23:30:00 IST,2401.0,2355.8,45.2,1.9095,2355.8,2401.0,2367.1,2401.0,2352.8974,1.4321,24.44,24.44,A,1.0,48.25,2.0481,1.0675,21,11,44,44.0,1,35.0,14.66,0.029447897725306746,12.71,1.5061886046335897,36.80987215663343,0.22085923293980056,0.19141133521449383,1.6975999398480837,FILLED_TP,TP_HIT,False,1,1.0,0.419,-1.4448,1h,Fixed +0.60% TP reached at 2352.897400.
16,ETHUSD,SHORT,2024-09-06 12:00:00+00:00,2024-09-05 07:00:00+00:00,2024-09-06 13:00:00+00:00,2024-09-13 15:00:00+00:00,2024-09-13 15:00:00+00:00,2024-09-13 16:00:00+00:00,2024-09-06 17:30:00 IST,2024-09-05 12:30:00 IST,2024-09-06 18:30:00 IST,2024-09-13 20:30:00 IST,2024-09-13 20:30:00 IST,2024-09-13 21:30:00 IST,2417.0,2398.0,19.0,0.7908,2398.0,2417.0,2402.75,2417.0,2388.3335,0.5931,59.01,59.01,A,1.0,42.2,1.7598,2.2211,0,0,171,171.0,1,35.0,35.41,0.08014696923028738,-39.72,1.6975999398480837,100.18371153785922,-0.5941599789468293,-0.6743069481771167,1.023292991670967,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-2.4448,1h,Distal SL breached at 2417.000000.
