month,trades,wins,losses,wr_pct,total_r,end_capital
2024-06,1,1,0,100.0,0.43,11.2902
2024-07,3,2,1,66.67,0.65,11.023
2024-08,8,7,1,87.5,2.95,20.4703
2024-09,9,6,3,66.67,0.61,13.5549
2024-10,4,3,1,75.0,1.25,15.0618
2024-11,6,5,1,83.33,1.63,19.4727
2024-12,3,2,1,66.67,-0.41,14.4262
2025-01,7,5,2,71.43,0.78,12.2292
2025-02,7,4,3,57.14,-1.68,4.4151
2025-03,2,2,0,100.0,0.97,5.807
2025-04,6,5,1,83.33,1.18,6.7281
2025-05,4,3,1,75.0,1.52,7.7069
2025-06,5,4,1,80.0,2.54,11.203
2025-07,5,4,1,80.0,2.16,15.9426
2025-08,3,2,1,66.67,0.7,15.8249
2025-09,6,3,3,50.0,-1.27,5.971
2025-10,7,5,2,71.43,0.26,4.3656
2025-11,3,2,1,66.67,-0.31,3.3269
2025-12,7,4,3,57.14,0.58,2.0899
2026-01,7,5,2,71.43,2.7,2.7514
2026-02,3,3,0,100.0,2.46,5.2369
2026-03,8,5,3,62.5,-0.05,2.596
2026-04,6,2,4,33.33,-2.54,0.5858
2026-05,3,3,0,100.0,2.85,1.2462
2026-06,2,0,2,0.0,-2.0,0.4848
2026-07,7,4,3,57.14,0.2,0.2406
2026-08,5,2,3,40.0,-1.24,0.0924
