trade_id,asset,direction,bos_time,ob_formation_time,displacement_confirmed_time,retest_time,entry_time,exit_time,bos_time_ist,ob_formation_time_ist,displacement_confirmed_time_ist,retest_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,proximal,distal,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,theoretical_leverage,leverage,displacement_mode,displacement_threshold_value,mfe_from_proximal,mfe_pct,mfe_ob_width_multiples,candles_fully_outside_ob,pre_displacement_touches,entry_bar_from_bos,ob_age_at_entry_hours,retest_number,gross_sl_return_pct,gross_tp_return_pct,fees_usd,net_return_pct,starting_capital,position_notional,gross_pnl_usd,pnl_usd,ending_capital,outcome,reason_for_exit,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,SOLUSD,LONG,2024-06-20 16:00:00+00:00,2024-06-18 19:00:00+00:00,2024-06-20 18:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-21 01:00:00+00:00,2024-06-20 21:30:00 IST,2024-06-19 00:30:00 IST,2024-06-20 23:30:00 IST,2024-06-21 05:30:00 IST,2024-06-21 05:30:00 IST,2024-06-21 06:30:00 IST,132.906,130.418,2.488,1.8808,132.906,130.418,132.284,130.418,133.077704,1.4106,24.81,24.81,A,1.0,2.879,2.1662,1.1572,1,0,8,8.0,1,35.0,14.89,0.19849689174705407,12.9,10.0,248.12111468381758,1.4887266881029055,1.2902297963558516,11.290229796355852,FILLED_TP,TP_HIT,False,1,1.0,0.4254,0.4254,1h,Fixed +0.60% TP reached at 133.077704.
2,SOLUSD,LONG,2024-07-02 14:00:00+00:00,2024-07-02 08:00:00+00:00,2024-07-02 17:00:00+00:00,2024-07-03 04:00:00+00:00,2024-07-03 04:00:00+00:00,2024-07-03 05:00:00+00:00,2024-07-02 19:30:00 IST,2024-07-02 13:30:00 IST,2024-07-02 22:30:00 IST,2024-07-03 09:30:00 IST,2024-07-03 09:30:00 IST,2024-07-03 10:30:00 IST,148.3682,146.918,1.4502,0.9798,148.3682,146.918,148.00565,146.918,148.893684,0.7349,47.63,47.63,A,1.0,1.5978,1.0769,1.1018,0,2,14,14.0,1,35.0,28.58,0.4301797305240894,24.77,11.290229796355852,537.7246631551118,3.2263479789306704,2.796168248406581,14.086398044762433,FILLED_TP,TP_HIT,False,1,1.0,0.8165,1.2418,1h,Fixed +0.60% TP reached at 148.893684.
3,SOLUSD,LONG,2024-07-11 03:00:00+00:00,2024-07-10 01:00:00+00:00,2024-07-11 08:00:00+00:00,2024-07-11 14:00:00+00:00,2024-07-11 14:00:00+00:00,2024-07-11 15:00:00+00:00,2024-07-11 08:30:00 IST,2024-07-10 06:30:00 IST,2024-07-11 13:30:00 IST,2024-07-11 19:30:00 IST,2024-07-11 19:30:00 IST,2024-07-11 20:30:00 IST,140.646,138.596,2.05,1.4629,140.646,138.596,140.1335,138.596,140.974301,1.0972,31.9,31.9,A,1.0,2.272,1.6154,1.1083,3,1,11,11.0,1,35.0,19.14,0.35948835961860337,-37.55,14.086398044762433,449.3604495232542,-4.930239315666851,-5.289727675285454,8.796670369476978,FILLED_SL,DUAL_TOUCH_CONSERVATIVE_SL,True,1,1.0,-1.0,0.2418,1h,Dual-touch: both TP and SL hit same candle. Conservative SL-first applied.
4,SOLUSD,SHORT,2024-07-20 17:00:00+00:00,2024-06-05 16:00:00+00:00,2024-07-20 19:00:00+00:00,2024-07-20 21:00:00+00:00,2024-07-20 21:00:00+00:00,2024-07-20 22:00:00+00:00,2024-07-20 22:30:00 IST,2024-06-05 21:30:00 IST,2024-07-21 00:30:00 IST,2024-07-21 02:30:00 IST,2024-07-21 02:30:00 IST,2024-07-21 03:30:00 IST,175.634,173.962,1.672,0.9588,173.962,175.634,174.38,175.634,173.33372,0.7191,48.67,48.67,A,1.0,1.776,1.0209,1.0622,0,1,4,4.0,1,35.0,29.2,0.34251175927291383,25.31,8.796670369476978,428.13969909114223,2.5688381945468532,2.2263264352739394,11.022996804750917,FILLED_TP,TP_HIT,False,1,1.0,0.8344,1.0762,1h,Fixed +0.60% TP reached at 173.333720.
5,SOLUSD,LONG,2024-08-09 04:00:00+00:00,2024-08-08 19:00:00+00:00,2024-08-09 08:00:00+00:00,2024-08-09 10:00:00+00:00,2024-08-09 10:00:00+00:00,2024-08-09 12:00:00+00:00,2024-08-09 09:30:00 IST,2024-08-09 00:30:00 IST,2024-08-09 13:30:00 IST,2024-08-09 15:30:00 IST,2024-08-09 15:30:00 IST,2024-08-09 17:30:00 IST,157.2,155.131,2.069,1.3205,157.2,155.131,156.68275,155.131,157.622847,0.9904,35.34,35.34,A,1.0,2.411,1.5337,1.1653,2,2,6,6.0,1,35.0,21.2,0.3116428334014402,-37.83,11.022996804750917,389.55354175180025,-3.8580488816628207,-4.1696917150642605,6.853305089686657,FILLED_SL,SL_HIT,False,2,2.0,-1.0,0.0762,1h,Distal SL breached at 155.131000.
6,SOLUSD,LONG,2024-08-14 01:00:00+00:00,2024-08-13 03:00:00+00:00,2024-08-14 11:00:00+00:00,2024-08-14 15:00:00+00:00,2024-08-14 15:00:00+00:00,2024-08-14 16:00:00+00:00,2024-08-14 06:30:00 IST,2024-08-13 08:30:00 IST,2024-08-14 16:30:00 IST,2024-08-14 20:30:00 IST,2024-08-14 20:30:00 IST,2024-08-14 21:30:00 IST,145.738,142.988,2.75,1.8959,145.738,142.988,145.0505,142.988,145.920803,1.4219,24.61,24.61,A,1.0,3.293,2.2595,1.1975,2,7,14,14.0,1,35.0,14.77,0.1349532569092104,12.8,6.853305089686657,168.69157113651298,1.0121494268190778,0.8771961699098674,7.730501259596524,FILLED_TP,TP_HIT,False,1,1.0,0.422,0.4981,1h,Fixed +0.60% TP reached at 145.920803.
7,SOLUSD,LONG,2024-08-18 01:00:00+00:00,2024-08-17 15:00:00+00:00,2024-08-18 03:00:00+00:00,2024-08-18 04:00:00+00:00,2024-08-18 04:00:00+00:00,2024-08-18 09:00:00+00:00,2024-08-18 06:30:00 IST,2024-08-17 20:30:00 IST,2024-08-18 08:30:00 IST,2024-08-18 09:30:00 IST,2024-08-18 09:30:00 IST,2024-08-18 14:30:00 IST,141.72,140.187,1.533,1.0846,141.72,140.187,141.33675,140.187,142.18477,0.8135,43.02,43.02,A,1.0,1.577,1.1128,1.0287,0,2,3,3.0,1,35.0,25.81,0.26608314737346606,22.37,7.730501259596524,332.60393421683256,1.995623605300995,1.7295404579275289,9.460041717524053,FILLED_TP,TP_HIT,False,5,5.0,0.7376,1.2357,1h,Fixed +0.60% TP reached at 142.184770.
8,SOLUSD,LONG,2024-08-15 18:00:00+00:00,2024-08-06 13:00:00+00:00,2024-08-18 10:00:00+00:00,2024-08-21 13:00:00+00:00,2024-08-21 13:00:00+00:00,2024-08-21 14:00:00+00:00,2024-08-15 23:30:00 IST,2024-08-06 18:30:00 IST,2024-08-18 15:30:00 IST,2024-08-21 18:30:00 IST,2024-08-21 18:30:00 IST,2024-08-21 19:30:00 IST,140.6,136.212,4.388,3.1455,140.6,136.212,139.503,136.212,140.340018,2.3591,14.84,14.84,A,1.0,6.83,4.8578,1.5565,30,23,139,139.0,1,35.0,8.9,0.11228112303905578,7.71,9.460041717524053,140.35140379881972,0.8421084227929183,0.7298272997538625,10.189869017277916,FILLED_TP,TP_HIT,False,1,1.0,0.2543,1.49,1h,Fixed +0.60% TP reached at 140.340018.
9,SOLUSD,SHORT,2024-08-24 23:00:00+00:00,2024-08-08 23:00:00+00:00,2024-08-25 07:00:00+00:00,2024-08-25 21:00:00+00:00,2024-08-25 21:00:00+00:00,2024-08-25 22:00:00+00:00,2024-08-25 04:30:00 IST,2024-08-09 04:30:00 IST,2024-08-25 12:30:00 IST,2024-08-26 02:30:00 IST,2024-08-26 02:30:00 IST,2024-08-26 03:30:00 IST,163.61,160.464,3.146,1.951,160.464,163.61,161.2505,163.61,160.282997,1.4633,23.92,23.92,A,1.0,5.091,3.1727,1.6182,7,0,22,22.0,1,35.0,14.35,0.19498792655721778,12.44,10.189869017277916,243.7349081965222,1.462409449179133,1.2674215226219152,11.45729053989983,FILLED_TP,TP_HIT,False,1,1.0,0.41,1.9001,1h,Fixed +0.60% TP reached at 160.282997.
10,SOLUSD,LONG,2024-08-23 11:00:00+00:00,2024-08-22 15:00:00+00:00,2024-08-23 14:00:00+00:00,2024-08-28 08:00:00+00:00,2024-08-28 08:00:00+00:00,2024-08-28 09:00:00+00:00,2024-08-23 16:30:00 IST,2024-08-22 20:30:00 IST,2024-08-23 19:30:00 IST,2024-08-28 13:30:00 IST,2024-08-28 13:30:00 IST,2024-08-28 14:30:00 IST,143.578,142.117,1.461,1.0202,143.578,142.117,143.21275,142.117,144.072026,0.7651,45.74,45.74,A,1.0,3.596,2.5046,2.4613,2,1,117,117.0,1,35.0,27.45,0.4192858079078687,23.79,11.45729053989983,524.1072598848358,3.1446435593090145,2.725357751401146,14.182648291300977,FILLED_TP,TP_HIT,False,1,1.0,0.7842,2.6843,1h,Fixed +0.60% TP reached at 144.072026.
