month,trades,wins,losses,wr_pct,total_r,end_capital
2024-07,2,2,0,100.0,1.59,15.3845
2024-08,4,3,1,75.0,1.08,16.7747
2024-09,4,3,1,75.0,0.92,17.7862
2024-10,8,5,3,62.5,2.61,16.2819
2024-11,3,3,0,100.0,1.25,23.1345
2024-12,4,3,1,75.0,-0.22,18.2921
2025-01,1,1,0,100.0,0.4,20.5311
2025-02,3,2,1,66.67,0.31,18.6627
2025-03,5,3,2,60.0,-0.77,10.6562
2025-04,3,2,1,66.67,1.44,12.1278
2025-05,9,8,1,88.89,5.76,43.1472
2025-06,4,4,0,100.0,3.53,110.3454
2025-07,2,1,1,50.0,-0.01,87.7459
2025-08,3,2,1,66.67,0.3,79.4143
2025-09,4,3,1,75.0,1.43,93.744
2025-10,7,7,0,100.0,6.67,543.9119
2025-11,3,2,1,66.67,-0.14,436.9312
2025-12,6,3,3,50.0,-0.2,214.1814
2026-01,4,2,2,50.0,0.63,146.0756
2026-02,2,2,0,100.0,1.54,222.3664
2026-03,5,5,0,100.0,3.36,552.4163
2026-04,3,2,1,66.67,1.91,653.385
2026-05,3,2,1,66.67,1.53,727.3386
2026-06,3,2,1,66.67,0.91,757.9807
2026-07,7,5,2,71.43,2.82,988.3955
2026-08,2,1,1,50.0,-0.42,712.7431
