trade_id,asset,direction,bos_time,ob_formation_time,displacement_confirmed_time,retest_time,entry_time,exit_time,bos_time_ist,ob_formation_time_ist,displacement_confirmed_time_ist,retest_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,proximal,distal,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,theoretical_leverage,leverage,displacement_mode,displacement_threshold_value,mfe_from_proximal,mfe_pct,mfe_ob_width_multiples,candles_fully_outside_ob,pre_displacement_touches,entry_bar_from_bos,ob_age_at_entry_hours,retest_number,gross_sl_return_pct,gross_tp_return_pct,fees_usd,net_return_pct,starting_capital,position_notional,gross_pnl_usd,pnl_usd,ending_capital,outcome,reason_for_exit,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,XRPUSD,LONG,2024-07-01 11:00:00+00:00,2024-07-01 01:00:00+00:00,2024-07-02 10:00:00+00:00,2024-07-03 03:00:00+00:00,2024-07-03 03:00:00+00:00,2024-07-03 07:00:00+00:00,2024-07-01 16:30:00 IST,2024-07-01 06:30:00 IST,2024-07-02 15:30:00 IST,2024-07-03 08:30:00 IST,2024-07-03 08:30:00 IST,2024-07-03 12:30:00 IST,0.4798,0.4757,0.0041,0.8564,0.4798,0.4757,0.478775,0.4757,0.481648,0.6423,54.49,54.49,A,1.0,0.0088,1.8341,2.1463,4,15,40,40.0,1,35.0,32.7,0.43595772357723656,28.34,10.0,544.9471544715457,3.2696829268292738,2.8337252032520373,12.833725203252037,FILLED_TP,TP_HIT,False,4,4.0,0.9342,0.9342,1h,Fixed +0.60% TP reached at 0.481648.
2,XRPUSD,LONG,2024-07-06 01:00:00+00:00,2024-07-05 18:00:00+00:00,2024-07-06 06:00:00+00:00,2024-07-07 13:00:00+00:00,2024-07-07 13:00:00+00:00,2024-07-07 15:00:00+00:00,2024-07-06 06:30:00 IST,2024-07-05 23:30:00 IST,2024-07-06 11:30:00 IST,2024-07-07 18:30:00 IST,2024-07-07 18:30:00 IST,2024-07-07 20:30:00 IST,0.4272,0.422,0.0052,1.2209,0.4272,0.422,0.4259,0.422,0.428455,0.9157,38.22,38.22,A,1.0,0.0056,1.3109,1.0769,1,1,36,36.0,1,35.0,22.93,0.3924224097277453,19.88,12.833725203252037,490.52801215968157,2.943168072958089,2.5507456632303436,15.384470866482381,FILLED_TP,TP_HIT,False,2,2.0,0.6552,1.5894,1h,Fixed +0.60% TP reached at 0.428455.
3,XRPUSD,LONG,2024-07-15 15:00:00+00:00,2024-07-14 23:00:00+00:00,2024-07-15 16:00:00+00:00,2024-08-04 16:00:00+00:00,2024-08-04 16:00:00+00:00,2024-08-04 17:00:00+00:00,2024-07-15 20:30:00 IST,2024-07-15 04:30:00 IST,2024-07-15 21:30:00 IST,2024-08-04 21:30:00 IST,2024-08-04 21:30:00 IST,2024-08-04 22:30:00 IST,0.526,0.5198,0.0062,1.1822,0.526,0.5198,0.52445,0.5198,0.527597,0.8866,39.47,39.47,A,1.0,0.0079,1.5019,1.2742,0,1,481,481.0,1,35.0,23.68,0.4858382814751508,-38.16,15.384470866482381,607.2978518439385,-5.384564803268833,-5.870403084743984,9.514067781738397,FILLED_SL,SL_HIT,False,1,1.0,-1.0,0.5894,1h,Distal SL breached at 0.519800.
4,XRPUSD,SHORT,2024-08-15 11:00:00+00:00,2024-08-15 02:00:00+00:00,2024-08-15 18:00:00+00:00,2024-08-16 06:00:00+00:00,2024-08-16 06:00:00+00:00,2024-08-16 11:00:00+00:00,2024-08-15 16:30:00 IST,2024-08-15 07:30:00 IST,2024-08-15 23:30:00 IST,2024-08-16 11:30:00 IST,2024-08-16 11:30:00 IST,2024-08-16 16:30:00 IST,0.5745,0.5675,0.007,1.2297,0.5675,0.5745,0.56925,0.5745,0.565835,0.9223,37.95,37.95,A,1.0,0.0135,2.3789,1.9286,1,6,19,19.0,1,35.0,22.77,0.28884709785357904,19.73,9.514067781738397,361.0588723169738,2.1663532339018428,1.8775061360482637,11.391573917786662,FILLED_TP,TP_HIT,False,5,5.0,0.6506,1.24,1h,Fixed +0.60% TP reached at 0.565835.
5,XRPUSD,SHORT,2024-08-16 06:00:00+00:00,2024-08-15 15:00:00+00:00,2024-08-16 12:00:00+00:00,2024-08-17 16:00:00+00:00,2024-08-17 16:00:00+00:00,2024-08-17 20:00:00+00:00,2024-08-16 11:30:00 IST,2024-08-15 20:30:00 IST,2024-08-16 17:30:00 IST,2024-08-17 21:30:00 IST,2024-08-17 21:30:00 IST,2024-08-18 01:30:00 IST,0.5734,0.5688,0.0046,0.8071,0.5688,0.5734,0.56995,0.5734,0.56653,0.6053,57.82,57.82,A,1.0,0.012,2.1097,2.6087,1,2,34,34.0,1,35.0,34.69,0.5269378884764836,30.07,11.391573917786662,658.6723605956045,3.952034163573627,3.425096275097143,14.816670192883805,FILLED_TP,TP_HIT,False,4,4.0,0.9912,2.2312,1h,Fixed +0.60% TP reached at 0.566530.
6,XRPUSD,LONG,2024-08-22 02:00:00+00:00,2024-08-21 13:00:00+00:00,2024-08-23 18:00:00+00:00,2024-08-26 02:00:00+00:00,2024-08-26 02:00:00+00:00,2024-08-26 03:00:00+00:00,2024-08-22 07:30:00 IST,2024-08-21 18:30:00 IST,2024-08-23 23:30:00 IST,2024-08-26 07:30:00 IST,2024-08-26 07:30:00 IST,2024-08-26 08:30:00 IST,0.5963,0.5854,0.0109,1.8363,0.5963,0.5854,0.593575,0.5854,0.597136,1.3772,25.41,25.41,A,1.0,0.0132,2.2137,1.211,28,1,96,96.0,1,35.0,15.25,0.301228795440669,13.21,14.816670192883805,376.5359943008362,2.259215965805017,1.957987170364348,16.774657363248153,FILLED_TP,TP_HIT,False,1,1.0,0.4357,2.6669,1h,Fixed +0.60% TP reached at 0.597136.
7,XRPUSD,SHORT,2024-09-08 10:00:00+00:00,2024-09-07 15:00:00+00:00,2024-09-08 11:00:00+00:00,2024-09-09 07:00:00+00:00,2024-09-09 07:00:00+00:00,2024-09-09 08:00:00+00:00,2024-09-08 15:30:00 IST,2024-09-07 20:30:00 IST,2024-09-08 16:30:00 IST,2024-09-09 12:30:00 IST,2024-09-09 12:30:00 IST,2024-09-09 13:30:00 IST,0.533,0.5309,0.0021,0.3952,0.5309,0.533,0.531425,0.533,0.528236,0.2964,118.09,100.0,A,1.0,0.0021,0.3956,1.0,0,0,21,21.0,1,29.64,60.0,1.3419725890598522,-37.64,16.774657363248153,1677.4657363248152,-4.971554847272094,-6.313527436331945,10.461129926916207,FILLED_SL,SL_HIT,False,1,1.0,-1.0,1.6669,1h,Distal SL breached at 0.533000.
8,XRPUSD,LONG,2024-09-09 09:00:00+00:00,2024-09-08 22:00:00+00:00,2024-09-09 16:00:00+00:00,2024-09-11 12:00:00+00:00,2024-09-11 12:00:00+00:00,2024-09-11 13:00:00+00:00,2024-09-09 14:30:00 IST,2024-09-09 03:30:00 IST,2024-09-09 21:30:00 IST,2024-09-11 17:30:00 IST,2024-09-11 17:30:00 IST,2024-09-11 18:30:00 IST,0.5314,0.5259,0.0055,1.0377,0.5314,0.5259,0.530025,0.5259,0.533205,0.7783,44.97,44.97,A,1.0,0.0056,1.0538,1.0182,0,4,51,51.0,1,35.0,26.98,0.376364826439728,23.39,10.461129926916207,470.45603304966,2.82273619829796,2.4463713718582323,12.90750129877444,FILLED_TP,TP_HIT,False,1,1.0,0.7709,2.4378,1h,Fixed +0.60% TP reached at 0.533205.
9,XRPUSD,SHORT,2024-09-10 12:00:00+00:00,2024-09-06 12:00:00+00:00,2024-09-11 12:00:00+00:00,2024-09-12 02:00:00+00:00,2024-09-12 02:00:00+00:00,2024-09-12 06:00:00+00:00,2024-09-10 17:30:00 IST,2024-09-06 17:30:00 IST,2024-09-11 17:30:00 IST,2024-09-12 07:30:00 IST,2024-09-12 07:30:00 IST,2024-09-12 11:30:00 IST,0.5452,0.5375,0.0077,1.4274,0.5375,0.5452,0.539425,0.5452,0.536188,1.0706,32.69,32.69,A,1.0,0.0086,1.6,1.1169,11,9,38,38.0,1,35.0,19.62,0.3375820066953422,17.0,12.90750129877444,421.97750836917777,2.5318650502150666,2.1942830435197243,15.101784342294163,FILLED_TP,TP_HIT,False,4,4.0,0.5604,2.9983,1h,Fixed +0.60% TP reached at 0.536188.
10,XRPUSD,LONG,2024-09-23 08:00:00+00:00,2024-09-23 00:00:00+00:00,2024-09-25 01:00:00+00:00,2024-09-25 06:00:00+00:00,2024-09-25 06:00:00+00:00,2024-09-25 09:00:00+00:00,2024-09-23 13:30:00 IST,2024-09-23 05:30:00 IST,2024-09-25 06:30:00 IST,2024-09-25 11:30:00 IST,2024-09-25 11:30:00 IST,2024-09-25 14:30:00 IST,0.588,0.58,0.008,1.3652,0.588,0.58,0.586,0.58,0.589516,1.0239,34.18,34.18,A,1.0,0.008,1.3605,1.0,11,23,46,46.0,1,35.0,20.51,0.41298346248060397,17.78,15.101784342294163,516.229328100755,3.09737596860453,2.6843925061239258,17.786176848418087,FILLED_TP,TP_HIT,False,3,3.0,0.586,3.5843,1h,Fixed +0.60% TP reached at 0.589516.
