month,trades,wins,losses,ambiguous,win_rate_pct,realized_r,profit_factor,starting_capital,ending_capital
2024-06,28,10,18,2,35.71,-8.65,0.52,10.0000,0.0149
2024-07,50,30,20,4,60.0,2.19,1.11,0.0149,0.0003
2024-08,48,26,22,0,54.17,-5.48,0.75,0.0003,0.0000
2024-09,63,29,34,1,46.03,-12.32,0.64,0.0000,0.0000
2024-10,47,17,30,3,36.17,-12.43,0.59,0.0000,0.0000
2024-11,41,23,18,5,56.1,-3.57,0.8,0.0000,0.0000
2024-12,50,24,26,3,48.0,-13.39,0.48,0.0000,0.0000
2025-01,38,22,16,2,57.89,-1.29,0.92,0.0000,0.0000
2025-02,34,21,13,0,61.76,3.38,1.26,0.0000,0.0000
2025-03,37,22,15,2,59.46,-3.21,0.79,0.0000,0.0000
2025-04,45,27,18,2,60.0,-1.34,0.93,0.0000,0.0000
2025-05,53,31,22,2,58.49,3.1,1.14,0.0000,0.0000
2025-06,47,21,26,3,44.68,-8.32,0.68,0.0000,0.0000
2025-07,50,24,26,2,48.0,1.09,1.04,0.0000,0.0000
2025-08,40,23,17,2,57.5,5.15,1.3,0.0000,0.0000
2025-09,48,29,19,1,60.42,18.0,1.95,0.0000,0.0000
2025-10,53,32,21,4,60.38,4.77,1.23,0.0000,0.0000
2025-11,43,25,18,0,58.14,-0.85,0.95,0.0000,0.0000
2025-12,61,31,30,4,50.82,-5.19,0.83,0.0000,0.0000
2026-01,42,18,24,0,42.86,-2.88,0.88,0.0000,0.0000
2026-02,33,16,17,3,48.48,-5.99,0.65,0.0000,0.0000
2026-03,36,22,14,0,61.11,5.22,1.37,0.0000,0.0000
2026-04,44,18,26,1,40.91,-8.71,0.67,0.0000,0.0000
2026-05,45,23,22,0,51.11,2.12,1.1,0.0000,0.0000
2026-06,41,24,17,2,58.54,2.53,1.15,0.0000,0.0000
2026-07,55,27,28,0,49.09,-0.39,0.99,0.0000,0.0000
2026-08,31,15,16,1,48.39,4.05,1.25,0.0000,0.0000
