month,trades,wins,losses,ambiguous,win_rate_pct,realized_r,profit_factor,starting_capital,ending_capital
2024-06,28,9,19,2,32.14,-10.19,0.46,10.0000,0.0081
2024-07,52,28,24,5,53.85,-3.6,0.85,0.0081,0.0000
2024-08,50,26,24,0,52.0,-7.38,0.69,0.0000,0.0000
2024-09,62,29,33,0,46.77,-11.09,0.66,0.0000,0.0000
2024-10,48,17,31,2,35.42,-13.43,0.57,0.0000,0.0000
2024-11,45,25,20,5,55.56,-5.19,0.74,0.0000,0.0000
2024-12,51,22,29,3,43.14,-15.29,0.47,0.0000,0.0000
2025-01,43,27,16,1,62.79,1.54,1.1,0.0000,0.0000
2025-02,35,19,16,0,54.29,-1.04,0.93,0.0000,0.0000
2025-03,37,24,13,1,64.86,2.09,1.16,0.0000,0.0000
2025-04,49,26,23,2,53.06,-6.85,0.7,0.0000,0.0000
2025-05,53,28,25,2,52.83,-1.78,0.93,0.0000,0.0000
2025-06,48,18,30,3,37.5,-12.22,0.59,0.0000,0.0000
2025-07,49,24,25,2,48.98,2.09,1.08,0.0000,0.0000
2025-08,41,22,19,1,53.66,0.68,1.04,0.0000,0.0000
2025-09,51,28,23,1,54.9,14.28,1.62,0.0000,0.0000
2025-10,51,31,20,3,60.78,5.68,1.28,0.0000,0.0000
2025-11,43,25,18,0,58.14,-0.85,0.95,0.0000,0.0000
2025-12,59,29,30,3,49.15,-6.07,0.8,0.0000,0.0000
2026-01,41,18,23,0,43.9,-1.88,0.92,0.0000,0.0000
2026-02,32,14,18,3,43.75,-7.81,0.57,0.0000,0.0000
2026-03,42,25,17,1,59.52,4.32,1.25,0.0000,0.0000
2026-04,42,16,26,1,38.1,-10.69,0.59,0.0000,0.0000
2026-05,44,23,21,0,52.27,3.84,1.18,0.0000,0.0000
2026-06,42,24,18,1,57.14,1.92,1.11,0.0000,0.0000
2026-07,55,27,28,0,49.09,0.1,1.0,0.0000,0.0000
2026-08,28,12,16,1,42.86,1.52,1.1,0.0000,0.0000
