asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,bars_from_touch_to_old_entry,old_entry_time,old_entry_time_ist,old_exit_time,old_exit_time_ist,entry_price,sl_price,tp_price,leverage,old_outcome,old_realized_r,old_net_pnl,removal_reason,capital_impact_type
SOLUSD,LONG,2024-06-20 16:00:00+00:00,2024-06-20 21:30:00 IST,2024-06-20 17:00:00+00:00,2024-06-20 22:30:00 IST,7,2024-06-21 00:00:00+00:00,2024-06-21 05:30:00 IST,2024-06-21 00:00:00+00:00,2024-06-21 05:30:00 IST,132.284,130.418,133.0777,24.81,FILLED_TP,0.4254,0.024698822657811384,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2024-06-22 23:00:00+00:00,2024-06-23 04:30:00 IST,2024-06-23 00:00:00+00:00,2024-06-23 05:30:00 IST,14,2024-06-23 14:00:00+00:00,2024-06-23 19:30:00 IST,2024-06-23 20:00:00+00:00,2024-06-24 01:30:00 IST,3487.6375,3455.65,3508.5633,38.16,FILLED_SL,-1.0,-0.09962792499378376,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
XRPUSD,LONG,2024-06-28 07:00:00+00:00,2024-06-28 12:30:00 IST,2024-06-28 10:00:00+00:00,2024-06-28 15:30:00 IST,5,2024-06-28 15:00:00+00:00,2024-06-28 20:30:00 IST,2024-06-28 15:00:00+00:00,2024-06-28 20:30:00 IST,0.4756,0.4721,0.4785,47.23,FILLED_TP,0.8096,0.008286913434826489,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2024-07-07 07:00:00+00:00,2024-07-07 12:30:00 IST,2024-07-07 08:00:00+00:00,2024-07-07 13:30:00 IST,4,2024-07-07 12:00:00+00:00,2024-07-07 17:30:00 IST,2024-07-07 12:00:00+00:00,2024-07-07 17:30:00 IST,3000.7,2984.95,3018.7042,66.68,FILLED_TP,1.1431,0.004796377646412685,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,SHORT,2024-07-17 09:00:00+00:00,2024-07-17 14:30:00 IST,2024-07-17 10:00:00+00:00,2024-07-17 15:30:00 IST,54,2024-07-19 16:00:00+00:00,2024-07-19 21:30:00 IST,2024-07-19 16:00:00+00:00,2024-07-19 21:30:00 IST,3498.075,3522.3,3477.0865,50.54,FILLED_TP,0.8664,0.0006437777231993168,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2024-07-31 01:00:00+00:00,2024-07-31 06:30:00 IST,2024-07-31 02:00:00+00:00,2024-07-31 07:30:00 IST,4,2024-07-31 06:00:00+00:00,2024-07-31 11:30:00 IST,2024-07-31 12:00:00+00:00,2024-07-31 17:30:00 IST,182.3015,184.844,181.2077,25.1,FILLED_TP,0.4302,2.306292559385097e-05,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2024-08-13 21:00:00+00:00,2024-08-14 02:30:00 IST,2024-08-13 22:00:00+00:00,2024-08-14 03:30:00 IST,5,2024-08-14 03:00:00+00:00,2024-08-14 08:30:00 IST,2024-08-14 03:00:00+00:00,2024-08-14 08:30:00 IST,61208.5,61829.5,60841.249,34.5,FILLED_TP,0.5914,7.20970141195404e-07,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2024-08-20 09:00:00+00:00,2024-08-20 14:30:00 IST,2024-08-20 10:00:00+00:00,2024-08-20 15:30:00 IST,33,2024-08-21 19:00:00+00:00,2024-08-22 00:30:00 IST,2024-08-21 19:00:00+00:00,2024-08-22 00:30:00 IST,61053.875,61724.0,60687.5517,31.89,FILLED_TP,0.5466,2.948932231039856e-07,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2024-08-22 02:00:00+00:00,2024-08-22 07:30:00 IST,2024-08-22 03:00:00+00:00,2024-08-22 08:30:00 IST,35,2024-08-23 14:00:00+00:00,2024-08-23 19:30:00 IST,2024-08-23 14:00:00+00:00,2024-08-23 19:30:00 IST,0.5936,0.5854,0.5971,25.41,FILLED_TP,0.4357,2.739842304532247e-07,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2024-09-05 04:00:00+00:00,2024-09-05 09:30:00 IST,2024-09-05 05:00:00+00:00,2024-09-05 10:30:00 IST,3,2024-09-05 08:00:00+00:00,2024-09-05 13:30:00 IST,2024-09-05 08:00:00+00:00,2024-09-05 13:30:00 IST,133.78,134.674,132.9773,52.37,FILLED_TP,0.8979,4.384365095135372e-08,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2024-09-12 05:00:00+00:00,2024-09-12 10:30:00 IST,2024-09-12 06:00:00+00:00,2024-09-12 11:30:00 IST,3,2024-09-12 09:00:00+00:00,2024-09-12 14:30:00 IST,2024-09-12 14:00:00+00:00,2024-09-12 19:30:00 IST,2352.1,2329.45,2366.2126,36.35,FILLED_SL,-1.0,-2.5168494205517344e-08,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
