trade_id,asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,entry_time,entry_time_ist,exit_time,exit_time_ist,touch_to_fill_bars,ob_high,ob_low,ob_width,ob_width_pct,entry_price,sl_price,tp_price,sl_distance_pct,leverage,actual_sl_risk_pct,tp_target_return_pct,starting_capital,position_notional,gross_pnl,fees,net_pnl,ending_capital,outcome,exit_reason,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,BTCUSD,SHORT,2024-06-10 14:00:00+00:00,2024-06-10 19:30:00 IST,2024-06-10 15:00:00+00:00,2024-06-10 20:30:00 IST,2024-06-10 15:00:00+00:00,2024-06-10 20:30:00 IST,2024-06-10 15:00:00+00:00,2024-06-10 20:30:00 IST,0,69813.0,69612.0,201.0,0.2885,69662.25,69813.0,69244.2765,0.2164,100.0,21.64,60.0,10.000000,1000.000000,-2.164013,0.800000,-2.964013,7.035987,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-1.0,1h,Price breached distal stop loss at 69813.0000.
2,BTCUSD,LONG,2024-06-10 19:00:00+00:00,2024-06-11 00:30:00 IST,2024-06-10 20:00:00+00:00,2024-06-11 01:30:00 IST,2024-06-10 20:00:00+00:00,2024-06-11 01:30:00 IST,2024-06-11 01:00:00+00:00,2024-06-11 06:30:00 IST,0,69492.0,69186.0,306.0,0.4408,69415.5,69186.0,69831.993,0.3306,100.0,33.06,60.0,7.035987,703.598721,-2.326223,0.562879,-2.889102,4.146886,FILLED_SL,SL_HIT,False,5,5.0,-1.0,-2.0,1h,Price breached distal stop loss at 69186.0000.
3,ETHUSD,SHORT,2024-06-12 07:00:00+00:00,2024-06-12 12:30:00 IST,2024-06-12 08:00:00+00:00,2024-06-12 13:30:00 IST,2024-06-12 08:00:00+00:00,2024-06-12 13:30:00 IST,2024-06-12 10:00:00+00:00,2024-06-12 15:30:00 IST,0,3547.0,3525.25,21.75,0.616,3530.6875,3547.0,3509.5034,0.462,75.75,35.0,45.45,4.146886,314.144062,-1.451410,0.251315,-1.702725,2.444160,FILLED_SL,SL_HIT,False,2,2.0,-1.0,-3.0,1h,Price breached distal stop loss at 3547.0000.
4,BTCUSD,SHORT,2024-06-12 16:00:00+00:00,2024-06-12 21:30:00 IST,2024-06-12 17:00:00+00:00,2024-06-12 22:30:00 IST,2024-06-12 17:00:00+00:00,2024-06-12 22:30:00 IST,2024-06-12 18:00:00+00:00,2024-06-12 23:30:00 IST,0,70198.0,69627.0,571.0,0.8184,69769.75,70198.0,69351.1315,0.6138,57.02,35.0,34.21,2.444160,139.369436,0.836217,0.111496,0.724721,3.168881,FILLED_TP,TP_HIT,False,1,1.0,0.9775,-2.0225,1h,Price reached fixed +0.60% TP target at 69351.1315.
5,SOLUSD,LONG,2024-06-13 19:00:00+00:00,2024-06-14 00:30:00 IST,2024-06-13 20:00:00+00:00,2024-06-14 01:30:00 IST,2024-06-13 20:00:00+00:00,2024-06-14 01:30:00 IST,2024-06-14 02:00:00+00:00,2024-06-14 07:30:00 IST,0,148.295,145.645,2.65,1.795,147.6325,145.645,148.5183,1.3462,26.0,35.0,15.6,3.168881,82.385138,0.494311,0.065908,0.428403,3.597284,FILLED_TP,TP_HIT,False,6,6.0,0.4457,-1.5768,1h,Price reached fixed +0.60% TP target at 148.5183.
6,XRPUSD,SHORT,2024-06-15 08:00:00+00:00,2024-06-15 13:30:00 IST,2024-06-15 09:00:00+00:00,2024-06-15 14:30:00 IST,2024-06-15 09:00:00+00:00,2024-06-15 14:30:00 IST,2024-06-15 10:00:00+00:00,2024-06-15 15:30:00 IST,0,0.4807,0.479,0.0017,0.3546,0.4794,0.4807,0.4765,0.2659,100.0,26.59,60.0,3.597284,359.728418,-0.956675,0.287783,-1.244457,2.352827,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-2.5768,1h,Price breached distal stop loss at 0.4807.
7,BTCUSD,SHORT,2024-06-16 05:00:00+00:00,2024-06-16 10:30:00 IST,2024-06-16 06:00:00+00:00,2024-06-16 11:30:00 IST,2024-06-16 06:00:00+00:00,2024-06-16 11:30:00 IST,2024-06-16 10:00:00+00:00,2024-06-16 15:30:00 IST,0,66503.5,66233.0,270.5,0.408,66300.625,66503.5,65902.8212,0.306,100.0,30.6,60.0,2.352827,235.282682,-0.719948,0.188226,-0.908174,1.444653,FILLED_SL,SL_HIT,False,4,4.0,-1.0,-3.5768,1h,Price breached distal stop loss at 66503.5000.
8,ETHUSD,LONG,2024-06-17 01:00:00+00:00,2024-06-17 06:30:00 IST,2024-06-17 02:00:00+00:00,2024-06-17 07:30:00 IST,2024-06-17 02:00:00+00:00,2024-06-17 07:30:00 IST,2024-06-17 03:00:00+00:00,2024-06-17 08:30:00 IST,0,3613.05,3578.45,34.6,0.9599,3604.4,3578.45,3626.0264,0.72,48.61,35.0,29.17,1.444653,70.230739,-0.505629,0.056185,-0.561813,0.882840,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-4.5768,1h,Price breached distal stop loss at 3578.4500.
9,XRPUSD,LONG,2024-06-17 06:00:00+00:00,2024-06-17 11:30:00 IST,2024-06-17 07:00:00+00:00,2024-06-17 12:30:00 IST,2024-06-17 07:00:00+00:00,2024-06-17 12:30:00 IST,2024-06-17 07:00:00+00:00,2024-06-17 12:30:00 IST,0,0.4869,0.4849,0.002,0.4112,0.4864,0.4849,0.4893,0.3084,100.0,30.84,60.0,0.882840,88.283992,-0.272257,0.070627,-0.342885,0.539955,FILLED_SL,DUAL_TOUCH_CONSERVATIVE_SL,True,1,1.0,-1.0,-5.5768,1h,Dual-touch ambiguous candle: Both TP and SL touched in same 1H candle. Conservative standard resolves to SL.
10,BTCUSD,SHORT,2024-06-17 17:00:00+00:00,2024-06-17 22:30:00 IST,2024-06-17 18:00:00+00:00,2024-06-17 23:30:00 IST,2024-06-17 18:00:00+00:00,2024-06-17 23:30:00 IST,2024-06-17 18:00:00+00:00,2024-06-17 23:30:00 IST,0,66993.0,66563.5,429.5,0.6442,66670.875,66993.0,66270.8497,0.4832,72.44,35.0,43.46,0.539955,39.114485,-0.188984,0.031292,-0.220276,0.319679,FILLED_SL,SL_HIT,False,1,1.0,-1.0,-6.5768,1h,Price breached distal stop loss at 66993.0000.
