trade_id,asset,direction,ob_formation_time,bos_time,retest_time,entry_time,exit_time,ob_formation_time_ist,bos_time_ist,retest_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,theoretical_leverage,leverage,gross_sl_return_pct,gross_tp_return_pct,fees,net_return_pct,starting_capital,position_notional,gross_pnl_usd,pnl_usd,ending_capital,ob_age_hours,retest_number,outcome,reason_for_entry,reason_for_exit,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,SOLUSD,SHORT,2026-07-31 18:00:00+00:00,2026-08-01 00:00:00+00:00,2026-08-01 01:00:00+00:00,2026-08-01 01:00:00+00:00,2026-08-01 16:00:00+00:00,2026-07-31 23:30:00 IST,2026-08-01 05:30:00 IST,2026-08-01 06:30:00 IST,2026-08-01 06:30:00 IST,2026-08-01 21:30:00 IST,73.497,72.936,0.0208,0.7692,72.936,73.497,72.4984,0.7692,45.5,45.5,35.0,27.3,0.364030,23.66,10.000000,455.037433,2.730225,2.366195,12.366195,1.0,1,FILLED_TP,Price retested proximal edge (72.9360) of confirmed SHORT OB.,TP_HIT,False,15,15.0,0.7801,0.7801,1h,Price reached fixed +0.60% TP target at 72.4984.
2,ETHUSD,LONG,2026-08-01 10:00:00+00:00,2026-08-01 16:00:00+00:00,2026-08-01 17:00:00+00:00,2026-08-01 17:00:00+00:00,2026-08-01 17:00:00+00:00,2026-08-01 15:30:00 IST,2026-08-01 21:30:00 IST,2026-08-01 22:30:00 IST,2026-08-01 22:30:00 IST,2026-08-01 22:30:00 IST,1868.05,1862.0,0.0208,0.3239,1868.05,1862.0,1879.2583,0.3239,108.07,100.0,32.39,60.0,0.989296,-40.39,12.366195,1236.619465,-4.005004,-4.994300,7.371895,1.0,1,FILLED_SL,Price retested proximal edge (1868.0500) of confirmed LONG OB.,SL_HIT,False,1,1.0,-1.0,-0.2199,1h,Price breached distal stop loss at 1862.0000.
3,ETHUSD,LONG,2026-07-24 14:00:00+00:00,2026-08-01 17:00:00+00:00,2026-08-01 18:00:00+00:00,2026-08-01 18:00:00+00:00,2026-08-01 18:00:00+00:00,2026-07-24 19:30:00 IST,2026-08-01 22:30:00 IST,2026-08-01 23:30:00 IST,2026-08-01 23:30:00 IST,2026-08-01 23:30:00 IST,1862.4,1847.0,0.0208,0.8269,1862.4,1847.0,1873.5744,0.8269,42.33,42.33,35.0,25.4,0.249626,-38.39,7.371895,312.032213,-2.580163,-2.829789,4.542106,1.0,1,FILLED_SL,Price retested proximal edge (1862.4000) of confirmed LONG OB.,SL_HIT,False,1,1.0,-1.0,-1.2199,1h,Price breached distal stop loss at 1847.0000.
4,XRPUSD,LONG,2026-08-02 09:00:00+00:00,2026-08-03 00:00:00+00:00,2026-08-03 01:00:00+00:00,2026-08-03 01:00:00+00:00,2026-08-03 01:00:00+00:00,2026-08-02 14:30:00 IST,2026-08-03 05:30:00 IST,2026-08-03 06:30:00 IST,2026-08-03 06:30:00 IST,2026-08-03 06:30:00 IST,1.0843,1.0769,0.0208,0.6825,1.0843,1.0769,1.0908,0.6825,51.28,51.28,35.0,30.77,0.186352,-39.1,4.542106,232.939452,-1.589737,-1.776089,2.766017,1.0,1,FILLED_SL,Price retested proximal edge (1.0843) of confirmed LONG OB.,SL_HIT,False,1,1.0,-1.0,-2.2199,1h,Price breached distal stop loss at 1.0769.
5,ETHUSD,LONG,2026-08-02 11:00:00+00:00,2026-08-03 01:00:00+00:00,2026-08-03 02:00:00+00:00,2026-08-03 02:00:00+00:00,2026-08-03 06:00:00+00:00,2026-08-02 16:30:00 IST,2026-08-03 06:30:00 IST,2026-08-03 07:30:00 IST,2026-08-03 07:30:00 IST,2026-08-03 11:30:00 IST,1868.85,1848.15,0.0208,1.1076,1868.85,1848.15,1880.0631,1.1076,31.6,31.6,35.0,18.96,0.069923,-37.53,2.766017,87.403142,-0.968106,-1.038029,1.727989,1.0,1,FILLED_SL,Price retested proximal edge (1868.8500) of confirmed LONG OB.,SL_HIT,False,4,4.0,-1.0,-3.2199,1h,Price breached distal stop loss at 1848.1500.
6,BTCUSD,LONG,2026-08-01 18:00:00+00:00,2026-08-03 12:00:00+00:00,2026-08-03 13:00:00+00:00,2026-08-03 13:00:00+00:00,2026-08-03 13:00:00+00:00,2026-08-01 23:30:00 IST,2026-08-03 17:30:00 IST,2026-08-03 18:30:00 IST,2026-08-03 18:30:00 IST,2026-08-03 18:30:00 IST,62717.5,62245.0,0.0208,0.7534,62717.5,62245.0,63093.805,0.7534,46.46,46.46,35.0,27.87,0.064222,24.16,1.727989,80.277878,0.481667,0.417445,2.145434,1.0,1,FILLED_TP,Price retested proximal edge (62717.5000) of confirmed LONG OB.,TP_HIT,False,1,1.0,0.7964,-2.4235,1h,Price reached fixed +0.60% TP target at 63093.8050.
7,SOLUSD,SHORT,2026-08-02 21:00:00+00:00,2026-08-03 14:00:00+00:00,2026-08-03 15:00:00+00:00,2026-08-03 15:00:00+00:00,2026-08-03 16:00:00+00:00,2026-08-03 02:30:00 IST,2026-08-03 19:30:00 IST,2026-08-03 20:30:00 IST,2026-08-03 20:30:00 IST,2026-08-03 21:30:00 IST,74.348,73.676,0.0208,0.9121,73.676,74.348,73.2339,0.9121,38.37,38.37,35.0,23.02,0.065861,19.95,2.145434,82.326550,0.493959,0.428098,2.573532,1.0,1,FILLED_TP,Price retested proximal edge (73.6760) of confirmed SHORT OB.,TP_HIT,False,1,1.0,0.6578,-1.7657,1h,Price reached fixed +0.60% TP target at 73.2339.
8,ETHUSD,LONG,2026-08-04 07:00:00+00:00,2026-08-04 13:00:00+00:00,2026-08-04 14:00:00+00:00,2026-08-04 14:00:00+00:00,2026-08-04 15:00:00+00:00,2026-08-04 12:30:00 IST,2026-08-04 18:30:00 IST,2026-08-04 19:30:00 IST,2026-08-04 19:30:00 IST,2026-08-04 20:30:00 IST,1864.35,1852.5,0.0208,0.6356,1864.35,1852.5,1875.5361,0.6356,55.07,55.07,35.0,33.04,0.113370,28.63,2.573532,141.712017,0.850272,0.736902,3.310434,1.0,1,FILLED_TP,Price retested proximal edge (1864.3500) of confirmed LONG OB.,TP_HIT,False,1,1.0,0.944,-0.8217,1h,Price reached fixed +0.60% TP target at 1875.5361.
9,SOLUSD,LONG,2026-08-04 10:00:00+00:00,2026-08-05 00:00:00+00:00,2026-08-05 01:00:00+00:00,2026-08-05 01:00:00+00:00,2026-08-05 02:00:00+00:00,2026-08-04 15:30:00 IST,2026-08-05 05:30:00 IST,2026-08-05 06:30:00 IST,2026-08-05 06:30:00 IST,2026-08-05 07:30:00 IST,73.708,73.107,0.0208,0.8154,73.708,73.107,74.1502,0.8154,42.92,42.92,35.0,25.75,0.113680,22.32,3.310434,142.099703,0.852598,0.738918,4.049353,1.0,1,FILLED_TP,Price retested proximal edge (73.7080) of confirmed LONG OB.,TP_HIT,False,1,1.0,0.7359,-0.0859,1h,Price reached fixed +0.60% TP target at 74.1502.
10,SOLUSD,LONG,2026-08-05 13:00:00+00:00,2026-08-05 22:00:00+00:00,2026-08-05 23:00:00+00:00,2026-08-05 23:00:00+00:00,2026-08-06 09:00:00+00:00,2026-08-05 18:30:00 IST,2026-08-06 03:30:00 IST,2026-08-06 04:30:00 IST,2026-08-06 04:30:00 IST,2026-08-06 14:30:00 IST,74.118,73.256,0.0208,1.163,74.118,73.256,74.5627,1.163,30.09,30.09,35.0,18.06,0.097490,-37.41,4.049353,121.862499,-1.417273,-1.514763,2.534589,1.0,1,FILLED_SL,Price retested proximal edge (74.1180) of confirmed LONG OB.,SL_HIT,False,10,10.0,-1.0,-1.0859,1h,Price breached distal stop loss at 73.2560.
