month,trades,wins,losses,ambiguous,win_rate_pct,realized_r,profit_factor,starting_capital,ending_capital
2024-06,31,12,19,1,38.71,-10.89,0.43,10.0000,0.0060
2024-07,52,22,30,2,42.31,-16.75,0.44,0.0060,0.0000
2024-08,47,20,27,0,42.55,-17.64,0.35,0.0000,0.0000
2024-09,58,21,37,0,36.21,-25.89,0.3,0.0000,0.0000
2024-10,50,18,32,1,36.0,-17.66,0.45,0.0000,0.0000
2024-11,48,26,22,2,54.17,-10.11,0.54,0.0000,0.0000
2024-12,52,22,30,1,42.31,-19.79,0.34,0.0000,0.0000
2025-01,46,22,24,2,47.83,-12.7,0.47,0.0000,0.0000
2025-02,36,18,18,0,50.0,-9.3,0.48,0.0000,0.0000
2025-03,39,25,14,1,64.1,-3.26,0.77,0.0000,0.0000
2025-04,48,25,23,0,52.08,-11.25,0.51,0.0000,0.0000
2025-05,54,23,31,1,42.59,-15.74,0.49,0.0000,0.0000
2025-06,49,23,26,0,46.94,-5.87,0.77,0.0000,0.0000
2025-07,48,19,29,0,39.58,-11.45,0.61,0.0000,0.0000
2025-08,45,22,23,0,48.89,-7.62,0.67,0.0000,0.0000
2025-09,54,31,23,1,57.41,5.66,1.25,0.0000,0.0000
2025-10,51,28,23,1,54.9,-6.8,0.7,0.0000,0.0000
2025-11,44,22,22,1,50.0,-10.99,0.5,0.0000,0.0000
2025-12,60,29,31,2,48.33,-13.6,0.56,0.0000,0.0000
2026-01,42,20,22,0,47.62,-3.33,0.85,0.0000,0.0000
2026-02,34,17,17,1,50.0,-9.15,0.46,0.0000,0.0000
2026-03,42,23,19,1,54.76,-4.4,0.77,0.0000,0.0000
2026-04,43,16,27,1,37.21,-16.2,0.4,0.0000,0.0000
2026-05,49,24,25,0,48.98,-6.53,0.74,0.0000,0.0000
2026-06,45,27,18,0,60.0,-1.63,0.91,0.0000,0.0000
2026-07,55,26,29,0,47.27,-8.84,0.7,0.0000,0.0000
2026-08,30,14,16,0,46.67,-0.97,0.94,0.0000,0.0000
