trade_id,asset,direction,ob_formation_time,bos_time,retest_time,entry_time,exit_time,ob_formation_time_ist,bos_time_ist,retest_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,theoretical_leverage,leverage,gross_sl_return_pct,gross_tp_return_pct,fees,net_return_pct,starting_capital,position_notional,gross_pnl_usd,pnl_usd,ending_capital,ob_age_hours,retest_number,outcome,reason_for_entry,reason_for_exit,is_ambiguous,holding_bars,holding_time_hours,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,BTCUSD,SHORT,2024-06-10 02:00:00+00:00,2024-06-10 14:00:00+00:00,2024-06-10 15:00:00+00:00,2024-06-10 15:00:00+00:00,2024-06-10 15:00:00+00:00,2024-06-10 07:30:00 IST,2024-06-10 19:30:00 IST,2024-06-10 20:30:00 IST,2024-06-10 20:30:00 IST,2024-06-10 20:30:00 IST,69813.0,69612.0,0.0208,0.2887,69612.0,69813.0,69194.328,0.2887,121.21,100.0,28.87,60.0,0.800000,-36.87,10.000000,1000.000000,-2.887433,-3.687433,6.312567,1.0,1,FILLED_SL,Price retested proximal edge (69612.0000) of confirmed SHORT OB.,SL_HIT,False,1,1.0,-1.0,-1.0,1h,Price breached distal stop loss at 69813.0000.
2,ETHUSD,SHORT,2024-06-09 21:00:00+00:00,2024-06-10 15:00:00+00:00,2024-06-10 16:00:00+00:00,2024-06-10 16:00:00+00:00,2024-06-10 19:00:00+00:00,2024-06-10 02:30:00 IST,2024-06-10 20:30:00 IST,2024-06-10 21:30:00 IST,2024-06-10 21:30:00 IST,2024-06-11 00:30:00 IST,3727.65,3699.6,0.0208,0.7582,3699.6,3727.65,3677.4024,0.7582,46.16,46.16,35.0,27.7,0.233123,24.0,6.312567,291.404287,1.748426,1.515302,7.827869,1.0,1,FILLED_TP,Price retested proximal edge (3699.6000) of confirmed SHORT OB.,TP_HIT,False,3,3.0,0.7914,-0.2086,1h,Price reached fixed +0.60% TP target at 3677.4024.
3,BTCUSD,LONG,2024-06-10 09:00:00+00:00,2024-06-10 19:00:00+00:00,2024-06-10 20:00:00+00:00,2024-06-10 20:00:00+00:00,2024-06-11 01:00:00+00:00,2024-06-10 14:30:00 IST,2024-06-11 00:30:00 IST,2024-06-11 01:30:00 IST,2024-06-11 01:30:00 IST,2024-06-11 06:30:00 IST,69492.0,69186.0,0.0208,0.4403,69492.0,69186.0,69908.952,0.4403,79.48,79.48,35.0,47.69,0.497754,-41.36,7.827869,622.192803,-2.739754,-3.237508,4.590361,1.0,1,FILLED_SL,Price retested proximal edge (69492.0000) of confirmed LONG OB.,SL_HIT,False,5,5.0,-1.0,-1.2086,1h,Price breached distal stop loss at 69186.0000.
4,ETHUSD,SHORT,2024-06-11 12:00:00+00:00,2024-06-12 07:00:00+00:00,2024-06-12 08:00:00+00:00,2024-06-12 08:00:00+00:00,2024-06-12 10:00:00+00:00,2024-06-11 17:30:00 IST,2024-06-12 12:30:00 IST,2024-06-12 13:30:00 IST,2024-06-12 13:30:00 IST,2024-06-12 15:30:00 IST,3547.0,3525.25,0.0208,0.617,3525.25,3547.0,3504.0985,0.617,56.73,56.73,35.0,34.04,0.208322,-39.54,4.590361,260.402719,-1.606626,-1.814948,2.775412,1.0,1,FILLED_SL,Price retested proximal edge (3525.2500) of confirmed SHORT OB.,SL_HIT,False,2,2.0,-1.0,-2.2086,1h,Price breached distal stop loss at 3547.0000.
5,BTCUSD,SHORT,2024-06-10 15:00:00+00:00,2024-06-12 16:00:00+00:00,2024-06-12 17:00:00+00:00,2024-06-12 17:00:00+00:00,2024-06-12 18:00:00+00:00,2024-06-10 20:30:00 IST,2024-06-12 21:30:00 IST,2024-06-12 22:30:00 IST,2024-06-12 22:30:00 IST,2024-06-12 23:30:00 IST,70198.0,69627.0,0.0208,0.8201,69627.0,70198.0,69209.238,0.8201,42.68,42.68,35.0,25.61,0.094760,22.19,2.775412,118.450561,0.710703,0.615943,3.391355,1.0,1,FILLED_TP,Price retested proximal edge (69627.0000) of confirmed SHORT OB.,TP_HIT,False,1,1.0,0.7316,-1.477,1h,Price reached fixed +0.60% TP target at 69209.2380.
6,SOLUSD,LONG,2024-06-12 01:00:00+00:00,2024-06-13 19:00:00+00:00,2024-06-13 20:00:00+00:00,2024-06-13 20:00:00+00:00,2024-06-14 05:00:00+00:00,2024-06-12 06:30:00 IST,2024-06-14 00:30:00 IST,2024-06-14 01:30:00 IST,2024-06-14 01:30:00 IST,2024-06-14 10:30:00 IST,148.295,145.645,0.0208,1.787,148.295,145.645,149.1848,1.787,19.59,19.59,35.0,11.75,0.053139,10.18,3.391355,66.423530,0.398541,0.345402,3.736758,1.0,1,FILLED_TP,Price retested proximal edge (148.2950) of confirmed LONG OB.,TP_HIT,False,9,9.0,0.3358,-1.1412,1h,Price reached fixed +0.60% TP target at 149.1848.
7,XRPUSD,SHORT,2024-06-14 13:00:00+00:00,2024-06-15 08:00:00+00:00,2024-06-15 09:00:00+00:00,2024-06-15 09:00:00+00:00,2024-06-15 10:00:00+00:00,2024-06-14 18:30:00 IST,2024-06-15 13:30:00 IST,2024-06-15 14:30:00 IST,2024-06-15 14:30:00 IST,2024-06-15 15:30:00 IST,0.4807,0.479,0.0208,0.3549,0.479,0.4807,0.4761,0.3549,98.62,98.62,35.0,59.17,0.294808,-42.89,3.736758,368.510236,-1.307865,-1.602673,2.134084,1.0,1,FILLED_SL,Price retested proximal edge (0.4790) of confirmed SHORT OB.,SL_HIT,False,1,1.0,-1.0,-2.1412,1h,Price breached distal stop loss at 0.4807.
8,BTCUSD,SHORT,2024-06-15 15:00:00+00:00,2024-06-16 05:00:00+00:00,2024-06-16 06:00:00+00:00,2024-06-16 06:00:00+00:00,2024-06-16 10:00:00+00:00,2024-06-15 20:30:00 IST,2024-06-16 10:30:00 IST,2024-06-16 11:30:00 IST,2024-06-16 11:30:00 IST,2024-06-16 15:30:00 IST,66503.5,66233.0,0.0208,0.4084,66233.0,66503.5,65835.602,0.4084,85.7,85.7,35.0,51.42,0.146311,-41.86,2.134084,182.888650,-0.746929,-0.893240,1.240844,1.0,1,FILLED_SL,Price retested proximal edge (66233.0000) of confirmed SHORT OB.,SL_HIT,False,4,4.0,-1.0,-3.1412,1h,Price breached distal stop loss at 66503.5000.
9,ETHUSD,LONG,2024-06-16 14:00:00+00:00,2024-06-17 01:00:00+00:00,2024-06-17 02:00:00+00:00,2024-06-17 02:00:00+00:00,2024-06-17 03:00:00+00:00,2024-06-16 19:30:00 IST,2024-06-17 06:30:00 IST,2024-06-17 07:30:00 IST,2024-06-17 07:30:00 IST,2024-06-17 08:30:00 IST,3613.05,3578.45,0.0208,0.9576,3613.05,3578.45,3634.7283,0.9576,36.55,36.55,35.0,21.93,0.036280,-37.92,1.240844,45.350600,-0.434295,-0.470576,0.770268,1.0,1,FILLED_SL,Price retested proximal edge (3613.0500) of confirmed LONG OB.,SL_HIT,False,1,1.0,-1.0,-4.1412,1h,Price breached distal stop loss at 3578.4500.
10,XRPUSD,LONG,2024-06-17 02:00:00+00:00,2024-06-17 06:00:00+00:00,2024-06-17 07:00:00+00:00,2024-06-17 07:00:00+00:00,2024-06-17 07:00:00+00:00,2024-06-17 07:30:00 IST,2024-06-17 11:30:00 IST,2024-06-17 12:30:00 IST,2024-06-17 12:30:00 IST,2024-06-17 12:30:00 IST,0.4869,0.4849,0.0208,0.4108,0.4869,0.4849,0.4898,0.4108,85.21,85.21,35.0,51.12,0.052506,-41.82,0.770268,65.632611,-0.269594,-0.322100,0.448168,1.0,1,FILLED_SL,Price retested proximal edge (0.4869) of confirmed LONG OB.,DUAL_TOUCH_CONSERVATIVE_SL,True,1,1.0,-1.0,-5.1412,1h,Dual-touch candle: Both TP and SL touched in same 1H candle. Conservative SL-first execution applied.
