month,trades,wins,losses,ambiguous,win_rate_pct,realized_r,profit_factor,starting_capital,ending_capital
2024-06,6,4,2,0,66.67,0.52,1.26,10.0000,7.3616
2024-07,13,11,2,0,84.62,4.83,3.42,7.3616,18.9886
2024-08,22,12,10,0,54.55,-2.44,0.76,18.9886,1.2098
2024-09,19,8,11,0,42.11,-6.14,0.44,1.2098,0.0208
2024-10,13,6,7,0,46.15,-2.0,0.71,0.0208,0.0028
2024-11,16,11,5,3,68.75,0.68,1.14,0.0028,0.0012
2024-12,14,9,5,0,64.29,-0.19,0.96,0.0012,0.0004
2025-01,15,14,1,0,93.33,6.26,7.26,0.0004,0.0019
2025-02,12,9,3,0,75.0,0.45,1.15,0.0019,0.0011
2025-03,10,8,2,1,80.0,1.59,1.8,0.0011,0.0011
2025-04,23,9,14,2,39.13,-10.53,0.25,0.0011,0.0000
2025-05,20,13,7,2,65.0,2.82,1.4,0.0000,0.0000
2025-06,17,5,12,3,29.41,-7.34,0.39,0.0000,0.0000
2025-07,19,8,11,1,42.11,-5.06,0.54,0.0000,0.0000
2025-08,11,7,4,0,63.64,0.56,1.14,0.0000,0.0000
2025-09,15,9,6,0,60.0,0.73,1.12,0.0000,0.0000
2025-10,18,13,5,1,72.22,1.86,1.37,0.0000,0.0000
2025-11,14,7,7,0,50.0,-2.57,0.63,0.0000,0.0000
2025-12,24,13,11,4,54.17,-0.94,0.91,0.0000,0.0000
2026-01,19,9,10,0,47.37,-2.1,0.79,0.0000,0.0000
2026-02,13,6,7,1,46.15,-2.72,0.61,0.0000,0.0000
2026-03,20,14,6,0,70.0,6.51,2.09,0.0000,0.0000
2026-04,15,10,5,0,66.67,1.99,1.4,0.0000,0.0000
2026-05,16,9,7,0,56.25,1.7,1.24,0.0000,0.0000
2026-06,15,6,9,0,40.0,-4.92,0.45,0.0000,0.0000
2026-07,18,12,6,0,66.67,5.0,1.83,0.0000,0.0000
2026-08,15,8,7,0,53.33,-0.18,0.97,0.0000,0.0000
