month,trade_count,win_count,loss_count,win_rate_pct,expectancy_r,total_r,starting_capital_gross,ending_capital_gross,starting_capital_net,ending_capital_net
2024-06,25,5,20,20.0,-0.5614,-14.04,10.0,0.0095,10.0,0.0011
2024-07,42,9,33,21.43,-0.5439,-22.85,0.0095,0.0,0.0011,0.0
2024-08,33,6,27,18.18,-0.7036,-23.22,0.0,0.0,0.0,0.0
2024-09,45,14,31,31.11,-0.3899,-17.54,0.0,0.0,0.0,0.0
2024-10,42,7,35,16.67,-0.6118,-25.7,0.0,0.0,0.0,0.0
2024-11,34,7,27,20.59,-0.6634,-22.55,0.0,0.0,0.0,0.0
2024-12,44,8,36,18.18,-0.6475,-28.49,0.0,0.0,0.0,0.0
2025-01,37,7,30,18.92,-0.5639,-20.86,0.0,0.0,0.0,0.0
2025-02,26,6,20,23.08,-0.6156,-16.01,0.0,0.0,0.0,0.0
2025-03,25,9,16,36.0,-0.3141,-7.85,0.0,0.0,0.0,0.0
2025-04,35,13,22,37.14,-0.2819,-9.87,0.0,0.0,0.0,0.0
2025-05,43,10,33,23.26,-0.4653,-20.01,0.0,0.0,0.0,0.0
2025-06,37,6,31,16.22,-0.6482,-23.98,0.0,0.0,0.0,0.0
2025-07,43,13,30,30.23,-0.1783,-7.67,0.0,0.0,0.0,0.0
2025-08,37,13,24,35.14,-0.1932,-7.15,0.0,0.0,0.0,0.0
2025-09,44,16,28,36.36,-0.0408,-1.8,0.0,0.0,0.0,0.0
2025-10,35,9,26,25.71,-0.4577,-16.02,0.0,0.0,0.0,0.0
2025-11,33,9,24,27.27,-0.4657,-15.37,0.0,0.0,0.0,0.0
2025-12,49,11,38,22.45,-0.4803,-23.54,0.0,0.0,0.0,0.0
2026-01,35,10,25,28.57,-0.1625,-5.69,0.0,0.0,0.0,0.0
2026-02,25,4,21,16.0,-0.6729,-16.82,0.0,0.0,0.0,0.0
2026-03,30,10,20,33.33,-0.2219,-6.66,0.0,0.0,0.0,0.0
2026-04,39,10,29,25.64,-0.4174,-16.28,0.0,0.0,0.0,0.0
2026-05,37,11,26,29.73,-0.241,-8.92,0.0,0.0,0.0,0.0
2026-06,23,7,16,30.43,-0.3271,-7.52,0.0,0.0,0.0,0.0
2026-07,45,18,27,40.0,-0.063,-2.84,0.0,0.0,0.0,0.0
2026-08,20,6,14,30.0,-0.1729,-3.46,0.0,0.0,0.0,0.0
