trade_id,asset,direction,ob_timestamp,entry_timestamp,exit_timestamp,ob_high,ob_low,ob_width,ob_width_pct,entry_price,sl_price,tp_price,entry_to_sl_distance_pct,tp_price_distance_pct,calculated_leverage,starting_capital_gross,gross_sl_return_pct,gross_tp_return_pct,gross_pnl_usd,starting_capital_net,notional_size_usd,fees_usd,net_pnl_usd,ending_capital_gross,ending_capital_net,outcome,realized_r,exit_reason,ambiguous_intrabar,sl_bucket
1,BTCUSD,SHORT,2024-06-10T14:00:00+00:00,2024-06-10T14:00:00+00:00,2024-06-10T15:00:00+00:00,69813.0,69612.0,201.0,0.2884,69662.25,69813.0,69104.952,0.2164,0.8,161.7366,10.0,-35.0,129.3893,-3.5,10.0,1617.365672,1.293893,-4.793893,6.5,5.206107,SL_HIT,-1.0,SL_HIT,False,<0.50%
2,BTCUSD,LONG,2024-06-10T19:00:00+00:00,2024-06-10T19:00:00+00:00,2024-06-11T01:00:00+00:00,69492.0,69186.0,306.0,0.4404,69415.5,69186.0,69970.824,0.3306,0.8,105.8624,6.5,-35.0,84.6899,-2.275,5.206107,551.131126,0.440905,-2.263043,4.225,2.943065,SL_HIT,-1.0,SL_HIT,False,<0.50%
3,ETHUSD,SHORT,2024-06-12T07:00:00+00:00,2024-06-12T07:00:00+00:00,2024-06-12T10:00:00+00:00,3547.0,3525.25,21.75,0.6165,3530.6875,3547.0,3502.442,0.462,0.8,75.7542,4.225,-35.0,60.6034,-1.47875,2.943065,222.949574,0.17836,-1.208432,2.74625,1.734633,SL_HIT,-1.0,SL_HIT,False,<0.50%
4,BTCUSD,SHORT,2024-06-12T16:00:00+00:00,2024-06-12T16:00:00+00:00,2024-06-12T18:00:00+00:00,70198.0,69627.0,571.0,0.8199,69769.75,70198.0,69211.592,0.6138,0.8,57.0214,2.74625,-35.0,45.6171,1.25276,1.734633,98.911169,0.079129,0.71216,3.99901,2.446793,TP_HIT,1.3033,TP_HIT,False,0.60-0.70%
5,SOLUSD,LONG,2024-06-13T19:00:00+00:00,2024-06-13T19:00:00+00:00,2024-06-14T14:00:00+00:00,148.295,145.645,2.65,1.7928,147.6325,145.645,148.8136,1.3462,0.8,25.9982,3.99901,-35.0,20.7985,-1.399654,2.446793,63.612155,0.05089,-0.907267,2.599357,1.539526,SL_HIT,-1.0,SL_HIT_CONSERVATIVE_AMBIGUITY,False,1.00-1.50%
6,XRPUSD,SHORT,2024-06-15T08:00:00+00:00,2024-06-15T08:00:00+00:00,2024-06-15T09:00:00+00:00,0.4807,0.479,0.0017,0.3546,0.4794,0.4807,0.4756,0.2659,0.8,131.6069,2.599357,-35.0,105.2855,0.035678,1.539526,202.612149,0.16209,-0.140959,2.635034,1.398567,TIMEOUT_EXIT,0.0392,TIMEOUT_EXIT,False,<0.50%
7,BTCUSD,SHORT,2024-06-16T05:00:00+00:00,2024-06-16T05:00:00+00:00,2024-06-16T10:00:00+00:00,66503.5,66233.0,270.5,0.4081,66300.625,66503.5,65770.22,0.306,0.8,114.3819,2.635034,-35.0,91.5055,-0.922262,1.398567,159.970676,0.127977,-0.617475,1.712772,0.781092,SL_HIT,-1.0,SL_HIT,False,<0.50%
8,ETHUSD,LONG,2024-06-17T01:00:00+00:00,2024-06-17T01:00:00+00:00,2024-06-17T03:00:00+00:00,3613.05,3578.45,34.6,0.9579,3604.4,3578.45,3633.2352,0.72,0.8,48.6143,1.712772,-35.0,38.8914,-0.59947,0.781092,37.972206,0.030378,-0.30376,1.113302,0.477332,SL_HIT,-1.0,SL_HIT,False,0.70-0.80%
9,XRPUSD,LONG,2024-06-17T06:00:00+00:00,2024-06-17T06:00:00+00:00,2024-06-17T07:00:00+00:00,0.4869,0.4849,0.002,0.4114,0.4864,0.4849,0.4903,0.3084,0.8,113.4933,1.113302,-35.0,90.7947,-0.389656,0.477332,54.174,0.043339,-0.210405,0.723646,0.266927,SL_HIT,-1.0,SL_HIT_CONSERVATIVE_AMBIGUITY,True,<0.50%
10,BTCUSD,SHORT,2024-06-17T17:00:00+00:00,2024-06-17T17:00:00+00:00,2024-06-17T18:00:00+00:00,66993.0,66563.5,429.5,0.6447,66670.875,66993.0,66137.508,0.4832,0.8,72.4402,0.723646,-35.0,57.9522,-0.253276,0.266927,19.336222,0.015469,-0.108893,0.47037,0.158033,SL_HIT,-1.0,SL_HIT,False,<0.50%
11,BTCUSD,LONG,2024-06-18T00:00:00+00:00,2024-06-18T00:00:00+00:00,2024-06-18T01:00:00+00:00,65808.0,65139.0,669.0,1.0175,65640.75,65139.0,66165.876,0.7644,0.8,45.7883,0.47037,-35.0,36.6306,-0.16463,0.158033,7.236071,0.005789,-0.061101,0.305741,0.096933,SL_HIT,-1.0,SL_HIT_CONSERVATIVE_AMBIGUITY,True,0.70-0.80%
12,ETHUSD,SHORT,2024-06-19T03:00:00+00:00,2024-06-19T03:00:00+00:00,2024-06-19T04:00:00+00:00,3579.6,3548.2,31.4,0.8807,3556.05,3579.6,3527.6016,0.6623,0.8,52.85,0.305741,-35.0,42.28,-0.107009,0.096933,5.122898,0.004098,-0.038025,0.198731,0.058908,SL_HIT,-1.0,SL_HIT,False,0.60-0.70%
13,BTCUSD,SHORT,2024-06-19T06:00:00+00:00,2024-06-19T06:00:00+00:00,2024-06-19T11:00:00+00:00,65851.0,65561.0,290.0,0.4421,65633.5,65851.0,65108.432,0.3314,0.8,105.6171,0.198731,-35.0,84.4937,0.167915,0.058908,6.221694,0.004977,0.044796,0.366647,0.103704,TP_HIT,2.4141,TP_HIT,False,<0.50%
14,XRPUSD,SHORT,2024-06-19T17:00:00+00:00,2024-06-19T17:00:00+00:00,2024-06-20T07:00:00+00:00,0.5001,0.4961,0.004,0.8043,0.4971,0.5001,0.4931,0.6035,0.8,57.995,0.366647,-35.0,46.396,-0.128326,0.103704,6.014325,0.004811,-0.041108,0.23832,0.062596,SL_HIT,-1.0,SL_HIT_CONSERVATIVE_AMBIGUITY,False,0.60-0.70%
15,XRPUSD,LONG,2024-06-20T14:00:00+00:00,2024-06-20T14:00:00+00:00,2024-06-20T15:00:00+00:00,0.495,0.4921,0.0029,0.5865,0.4943,0.4921,0.4982,0.44,0.8,79.5385,0.23832,-35.0,63.6308,-0.083412,0.062596,4.978813,0.003983,-0.025892,0.154908,0.036705,SL_HIT,-1.0,SL_HIT,False,<0.50%
