month,trade_count,win_count,loss_count,win_rate_pct,expectancy_r,total_r,starting_capital_35pct,ending_capital_35pct
2024-06,25,5,20,20.0,-0.591,-14.78,10.0,0.0
2024-07,42,9,33,21.43,-0.5742,-24.11,0.0,0.0
2024-08,33,6,27,18.18,-0.718,-23.69,0.0,0.0
2024-09,45,14,31,31.11,-0.4235,-19.06,0.0,0.0
2024-10,42,7,35,16.67,-0.6367,-26.74,0.0,0.0
2024-11,34,7,27,20.59,-0.6797,-23.11,0.0,0.0
2024-12,44,8,36,18.18,-0.6688,-29.43,0.0,0.0
2025-01,37,7,30,18.92,-0.5948,-22.01,0.0,0.0
2025-02,26,6,20,23.08,-0.6348,-16.5,0.0,0.0
2025-03,25,9,16,36.0,-0.3548,-8.87,0.0,0.0
2025-04,35,13,22,37.14,-0.3253,-11.38,0.0,0.0
2025-05,43,10,33,23.26,-0.5031,-21.63,0.0,0.0
2025-06,37,6,31,16.22,-0.6666,-24.67,0.0,0.0
2025-07,43,13,30,30.23,-0.2228,-9.58,0.0,0.0
2025-08,37,13,24,35.14,-0.2501,-9.25,0.0,0.0
2025-09,44,16,28,36.36,-0.0994,-4.37,0.0,0.0
2025-10,35,9,26,25.71,-0.4934,-17.27,0.0,0.0
2025-11,33,9,24,27.27,-0.4984,-16.45,0.0,0.0
2025-12,49,11,38,22.45,-0.5172,-25.34,0.0,0.0
2026-01,35,10,25,28.57,-0.2315,-8.1,0.0,0.0
2026-02,25,4,21,16.0,-0.6938,-17.35,0.0,0.0
2026-03,30,10,20,33.33,-0.2775,-8.32,0.0,0.0
2026-04,39,10,29,25.64,-0.4563,-17.8,0.0,0.0
2026-05,37,11,26,29.73,-0.2921,-10.81,0.0,0.0
2026-06,23,7,16,30.43,-0.3731,-8.58,0.0,0.0
2026-07,45,18,27,40.0,-0.1238,-5.57,0.0,0.0
2026-08,20,6,14,30.0,-0.2277,-4.55,0.0,0.0
