trade_number,datetime,exit_datetime,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_pct,entry,sl,tp,sl_distance,tp_distance,tp_price_move_pct,planned_rr,leverage,starting_capital_35pct,notional_size_35pct,margin_used_35pct,risk_amount_35pct,gross_pnl_35pct,fees_35pct,net_pnl_35pct,ending_capital_35pct,starting_capital_10pct,net_pnl_10pct,ending_capital_10pct,starting_capital_1pct,net_pnl_1pct,ending_capital_1pct,outcome,r_multiple,holding_time_hours,exit_reason,global_trade_lock_state,ambiguity_status
1,2024-06-10T14:00:00+00:00,2024-06-10T15:00:00+00:00,BTCUSD,SHORT,BTCUSD_230_BEARISH_218_223,69813.0,69612.0,201.0,0.2884,69662.25,69813.0,69174.6142,150.75,487.6358,0.7,3.2347,100,10.0,1000.0,10.0,3.5,-3.5,0.8,-4.3,5.7,10.0,-1.0,9.0,10.0,-0.1,9.9,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
2,2024-06-10T19:00:00+00:00,2024-06-11T01:00:00+00:00,BTCUSD,LONG,BTCUSD_235_BULLISH_225_231,69492.0,69186.0,306.0,0.4404,69415.5,69186.0,69901.4085,229.5,485.9085,0.7,2.1172,100,5.7,570.0,5.7,1.995,-1.995,0.456,-2.451,3.249,9.0,-0.9,8.1,9.9,-0.099,9.801,SL_HIT,-1.0,6,SL_HIT,ACTIVE,UNAMBIGUOUS
3,2024-06-12T07:00:00+00:00,2024-06-12T10:00:00+00:00,ETHUSD,SHORT,ETHUSD_271_BEARISH_252_255,3547.0,3525.25,21.75,0.6165,3530.6875,3547.0,3505.9727,16.3125,24.7148,0.7,1.5151,75,3.249,243.675,3.249,1.1371,-1.1371,0.1949,-1.3321,1.9169,8.1,-0.81,7.29,9.801,-0.098,9.703,SL_HIT,-1.0,3,SL_HIT,ACTIVE,UNAMBIGUOUS
4,2024-06-12T16:00:00+00:00,2024-06-12T18:00:00+00:00,BTCUSD,SHORT,BTCUSD_280_BEARISH_231_241,70198.0,69627.0,571.0,0.8199,69769.75,70198.0,69281.3617,428.25,488.3883,0.7,1.1404,57,1.9169,109.2639,1.9169,0.6709,0.7651,0.0874,0.6777,2.5946,7.29,0.8314,8.1214,9.703,0.1107,9.8136,TP_HIT,1.1404,2,TP_HIT,ACTIVE,UNAMBIGUOUS
5,2024-06-13T19:00:00+00:00,2024-06-14T14:00:00+00:00,SOLUSD,LONG,SOLUSD_307_BULLISH_265_268,148.295,145.645,2.65,1.7928,147.6325,145.645,148.6659,1.9875,1.0334,0.7,0.52,25,2.5946,64.8658,2.5946,0.9081,-0.9081,0.0519,-0.96,1.6346,8.1214,-0.8121,7.3092,9.8136,-0.0981,9.7155,SL_HIT,-1.0,19,SL_HIT,ACTIVE,UNAMBIGUOUS
6,2024-06-15T08:00:00+00:00,2024-06-15T09:00:00+00:00,XRPUSD,SHORT,XRPUSD_344_BEARISH_325_327,0.4807,0.479,0.0017,0.3546,0.4794,0.4807,0.4761,0.0013,0.0034,0.7,2.6321,100,1.6346,163.4619,1.6346,0.5721,0.0224,0.1308,-0.1083,1.5263,7.3092,0.0287,7.3379,9.7155,0.0038,9.7193,TIMEOUT_EXIT,0.0392,1,TIMEOUT_EXIT,ACTIVE,UNAMBIGUOUS
7,2024-06-16T05:00:00+00:00,2024-06-16T10:00:00+00:00,BTCUSD,SHORT,BTCUSD_365_BEARISH_351_356,66503.5,66233.0,270.5,0.4081,66300.625,66503.5,65836.5206,202.875,464.1044,0.7,2.2876,100,1.5263,152.6285,1.5263,0.5342,-0.5342,0.1221,-0.6563,0.87,7.3379,-0.7338,6.6041,9.7193,-0.0972,9.6221,SL_HIT,-1.0,5,SL_HIT,ACTIVE,UNAMBIGUOUS
8,2024-06-17T01:00:00+00:00,2024-06-17T03:00:00+00:00,ETHUSD,LONG,ETHUSD_385_BULLISH_374_382,3613.05,3578.45,34.6,0.9579,3604.4,3578.45,3629.6308,25.95,25.2308,0.7,0.9723,48,0.87,41.7592,0.87,0.3045,-0.3045,0.0334,-0.3379,0.5321,6.6041,-0.6604,5.9437,9.6221,-0.0962,9.5259,SL_HIT,-1.0,2,SL_HIT,ACTIVE,UNAMBIGUOUS
9,2024-06-17T06:00:00+00:00,2024-06-17T07:00:00+00:00,XRPUSD,LONG,XRPUSD_390_BULLISH_386_389,0.4869,0.4849,0.002,0.4114,0.4864,0.4849,0.4898,0.0015,0.0034,0.7,2.2699,100,0.5321,53.2081,0.5321,0.1862,-0.1862,0.0426,-0.2288,0.3033,5.9437,-0.5944,5.3493,9.5259,-0.0953,9.4306,SL_HIT,-1.0,1,SL_HIT,ACTIVE,AMBIGUOUS_RESOLVED_CONSERVATIVE
10,2024-06-17T17:00:00+00:00,2024-06-17T18:00:00+00:00,BTCUSD,SHORT,BTCUSD_401_BEARISH_382_393,66993.0,66563.5,429.5,0.6447,66670.875,66993.0,66204.1789,322.125,466.6961,0.7,1.4488,72,0.3033,21.8366,0.3033,0.1062,-0.1062,0.0175,-0.1236,0.1797,5.3493,-0.5349,4.8144,9.4306,-0.0943,9.3363,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
