ob_id,asset,timeframe,direction,formation_bar_index,formation_timestamp,break_bar_index,break_type,structure_type,qe_top_price,qe_bottom_price,qe_width,qe_width_pct,qe_extreme_candle_idx,lux_top_price,lux_bottom_price,lux_width,lux_width_pct,lux_extreme_candle_idx,extreme_candle_matched,top_price_matched,bottom_price_matched,width_matched,mismatch_category
BTCUSD_230_BEARISH_218_223,BTCUSD,1h,SHORT,218,2024-06-10T02:00:00+00:00,223,CHOCH,internal,69813.0,69612.0,201.0,0.2887,218,69813.0,69612.0,201.0,0.2887,218,True,True,True,True,NO_MISMATCH
ETHUSD_231_BEARISH_213_222,ETHUSD,1h,SHORT,213,2024-06-09T21:00:00+00:00,222,CHOCH,internal,3727.65,3699.6,28.05,0.7582,213,3727.65,3699.6,28.05,0.7582,213,True,True,True,True,NO_MISMATCH
BTCUSD_235_BULLISH_225_231,BTCUSD,1h,LONG,225,2024-06-10T09:00:00+00:00,231,CHOCH,internal,69492.0,69186.0,306.0,0.4423,225,69492.0,69186.0,306.0,0.4423,225,True,True,True,True,NO_MISMATCH
XRPUSD_236_BULLISH_223_230,XRPUSD,1h,LONG,223,2024-06-10T07:00:00+00:00,230,BOS,internal,0.4965,0.4939,0.0026,0.5264,223,0.4965,0.4939,0.0026,0.5264,223,True,True,True,True,NO_MISMATCH
XRPUSD_237_BULLISH_206_211,XRPUSD,1h,LONG,206,2024-06-09T14:00:00+00:00,211,BOS,internal,0.4953,0.4935,0.0018,0.3647,206,0.4953,0.4935,0.0018,0.3647,206,True,True,True,True,NO_MISMATCH
SOLUSD_239_BULLISH_229_231,SOLUSD,1h,LONG,229,2024-06-10T13:00:00+00:00,231,BOS,internal,159.289,157.948,1.341,0.849,229,159.289,157.948,1.341,0.849,229,True,True,True,True,NO_MISMATCH
ETHUSD_271_BEARISH_252_255,ETHUSD,1h,SHORT,252,2024-06-11T12:00:00+00:00,255,BOS,internal,3547.0,3525.25,21.75,0.617,252,3547.0,3525.25,21.75,0.617,252,True,True,True,True,NO_MISMATCH
BTCUSD_280_BEARISH_231_241,BTCUSD,1h,SHORT,231,2024-06-10T15:00:00+00:00,241,CHOCH,internal,70198.0,69627.0,571.0,0.8201,231,70198.0,69627.0,571.0,0.8201,231,True,True,True,True,NO_MISMATCH
SOLUSD_307_BULLISH_265_268,SOLUSD,1h,LONG,265,2024-06-12T01:00:00+00:00,268,CHOCH,internal,148.295,145.645,2.65,1.8195,265,148.295,145.645,2.65,1.8195,265,True,True,True,True,NO_MISMATCH
XRPUSD_344_BEARISH_325_327,XRPUSD,1h,SHORT,325,2024-06-14T13:00:00+00:00,327,BOS,internal,0.4807,0.479,0.0017,0.3549,325,0.4807,0.479,0.0017,0.3549,325,True,True,True,True,NO_MISMATCH
BTCUSD_365_BEARISH_351_356,BTCUSD,1h,SHORT,351,2024-06-15T15:00:00+00:00,356,BOS,internal,66503.5,66233.0,270.5,0.4084,351,66503.5,66233.0,270.5,0.4084,351,True,True,True,True,NO_MISMATCH
ETHUSD_385_BULLISH_374_382,ETHUSD,1h,LONG,374,2024-06-16T14:00:00+00:00,382,BOS,internal,3613.05,3578.45,34.6,0.9669,374,3613.05,3578.45,34.6,0.9669,374,True,True,True,True,NO_MISMATCH
XRPUSD_390_BULLISH_386_389,XRPUSD,1h,LONG,386,2024-06-17T02:00:00+00:00,389,CHOCH,internal,0.4869,0.4849,0.002,0.4125,386,0.4869,0.4849,0.002,0.4125,386,True,True,True,True,NO_MISMATCH
BTCUSD_401_BEARISH_382_393,BTCUSD,1h,SHORT,382,2024-06-16T22:00:00+00:00,393,CHOCH,internal,66993.0,66563.5,429.5,0.6452,382,66993.0,66563.5,429.5,0.6452,382,True,True,True,True,NO_MISMATCH
BTCUSD_402_BEARISH_325_327,BTCUSD,1h,SHORT,325,2024-06-14T13:00:00+00:00,327,CHOCH,internal,67392.0,66969.0,423.0,0.6316,325,67392.0,66969.0,423.0,0.6316,325,True,True,True,True,NO_MISMATCH
BTCUSD_408_BULLISH_398_402,BTCUSD,1h,LONG,398,2024-06-17T14:00:00+00:00,402,CHOCH,internal,65808.0,65139.0,669.0,1.027,398,65808.0,65139.0,669.0,1.027,398,True,True,True,True,NO_MISMATCH
ETHUSD_435_BEARISH_402_409,ETHUSD,1h,SHORT,402,2024-06-17T18:00:00+00:00,409,BOS,internal,3579.6,3548.2,31.4,0.885,402,3579.6,3548.2,31.4,0.885,402,True,True,True,True,NO_MISMATCH
