ob_id,asset,direction,decision_timestamp,decision_bar_idx,ob_top,ob_bottom,ob_width,r_ctrl_a_quantedge_current,r_ctrl_b_proximal_edge,r_ctrl_c_midpoint_50,r_ctrl_d_deep_75,r_ctrl_e_swing_liquidity_tp,r_ctrl_f_atr_buffered_sl,r_ctrl_g_optimistic_exec,mfe_r,mae_r,holding_bars,is_ambiguous_same_bar_touch,first_touch_occurred
BTCUSD_230_BEARISH_218_223,BTCUSD,SHORT,2024-06-10T14:00:00+00:00,230,69813.0,69612.0,201.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.915423,1,False,True
ETHUSD_231_BEARISH_213_222,ETHUSD,SHORT,2024-06-10T15:00:00+00:00,231,3727.65,3699.6,28.050000000000182,1.7142,1.7143,0.0,0.0,-0.2,1.4286,1.7142,1.944742,0.0,4,False,True
BTCUSD_235_BULLISH_225_231,BTCUSD,LONG,2024-06-10T19:00:00+00:00,235,69492.0,69186.0,306.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.696078,3.272876,6,False,True
XRPUSD_236_BULLISH_223_230,XRPUSD,LONG,2024-06-10T20:00:00+00:00,236,0.4965,0.4939,0.002599999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.230769,6.269231,5,False,True
XRPUSD_237_BULLISH_206_211,XRPUSD,LONG,2024-06-10T21:00:00+00:00,237,0.4953,0.4935,0.0018000000000000238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,8.388889,4,False,True
SOLUSD_239_BULLISH_229_231,SOLUSD,LONG,2024-06-10T23:00:00+00:00,239,159.289,157.948,1.3409999999999798,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.769824,3.266965,2,False,True
ETHUSD_271_BEARISH_252_255,ETHUSD,SHORT,2024-06-12T07:00:00+00:00,271,3547.0,3525.25,21.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.786973,1.999234,3,False,True
BTCUSD_280_BEARISH_231_241,BTCUSD,SHORT,2024-06-12T16:00:00+00:00,280,70198.0,69627.0,571.0,1.7143,1.7143,0.0,0.0,2.5,1.4286,1.7143,2.746643,0.299475,2,False,True
SOLUSD_307_BULLISH_265_268,SOLUSD,LONG,2024-06-13T19:00:00+00:00,307,148.295,145.645,2.6499999999999773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.963774,2.05761,19,False,True
XRPUSD_344_BEARISH_325_327,XRPUSD,SHORT,2024-06-15T08:00:00+00:00,344,0.4807,0.479,0.0017000000000000348,0.5882,-0.1471,0.0,0.0,-0.2,-0.5,0.5882,0.176471,0.647059,1,False,True
