trade_num,asset,direction,ob_zone,decision_time_ist,entry_time_ist,exit_time_ist,entry_price,sl_price,tp_price,sl_dist_pct,leverage,actual_sl_risk_pct,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net
1,BTCUSD,SHORT,"[69612.00, 69813.00]",2024-06-10 19:30 IST,2024-06-10 19:30 IST,2024-06-10 20:30 IST,69662.25,69813.0,69244.2765,0.2164,100.0,21.64,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.0,-2.164,7.836,10.0,0.8,-2.964,7.036
2,ETHUSD,SHORT,"[3699.60, 3727.65]",2024-06-10 20:30 IST,2024-06-10 20:30 IST,2024-06-10 20:30 IST,3706.6125,3727.65,3684.3728,0.5676,61.67,35.0,37.0,FILLED_TP,1.0571,N/A,7.836,2.8993,10.7353,7.036,0.3471,2.2562,9.2922
3,BTCUSD,LONG,"[69186.00, 69492.00]",2024-06-11 00:30 IST,2024-06-11 00:30 IST,2024-06-11 06:30 IST,69415.5,69186.0,69831.993,0.3306,100.0,33.06,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.7353,-3.5493,7.186,9.2922,0.7434,-3.8155,5.4767
4,XRPUSD,LONG,"[0.49, 0.50]",2024-06-11 01:30 IST,2024-06-11 01:30 IST,2024-06-11 06:30 IST,0.4959,0.4939,0.4988,0.3933,89.0,35.0,53.4,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,7.186,-2.5151,4.6709,5.4767,0.3899,-2.3068,3.1699
5,SOLUSD,LONG,"[157.95, 159.29]",2024-06-11 04:30 IST,2024-06-11 04:30 IST,2024-06-11 06:30 IST,158.9537,157.948,159.9075,0.6327,55.32,35.0,33.19,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,4.6709,-1.6348,3.0361,3.1699,0.1403,-1.2497,1.9202
6,ETHUSD,SHORT,"[3525.25, 3547.00]",2024-06-12 12:30 IST,2024-06-12 13:30 IST,2024-06-12 15:30 IST,3530.6875,3547.0,3509.5034,0.462,75.75,35.0,45.45,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,3.0361,-1.0626,1.9735,1.9202,0.1164,-0.7884,1.1317
7,BTCUSD,SHORT,"[69627.00, 70198.00]",2024-06-12 21:30 IST,2024-06-12 21:30 IST,2024-06-12 21:30 IST,69769.75,70198.0,69351.1315,0.6138,57.02,35.0,34.21,FILLED_TP,0.9775,N/A,1.9735,0.6752,2.6486,1.1317,0.0516,0.3356,1.4673
8,SOLUSD,LONG,"[145.65, 148.29]",2024-06-14 00:30 IST,2024-06-14 01:30 IST,2024-06-14 07:30 IST,147.6325,145.645,148.5183,1.3462,26.0,35.0,15.6,FILLED_TP,0.4457,N/A,2.6486,0.4132,3.0618,1.4673,0.0305,0.1984,1.6657
9,XRPUSD,SHORT,"[0.48, 0.48]",2024-06-15 13:30 IST,2024-06-15 13:30 IST,2024-06-15 15:30 IST,0.4794,0.4807,0.4765,0.2659,100.0,26.59,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,3.0618,-0.8143,2.2475,1.6657,0.1333,-0.5762,1.0894
10,BTCUSD,SHORT,"[66233.00, 66503.50]",2024-06-16 10:30 IST,2024-06-16 11:30 IST,2024-06-16 15:30 IST,66300.625,66503.5,65902.8212,0.306,100.0,30.6,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,2.2475,-0.6877,1.5598,1.0894,0.0872,-0.4205,0.6689
