ob_id,asset,timeframe,direction,decision_timestamp,creation_timestamp,confirmation_timestamp,formation_bar_index,break_bar_index,decision_bar_index,entry_price,sl_price,tp_price,risk_distance,stop_distance_percent,leverage,structural_event_id,structure_origin,ob_high,ob_low,realized_r,tp_first,mfe_r,mae_r,holding_bars,exit_reason,label_available_timestamp,feat_ob_width_pct,feat_ob_width_atr,feat_stop_distance_pct,feat_stop_distance_atr,feat_entry_depth_in_zone,feat_mitigation_depth_pct,feat_formation_body_ratio,feat_formation_range_atr,feat_displacement_atr,feat_bars_since_formation,feat_bars_since_break,feat_pre_decision_retests,feat_price_to_entry_atr,feat_is_bos,feat_is_choch,feat_origin_swing,feat_trend_align_internal,feat_trend_align_swing,feat_premium_discount,feat_dist_nearest_pivot_atr,feat_atr_pct,feat_atr_percentile,feat_realized_vol_20,feat_vol_expansion,feat_ret_5,feat_ret_15,feat_ret_50,feat_volume_ratio,feat_direction_long
BTCUSD_230_BEARISH_218_223,BTCUSD,1h,SHORT,2024-06-10T14:00:00+00:00,2024-06-10T02:00:00+00:00,2024-06-10T07:00:00+00:00,218,223,230,69612.0,69813.0,69267.43,201.0,0.288743,100,internal|choch|brk223|form218,internal,69813.0,69612.0,-1.0,0,0.0,2.915423,1,SL_HIT,2024-06-10T15:00:00+00:00,0.288424,0.646305,0.288743,0.646305,0.616915,0.393035,0.435323,0.646305,0.429262,12.0,7.0,0.0,0.24759,0.0,1.0,0.0,0.0,0.0,0.368051,0.16238,0.446266,9.375,0.136181,1.192931,0.323187,0.035169,0.462749,1.415776,0.0
ETHUSD_231_BEARISH_213_222,ETHUSD,1h,SHORT,2024-06-10T15:00:00+00:00,2024-06-09T21:00:00+00:00,2024-06-10T06:00:00+00:00,213,222,231,3706.6125,3727.65,3670.55,21.0375,0.567567,61,internal|choch|brk222|form213,internal,3727.65,3699.6,1.714201,1,1.944742,0.0,4,TP_HIT,2024-06-10T19:00:00+00:00,0.757821,1.508172,0.567567,1.131129,0.935829,0.502674,0.356506,1.508172,0.645207,18.0,9.0,0.0,0.280262,0.0,1.0,0.0,0.0,0.0,0.440788,0.040325,0.502477,21.212121,0.278779,1.889919,0.623904,0.204394,0.37831,1.930762,0.0
BTCUSD_235_BULLISH_225_231,BTCUSD,1h,LONG,2024-06-10T19:00:00+00:00,2024-06-10T09:00:00+00:00,2024-06-10T15:00:00+00:00,225,231,235,69492.0,69186.0,70016.57,306.0,0.440338,79,internal|choch|brk231|form225,internal,69492.0,69186.0,-1.0,0,0.696078,3.272876,6,SL_HIT,2024-06-11T01:00:00+00:00,0.440383,0.974633,0.440338,0.974633,0.977124,0.312092,0.166667,0.974633,1.138664,10.0,4.0,0.0,0.022296,0.0,1.0,0.0,0.0,1.0,0.312864,0.068479,0.451845,40.540541,0.222709,1.36799,-0.292729,-0.291298,0.023032,2.261877,1.0
XRPUSD_236_BULLISH_223_230,XRPUSD,1h,LONG,2024-06-10T20:00:00+00:00,2024-06-10T07:00:00+00:00,2024-06-10T14:00:00+00:00,223,230,236,0.4965,0.4939,0.5,0.0026,0.523666,66,internal|bos|brk230|form223,internal,0.4965,0.4939,-1.0,0,0.230769,6.269231,5,SL_HIT,2024-06-11T01:00:00+00:00,0.524088,1.236446,0.523666,1.236446,0.846154,0.730769,0.461538,1.236446,2.568003,13.0,6.0,1.0,0.190222,1.0,0.0,0.0,0.0,1.0,0.583007,0.380445,0.423866,76.315789,0.400479,1.474224,-1.742919,-0.361518,0.547223,1.246149,1.0
XRPUSD_237_BULLISH_206_211,XRPUSD,1h,LONG,2024-06-10T21:00:00+00:00,2024-06-09T14:00:00+00:00,2024-06-09T19:00:00+00:00,206,211,237,0.4953,0.4935,0.5,0.0018,0.363416,96,internal|bos|brk211|form206,internal,0.4953,0.4935,-1.0,0,1.0,8.388889,4,SL_HIT,2024-06-11T01:00:00+00:00,0.363489,0.858456,0.363416,0.858456,0.944444,0.777778,0.333333,0.858456,0.095384,31.0,26.0,4.0,0.047692,1.0,0.0,0.0,0.0,1.0,0.571242,0.047692,0.423422,69.230769,0.372417,0.286152,-1.511535,-0.22164,0.283516,0.95207,1.0
SOLUSD_239_BULLISH_229_231,SOLUSD,1h,LONG,2024-06-10T23:00:00+00:00,2024-06-10T13:00:00+00:00,2024-06-10T15:00:00+00:00,229,231,239,158.95375,157.948,160.68,1.00575,0.632731,55,internal|bos|brk231|form229,internal,159.289,157.948,-1.0,0,0.769824,3.266965,2,SL_HIT,2024-06-11T01:00:00+00:00,0.842506,1.227585,0.632731,0.920689,0.909769,0.480984,0.401193,1.227585,2.179627,10.0,8.0,3.0,0.19613,1.0,0.0,0.0,0.0,1.0,0.340293,0.611504,0.686312,90.243902,0.613673,0.479683,-1.847331,-0.149931,0.005655,0.455728,1.0
ETHUSD_271_BEARISH_252_255,ETHUSD,1h,SHORT,2024-06-12T07:00:00+00:00,2024-06-11T12:00:00+00:00,2024-06-11T15:00:00+00:00,252,255,271,3530.6875,3547.0,3502.72,16.3125,0.46202,75,internal|bos|brk255|form252,internal,3547.0,3525.25,-1.0,0,0.786973,1.999234,3,SL_HIT,2024-06-12T10:00:00+00:00,0.616462,1.062152,0.46202,0.796614,0.864368,0.36092,0.23908,1.062152,3.389119,19.0,16.0,1.0,0.121476,1.0,0.0,0.0,0.0,1.0,0.32879,1.037735,0.580389,82.191781,0.540203,0.656825,0.961483,2.201495,-4.239496,0.630652,0.0
BTCUSD_280_BEARISH_231_241,BTCUSD,1h,SHORT,2024-06-12T16:00:00+00:00,2024-06-10T15:00:00+00:00,2024-06-11T01:00:00+00:00,231,241,280,69769.75,70198.0,69035.61,428.25,0.613805,57,internal|choch|brk241|form231,internal,70198.0,69627.0,1.714279,1,2.746643,0.299475,2,TP_HIT,2024-06-12T18:00:00+00:00,0.819913,1.654821,0.613805,1.241116,0.974606,0.695271,0.626095,1.654821,1.954776,49.0,39.0,3.0,0.371683,0.0,1.0,0.0,0.0,1.0,0.867263,0.13766,0.495469,100.0,0.56399,1.447606,2.718349,3.652465,-0.06816,1.915946,0.0
SOLUSD_307_BULLISH_265_268,SOLUSD,1h,LONG,2024-06-13T19:00:00+00:00,2024-06-12T01:00:00+00:00,2024-06-12T04:00:00+00:00,265,268,307,147.6325,145.645,151.04,1.9875,1.346248,25,internal|choch|brk268|form265,internal,148.295,145.645,-1.0,0,0.963774,2.05761,19,SL_HIT,2024-06-14T14:00:00+00:00,1.792782,2.005783,1.346248,1.504337,0.818868,0.773585,0.48717,2.005783,0.990781,42.0,39.0,4.0,0.138134,0.0,1.0,0.0,0.0,1.0,0.141249,1.587975,0.893806,96.330275,0.619293,0.764468,-0.77559,-2.884268,0.081249,0.896353,1.0
XRPUSD_344_BEARISH_325_327,XRPUSD,1h,SHORT,2024-06-15T08:00:00+00:00,2024-06-14T13:00:00+00:00,2024-06-14T15:00:00+00:00,325,327,344,0.479,0.4807,0.48,0.0017,0.354906,98,internal|bos|brk327|form325,internal,0.4807,0.479,0.588235,1,0.176471,0.647059,1,TP_HIT,2024-06-15T09:00:00+00:00,0.35461,0.696152,0.354906,0.696152,0.764706,0.411765,0.176471,0.696152,1.842756,19.0,17.0,2.0,0.163801,1.0,0.0,0.0,0.0,1.0,0.526042,0.245701,0.509386,73.972603,0.496027,0.532352,0.608604,2.217484,-1.215743,1.10914,0.0
BTCUSD_365_BEARISH_351_356,BTCUSD,1h,SHORT,2024-06-16T05:00:00+00:00,2024-06-15T15:00:00+00:00,2024-06-15T20:00:00+00:00,351,356,365,66233.0,66503.5,65769.29,270.5,0.408407,85,internal|bos|brk356|form351,internal,66503.5,66233.0,-1.0,0,0.18854,2.03512,5,SL_HIT,2024-06-16T10:00:00+00:00,0.40812,0.772622,0.408407,0.772622,0.828096,0.251386,0.338262,0.772622,0.308478,14.0,9.0,2.0,0.132817,1.0,0.0,0.0,0.0,1.0,0.242847,0.008569,0.528228,50.898204,0.105294,0.301337,0.174566,0.052079,-0.721229,0.479827,0.0
ETHUSD_385_BULLISH_374_382,ETHUSD,1h,LONG,2024-06-17T01:00:00+00:00,2024-06-16T14:00:00+00:00,2024-06-16T22:00:00+00:00,374,382,385,3604.4,3578.45,3648.89,25.95,0.719953,48,internal|bos|brk382|form374,internal,3613.05,3578.45,-1.0,0,0.188825,1.055877,2,SL_HIT,2024-06-17T03:00:00+00:00,0.957945,1.549982,0.719953,1.162486,0.966763,0.267341,0.397399,1.549982,1.325996,11.0,3.0,0.0,0.335979,1.0,0.0,0.0,1.0,1.0,0.849488,0.051517,0.618036,62.566845,0.334843,1.052733,0.266496,1.175086,3.720189,1.051597,1.0
