month,trade_count,win_count,loss_count,win_rate_pct,expectancy_r,total_r,starting_capital_10pct,ending_capital_10pct
2024-06,29,8,21,27.59,-0.3942,-11.43,10.0,2.73
2024-07,49,18,31,36.73,-0.2507,-12.29,2.73,0.62
2024-08,38,10,28,26.32,-0.4763,-18.1,0.62,0.08
2024-09,47,16,31,34.04,-0.3254,-15.29,0.08,0.01
2024-10,48,13,35,27.08,-0.4204,-20.18,0.01,0.0
2024-11,43,17,26,39.53,-0.2093,-9.0,0.0,0.0
2024-12,49,13,36,26.53,-0.4548,-22.29,0.0,0.0
2025-01,44,17,27,38.64,-0.1948,-8.57,0.0,0.0
2025-02,30,11,19,36.67,-0.2667,-8.0,0.0,0.0
2025-03,28,12,16,42.86,-0.1173,-3.29,0.0,0.0
2025-04,39,18,21,46.15,-0.0586,-2.29,0.0,0.0
2025-05,50,18,32,36.0,-0.2657,-13.29,0.0,0.0
2025-06,40,13,27,32.5,-0.2791,-11.17,0.0,0.0
2025-07,46,17,29,36.96,-0.1988,-9.14,0.0,0.0
2025-08,41,18,23,43.9,-0.0697,-2.86,0.0,0.0
2025-09,49,23,26,46.94,0.0262,1.29,0.0,0.0
2025-10,42,16,26,38.1,-0.2211,-9.29,0.0,0.0
2025-11,37,13,24,35.14,-0.278,-10.29,0.0,0.0
2025-12,53,18,35,33.96,-0.2803,-14.86,0.0,0.0
2026-01,36,14,22,38.89,-0.1429,-5.14,0.0,0.0
2026-02,28,8,20,28.57,-0.4286,-12.0,0.0,0.0
2026-03,35,15,20,42.86,-0.0816,-2.86,0.0,0.0
2026-04,40,12,28,30.0,-0.3821,-15.29,0.0,0.0
2026-05,45,19,26,42.22,-0.0921,-4.14,0.0,0.0
2026-06,33,18,15,54.55,0.1342,4.43,0.0,0.0
2026-07,45,20,25,44.44,-0.0794,-3.57,0.0,0.0
2026-08,21,7,14,33.33,-0.2313,-4.86,0.0,0.0
