trade_number,timestamp,exit_timestamp,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_percent,tp_regime,entry_price,sl_price,tp_price,risk_distance,reward_distance,planned_rr,outcome,realized_R,starting_capital_10pct,risk_amount_10pct,pnl_dollar_10pct,ending_capital_10pct,starting_capital_1pct,risk_amount_1pct,pnl_dollar_1pct,ending_capital_1pct,holding_time_hours,exit_reason,ambiguity_status
1,2024-06-10T14:00:00+00:00,2024-06-10T15:00:00+00:00,BTCUSD,SHORT,BTCUSD_230_BEARISH_218_223,69813.0,69612.0,201.0,0.2884,REGIME_A_LE_06,69612.0,69813.0,69267.4286,201.0,344.5714,1.7143,SL_HIT,-1.0,10.0,1.0,-1.0,9.0,10.0,0.1,-0.1,9.9,1,SL_HIT,UNAMBIGUOUS
2,2024-06-10T15:00:00+00:00,2024-06-10T19:00:00+00:00,ETHUSD,SHORT,ETHUSD_231_BEARISH_213_222,3727.65,3699.6,28.05,0.7578,REGIME_B_GT_06,3706.6125,3727.65,3685.575,21.0375,21.0375,1.0,TP_HIT,1.0,9.0,0.9,0.9,9.9,9.9,0.099,0.099,9.999,4,TP_HIT,UNAMBIGUOUS
3,2024-06-10T19:00:00+00:00,2024-06-11T01:00:00+00:00,BTCUSD,LONG,BTCUSD_235_BULLISH_225_231,69492.0,69186.0,306.0,0.4404,REGIME_A_LE_06,69492.0,69186.0,70016.5714,306.0,524.5714,1.7143,SL_HIT,-1.0,9.9,0.99,-0.99,8.91,9.999,0.1,-0.1,9.899,6,SL_HIT,UNAMBIGUOUS
4,2024-06-12T07:00:00+00:00,2024-06-12T10:00:00+00:00,ETHUSD,SHORT,ETHUSD_271_BEARISH_252_255,3547.0,3525.25,21.75,0.6165,REGIME_B_GT_06,3530.6875,3547.0,3514.375,16.3125,16.3125,1.0,SL_HIT,-1.0,8.91,0.891,-0.891,8.019,9.899,0.099,-0.099,9.8,3,SL_HIT,UNAMBIGUOUS
5,2024-06-12T16:00:00+00:00,2024-06-12T18:00:00+00:00,BTCUSD,SHORT,BTCUSD_280_BEARISH_231_241,70198.0,69627.0,571.0,0.8199,REGIME_B_GT_06,69769.75,70198.0,69341.5,428.25,428.25,1.0,TP_HIT,1.0,8.019,0.8019,0.8019,8.8209,9.8,0.098,0.098,9.898,2,TP_HIT,UNAMBIGUOUS
6,2024-06-13T19:00:00+00:00,2024-06-14T14:00:00+00:00,SOLUSD,LONG,SOLUSD_307_BULLISH_265_268,148.295,145.645,2.65,1.7928,REGIME_B_GT_06,147.6325,145.645,149.62,1.9875,1.9875,1.0,SL_HIT,-1.0,8.8209,0.8821,-0.8821,7.9388,9.898,0.099,-0.099,9.799,19,SL_HIT,UNAMBIGUOUS
7,2024-06-15T08:00:00+00:00,2024-06-15T09:00:00+00:00,XRPUSD,SHORT,XRPUSD_344_BEARISH_325_327,0.4807,0.479,0.0017,0.3546,REGIME_A_LE_06,0.479,0.4807,0.4761,0.0017,0.0029,1.7143,TIMEOUT_EXIT,-0.1471,7.9388,0.7939,-0.1167,7.8221,9.799,0.098,-0.0144,9.7846,1,TIMEOUT_EXIT,UNAMBIGUOUS
8,2024-06-16T05:00:00+00:00,2024-06-16T10:00:00+00:00,BTCUSD,SHORT,BTCUSD_365_BEARISH_351_356,66503.5,66233.0,270.5,0.4081,REGIME_A_LE_06,66233.0,66503.5,65769.2857,270.5,463.7143,1.7143,SL_HIT,-1.0,7.8221,0.7822,-0.7822,7.0399,9.7846,0.0978,-0.0978,9.6868,5,SL_HIT,UNAMBIGUOUS
9,2024-06-17T01:00:00+00:00,2024-06-17T03:00:00+00:00,ETHUSD,LONG,ETHUSD_385_BULLISH_374_382,3613.05,3578.45,34.6,0.9579,REGIME_B_GT_06,3604.4,3578.45,3630.35,25.95,25.95,1.0,SL_HIT,-1.0,7.0399,0.704,-0.704,6.3359,9.6868,0.0969,-0.0969,9.5899,2,SL_HIT,UNAMBIGUOUS
10,2024-06-17T06:00:00+00:00,2024-06-17T07:00:00+00:00,XRPUSD,LONG,XRPUSD_390_BULLISH_386_389,0.4869,0.4849,0.002,0.4114,REGIME_A_LE_06,0.4869,0.4849,0.4903,0.002,0.0034,1.7143,SL_HIT,-1.0,6.3359,0.6336,-0.6336,5.7023,9.5899,0.0959,-0.0959,9.494,1,SL_HIT,AMBIGUOUS_RESOLVED_CONSERVATIVE
