label,month,trades,wins,losses,wr_pct,total_strategy_R,total_net_R,end_capital
compound_50bp,2024-06,6,3,3,50.0,-0.9041,-1.9843,8.984543
compound_50bp,2024-07,15,9,6,60.0,1.6728,-0.0584,8.81565
compound_50bp,2024-08,16,12,4,75.0,3.3984,1.9458,9.604685
compound_50bp,2024-09,21,14,7,66.67,1.6623,-0.2524,9.328753
compound_50bp,2024-10,18,8,10,44.44,-2.1409,-4.8948,7.108641
compound_50bp,2024-11,17,13,4,76.47,3.3541,1.9537,7.753912
compound_50bp,2024-12,13,9,4,69.23,2.6629,1.4207,8.214376
compound_50bp,2025-01,21,14,7,66.67,2.2161,0.2852,8.18757
compound_50bp,2025-02,16,11,5,68.75,5.882,4.097,9.791695
compound_50bp,2025-03,13,10,3,76.92,5.8362,4.4321,12.022622
compound_50bp,2025-04,14,12,2,85.71,6.7985,5.4364,15.604118
compound_50bp,2025-05,24,19,5,79.17,10.2847,7.5684,22.289025
compound_50bp,2025-06,20,11,9,55.0,2.4729,-0.5561,21.055272
compound_50bp,2025-07,17,9,8,52.94,4.1582,0.9674,20.941684
compound_50bp,2025-08,12,8,4,66.67,3.2947,1.8163,22.618219
compound_50bp,2025-09,21,14,7,66.67,7.8526,4.1804,26.917227
compound_50bp,2025-10,24,19,5,79.17,11.4105,8.5313,40.244964
compound_50bp,2025-11,13,9,4,69.23,1.9557,0.7012,41.201914
compound_50bp,2025-12,18,12,6,66.67,3.6142,1.8348,44.380124
compound_50bp,2026-01,16,12,4,75.0,8.5782,6.0021,58.607124
compound_50bp,2026-02,13,12,1,92.31,8.2098,6.8975,81.921868
compound_50bp,2026-03,18,15,3,83.33,8.7614,6.7919,113.27493
compound_50bp,2026-04,16,7,9,43.75,-1.4266,-3.7656,91.58519
compound_50bp,2026-05,14,10,4,71.43,6.2253,3.9875,109.757203
compound_50bp,2026-06,10,8,2,80.0,5.2111,4.0861,133.284842
compound_50bp,2026-07,25,17,8,68.0,6.9015,3.7384,156.465437
compound_50bp,2026-08,14,7,7,50.0,4.1161,1.7273,163.726044
compound_75bp,2024-06,6,3,3,50.0,-0.9041,-1.9843,8.463512
compound_75bp,2024-07,15,9,6,60.0,1.6728,-0.0584,8.125438
compound_75bp,2024-08,16,12,4,75.0,3.3984,1.9458,9.159124
compound_75bp,2024-09,21,14,7,66.67,1.6623,-0.2524,8.655914
compound_75bp,2024-10,18,8,10,44.44,-2.1409,-4.8948,5.639731
compound_75bp,2024-11,17,13,4,76.47,3.3541,1.9537,6.371852
compound_75bp,2024-12,13,9,4,69.23,2.6629,1.4207,6.879042
compound_75bp,2025-01,21,14,7,66.67,2.2161,0.2852,6.75391
compound_75bp,2025-02,16,11,5,68.75,5.882,4.097,8.67322
compound_75bp,2025-03,13,10,3,76.92,5.8362,4.4321,11.662736
compound_75bp,2025-04,14,12,2,85.71,6.7985,5.4364,17.104938
compound_75bp,2025-05,24,19,5,79.17,10.2847,7.5684,28.728503
compound_75bp,2025-06,20,11,9,55.0,2.4729,-0.5561,25.80106
compound_75bp,2025-07,17,9,8,52.94,4.1582,0.9674,24.702741
compound_75bp,2025-08,12,8,4,66.67,3.2947,1.8163,27.441446
compound_75bp,2025-09,21,14,7,66.67,7.8526,4.1804,34.716528
compound_75bp,2025-10,24,19,5,79.17,11.4105,8.5313,62.332819
compound_75bp,2025-11,13,9,4,69.23,1.9557,0.7012,64.004855
compound_75bp,2025-12,18,12,6,66.67,3.6142,1.8348,70.614117
compound_75bp,2026-01,16,12,4,75.0,8.5782,6.0021,105.426687
compound_75bp,2026-02,13,12,1,92.31,8.2098,6.8975,172.97675
compound_75bp,2026-03,18,15,3,83.33,8.7614,6.7919,278.028234
compound_75bp,2026-04,16,7,9,43.75,-1.4266,-3.7656,198.412494
compound_75bp,2026-05,14,10,4,71.43,6.2253,3.9875,256.744366
compound_75bp,2026-06,10,8,2,80.0,5.2111,4.0861,341.031388
compound_75bp,2026-07,25,17,8,68.0,6.9015,3.7384,425.10108
compound_75bp,2026-08,14,7,7,50.0,4.1161,1.7273,442.571692
compound_100bp,2024-06,6,3,3,50.0,-0.9041,-1.9843,7.937387
compound_100bp,2024-07,15,9,6,60.0,1.6728,-0.0584,7.393195
compound_100bp,2024-08,16,12,4,75.0,3.3984,1.9458,8.570097
compound_100bp,2024-09,21,14,7,66.67,1.6623,-0.2524,7.810746
compound_100bp,2024-10,18,8,10,44.44,-2.1409,-4.8948,4.289485
compound_100bp,2024-11,17,13,4,76.47,3.3541,1.9537,4.991239
compound_100bp,2024-12,13,9,4,69.23,2.6629,1.4207,5.455105
compound_100bp,2025-01,21,14,7,66.67,2.2161,0.2852,5.226864
compound_100bp,2025-02,16,11,5,68.75,5.882,4.097,7.126038
compound_100bp,2025-03,13,10,3,76.92,5.8362,4.4321,10.416325
compound_100bp,2025-04,14,12,2,85.71,6.7985,5.4364,17.171317
compound_100bp,2025-05,24,19,5,79.17,10.2847,7.5684,33.54386
compound_100bp,2025-06,20,11,9,55.0,2.4729,-0.5561,28.214832
compound_100bp,2025-07,17,9,8,52.94,4.1582,0.9674,24.598304
compound_100bp,2025-08,12,8,4,66.67,3.2947,1.8163,27.909041
compound_100bp,2025-09,21,14,7,66.67,7.8526,4.1804,37.719641
compound_100bp,2025-10,24,19,5,79.17,11.4105,8.5313,80.364802
compound_100bp,2025-11,13,9,4,69.23,1.9557,0.7012,82.272082
compound_100bp,2025-12,18,12,6,66.67,3.6142,1.8348,92.140991
