episode_id,peak_time,trough_time,recovery_time,drawdown_pct,drawdown_dollar,trades_to_recovery,hours_to_recovery,days_to_recovery,months_to_recovery,recovered
1,2024-06-20T06:00:00+00:00,2024-06-30T20:00:00+00:00,2024-07-20T22:00:00+00:00,12.8081,1.2808,13,736.0,30.67,1.01,True
2,2024-07-21T18:00:00+00:00,2024-08-09T12:00:00+00:00,2024-09-05T09:00:00+00:00,24.3419,2.5368,26,1095.0,45.62,1.5,True
3,2024-09-06T13:00:00+00:00,2024-11-15T21:00:00+00:00,2025-03-18T14:00:00+00:00,41.6972,4.5595,109,4633.0,193.04,6.34,True
4,2025-03-26T20:00:00+00:00,2025-03-28T10:00:00+00:00,2025-03-31T14:00:00+00:00,5.2068,0.6165,4,114.0,4.75,0.16,True
5,2025-03-31T14:00:00+00:00,2025-04-04T11:00:00+00:00,2025-04-04T23:00:00+00:00,5.3984,0.649,3,105.0,4.38,0.14,True
6,2025-04-22T10:00:00+00:00,2025-04-23T15:00:00+00:00,2025-04-28T04:00:00+00:00,5.5466,0.8259,4,138.0,5.75,0.19,True
7,2025-04-30T00:00:00+00:00,2025-05-01T09:00:00+00:00,2025-05-02T08:00:00+00:00,5.7519,0.8975,2,56.0,2.33,0.08,True
8,2025-05-06T09:00:00+00:00,2025-05-07T00:00:00+00:00,2025-05-08T21:00:00+00:00,5.5292,1.0751,3,60.0,2.5,0.08,True
9,2025-05-14T14:00:00+00:00,2025-05-19T06:00:00+00:00,2025-05-25T01:00:00+00:00,5.8046,1.2098,4,251.0,10.46,0.34,True
10,2025-05-25T23:00:00+00:00,2025-05-26T05:00:00+00:00,2025-05-28T17:00:00+00:00,5.9318,1.305,3,66.0,2.75,0.09,True
11,2025-05-29T15:00:00+00:00,2025-05-31T01:00:00+00:00,2025-06-01T09:00:00+00:00,5.3721,1.2654,2,66.0,2.75,0.09,True
12,2025-06-01T09:00:00+00:00,2025-07-25T04:00:00+00:00,2025-09-14T13:00:00+00:00,35.3877,8.4413,61,2524.0,105.17,3.46,True
13,2025-09-17T20:00:00+00:00,2025-09-20T23:00:00+00:00,2025-09-23T04:00:00+00:00,8.5206,2.1355,4,128.0,5.33,0.18,True
14,2025-09-24T02:00:00+00:00,2025-10-09T16:00:00+00:00,2025-10-13T17:00:00+00:00,16.0737,4.5285,10,471.0,19.62,0.64,True
15,2025-10-22T04:00:00+00:00,2025-10-22T10:00:00+00:00,2025-10-26T08:00:00+00:00,5.8268,1.9445,3,100.0,4.17,0.14,True
16,2025-10-30T20:00:00+00:00,2025-11-13T16:00:00+00:00,2025-12-04T20:00:00+00:00,12.9135,5.4375,18,840.0,35.0,1.15,True
17,2025-12-04T20:00:00+00:00,2025-12-17T17:00:00+00:00,2025-12-26T03:00:00+00:00,11.3243,4.7972,8,511.0,21.29,0.7,True
18,2025-12-28T18:00:00+00:00,2025-12-29T01:00:00+00:00,2025-12-30T08:00:00+00:00,5.2847,2.4244,3,38.0,1.58,0.05,True
19,2025-12-30T08:00:00+00:00,2025-12-31T16:00:00+00:00,2026-01-06T07:00:00+00:00,5.6408,2.6234,3,167.0,6.96,0.23,True
20,2026-01-09T01:00:00+00:00,2026-01-10T21:00:00+00:00,2026-01-12T17:00:00+00:00,6.643,3.5345,3,88.0,3.67,0.12,True
21,2026-01-13T05:00:00+00:00,2026-01-17T15:00:00+00:00,2026-01-28T00:00:00+00:00,11.5399,6.5424,7,355.0,14.79,0.49,True
22,2026-02-20T11:00:00+00:00,2026-02-25T18:00:00+00:00,2026-03-09T06:00:00+00:00,5.4205,4.5398,4,403.0,16.79,0.55,True
23,2026-03-12T15:00:00+00:00,2026-04-11T16:00:00+00:00,2026-06-21T08:00:00+00:00,27.0924,30.773,43,2417.0,100.71,3.31,True
24,2026-06-21T15:00:00+00:00,2026-06-24T15:00:00+00:00,2026-06-28T11:00:00+00:00,5.4683,6.845,3,164.0,6.83,0.22,True
25,2026-07-04T16:00:00+00:00,2026-07-05T09:00:00+00:00,2026-07-06T17:00:00+00:00,5.4275,7.7695,3,49.0,2.04,0.07,True
26,2026-07-15T17:00:00+00:00,2026-07-16T17:00:00+00:00,2026-07-19T12:00:00+00:00,5.7688,10.4717,3,91.0,3.79,0.12,True
27,2026-07-20T01:00:00+00:00,2026-08-02T04:00:00+00:00,UNRECOVERED,27.0218,51.1705,25,854.0,35.58,1.17,False
