experiment,removed_count,remaining_trades,win_rate_pct,total_strategy_R,total_net_R,profit_factor,expectancy_net_R,ending_capital,total_return_pct,max_drawdown_pct
Remove Best 1,1,444,68.2432,116.592,62.1549,1.3357,0.139989,130.905504,1209.055,41.6972
Remove Worst 1,1,444,68.4685,123.0586,68.0681,1.4463,0.153307,172.029916,1620.2992,41.6972
Remove Best 5,5,440,67.9545,111.9752,58.1538,1.2877,0.132168,107.693197,976.932,41.6972
Remove Worst 5,5,440,69.0909,127.0586,72.7287,1.6079,0.165293,218.715294,2087.1529,41.6972
Remove Best 10,10,435,67.5862,105.839,52.8359,1.2277,0.121462,83.129114,731.2911,46.9358
Remove Worst 10,10,435,69.8851,132.0586,78.5572,2.008,0.180591,295.316261,2853.1626,41.6972
Remove Best 20,20,425,66.8235,92.4218,41.208,1.1377,0.09696,47.287082,372.8708,59.3951
Remove Worst 20,20,425,71.5294,142.0586,90.1696,3.5912,0.212164,537.221357,5272.2136,41.6972
Remove Best 50,50,395,64.3038,56.4762,10.0527,1.0055,0.02545,10.862242,8.6224,80.168
Remove Worst 50,50,395,76.962,172.0586,124.6639,43.587,0.315605,3145.597693,31355.9769,41.6972
