trade_num,asset,direction,ob_zone,decision_time_ist,entry_time_ist,exit_time_ist,entry_price,sl_price,tp_price,sl_dist_pct,leverage,actual_sl_risk_pct,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net,month
1,BTCUSD,SHORT,"[90001.00, 90459.00]",2026-01-03 17:30 IST,2026-01-03 19:30 IST,2026-01-04 02:30 IST,90115.5,90459.0,89574.807,0.3812,91.82,35.0,55.09,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.0,-3.5,6.5,10.0,0.7346,-4.2346,5.7654,2026-01
2,BTCUSD,SHORT,"[91268.00, 91660.00]",2026-01-08 22:30 IST,2026-01-08 22:30 IST,2026-01-08 22:30 IST,91366.0,91660.0,90817.804,0.3218,100.0,32.18,60.0,FILLED_TP,1.8646,N/A,6.5,3.9,10.4,5.7654,0.4612,2.998,8.7635,2026-01
3,BTCUSD,LONG,"[90369.00, 90619.50]",2026-01-10 19:30 IST,2026-01-10 19:30 IST,2026-01-11 03:30 IST,90556.875,90369.0,91100.2162,0.2075,100.0,20.75,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.4,-2.1576,8.2424,8.7635,0.7011,-2.5192,6.2443,2026-01
4,BTCUSD,LONG,"[90541.50, 90767.00]",2026-01-12 00:30 IST,2026-01-12 00:30 IST,2026-01-12 01:30 IST,90710.625,90541.5,91254.8887,0.1864,100.0,18.64,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,8.2424,-1.5367,6.7056,6.2443,0.4995,-1.6637,4.5805,2026-01
5,BTCUSD,SHORT,"[90844.00, 91257.50]",2026-01-12 04:30 IST,2026-01-12 04:30 IST,2026-01-12 04:30 IST,90947.375,91257.5,90401.6907,0.341,100.0,34.1,60.0,FILLED_TP,1.7596,N/A,6.7056,4.0234,10.729,4.5805,0.3664,2.3819,6.9624,2026-01
6,BTCUSD,LONG,"[90195.00, 91009.50]",2026-01-12 13:30 IST,2026-01-12 13:30 IST,2026-01-12 13:30 IST,90805.875,90195.0,91350.7103,0.6727,52.03,35.0,31.22,FILLED_TP,0.8919,N/A,10.729,3.3492,14.0782,6.9624,0.2898,1.8836,8.846,2026-01
7,BTCUSD,LONG,"[90095.00, 90614.00]",2026-01-12 15:30 IST,2026-01-12 15:30 IST,2026-01-12 19:30 IST,90484.25,90095.0,91027.1555,0.4302,81.36,35.0,48.82,FILLED_SL,-1.0,DUAL_TOUCH_AMBIGUITY,14.0782,-4.9274,9.1508,8.846,0.5758,-3.6719,5.1741,2026-01
8,BTCUSD,SHORT,"[95538.50, 95815.50]",2026-01-17 20:30 IST,2026-01-17 20:30 IST,2026-01-18 03:30 IST,95607.75,95815.5,95034.1035,0.2173,100.0,21.73,60.0,FILLED_TP,2.7612,N/A,9.1508,5.4905,14.6413,5.1741,0.4139,2.6905,7.8647,2026-01
9,BTCUSD,SHORT,"[95387.50, 95626.00]",2026-01-19 03:30 IST,2026-01-19 03:30 IST,2026-01-19 04:30 IST,95447.125,95626.0,94874.4422,0.1874,100.0,18.74,60.0,FILLED_TP,3.2016,N/A,14.6413,8.7848,23.4261,7.8647,0.6292,4.0896,11.9543,2026-01
10,BTCUSD,LONG,"[87524.00, 87841.00]",2026-01-21 21:30 IST,2026-01-21 21:30 IST,2026-01-21 21:30 IST,87761.75,87524.0,88288.3205,0.2709,100.0,27.09,60.0,FILLED_TP,2.2148,N/A,23.4261,14.0556,37.4817,11.9543,0.9563,6.2162,18.1705,2026-01
11,BTCUSD,SHORT,"[89713.50, 90540.00]",2026-01-22 00:30 IST,2026-01-22 00:30 IST,2026-01-22 00:30 IST,89920.125,90540.0,89380.6043,0.6894,50.77,35.0,30.46,FILLED_TP,0.8704,N/A,37.4817,11.418,48.8997,18.1705,0.738,4.7972,22.9678,2026-01
12,BTCUSD,LONG,"[89108.00, 89544.50]",2026-01-23 11:30 IST,2026-01-23 11:30 IST,2026-01-23 13:30 IST,89435.375,89108.0,89971.9873,0.366,95.62,35.0,57.37,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,48.8997,-17.1149,31.7848,22.9678,1.7569,-9.7956,13.1722,2026-01
13,BTCUSD,LONG,"[86995.00, 87764.50]",2026-01-27 01:30 IST,2026-01-27 01:30 IST,2026-01-27 02:30 IST,87572.125,86995.0,88097.5578,0.659,53.11,35.0,31.87,FILLED_TP,0.9104,N/A,31.7848,10.1283,41.9131,13.1722,0.5596,3.6377,16.8099,2026-01
14,BTCUSD,SHORT,"[88619.00, 88953.00]",2026-01-27 07:30 IST,2026-01-27 07:30 IST,2026-01-27 09:30 IST,88702.5,88953.0,88170.285,0.2824,100.0,28.24,60.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,41.9131,-11.8365,30.0766,16.8099,1.3448,-6.092,10.7179,2026-01
15,BTCUSD,LONG,"[87538.50, 88173.50]",2026-01-29 13:30 IST,2026-01-29 13:30 IST,2026-01-29 19:30 IST,88014.75,87538.5,88542.8385,0.5411,64.68,35.0,38.81,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,30.0766,-10.5268,19.5498,10.7179,0.5546,-4.3059,6.412,2026-01
16,BTCUSD,SHORT,"[78107.00, 79202.00]",2026-02-02 18:30 IST,2026-02-02 18:30 IST,2026-02-02 18:30 IST,78380.75,79202.0,77910.4655,1.0478,33.4,35.0,20.04,FILLED_TP,0.5726,N/A,19.5498,3.9183,23.4681,6.412,0.1714,1.1138,7.5258,2026-02
17,BTCUSD,SHORT,"[78684.50, 79171.00]",2026-02-03 08:30 IST,2026-02-03 08:30 IST,2026-02-03 08:30 IST,78806.125,79171.0,78333.2882,0.463,75.59,35.0,45.36,FILLED_TP,1.2959,N/A,23.4681,10.6442,34.1123,7.5258,0.4551,2.9583,10.4841,2026-02
18,BTCUSD,SHORT,"[71013.50, 71950.00]",2026-02-07 03:30 IST,2026-02-07 03:30 IST,2026-02-07 03:30 IST,71247.625,71950.0,70820.1392,0.9858,35.5,35.0,21.3,FILLED_TP,0.6086,N/A,34.1123,7.2666,41.3789,10.4841,0.2978,1.9355,12.4196,2026-02
19,BTCUSD,SHORT,"[70571.00, 71673.50]",2026-02-08 22:30 IST,2026-02-08 22:30 IST,2026-02-08 22:30 IST,70846.625,71673.5,70421.5452,1.1671,29.99,35.0,17.99,FILLED_TP,0.5141,N/A,41.3789,7.4452,48.8241,12.4196,0.298,1.9367,14.3563,2026-02
20,BTCUSD,LONG,"[66646.50, 67185.50]",2026-02-12 20:30 IST,2026-02-12 20:30 IST,2026-02-12 20:30 IST,67050.75,66646.5,67453.0545,0.6029,58.05,35.0,34.83,FILLED_TP,0.9952,N/A,48.8241,17.0062,65.8303,14.3563,0.6667,4.3338,18.6901,2026-02
21,BTCUSD,LONG,"[69219.00, 69974.50]",2026-02-15 17:30 IST,2026-02-15 17:30 IST,2026-02-15 17:30 IST,69785.625,69219.0,70204.3387,0.812,43.11,35.0,25.86,FILLED_TP,0.739,N/A,65.8303,17.0261,82.8564,18.6901,0.6445,4.1894,22.8795,2026-02
22,BTCUSD,LONG,"[68121.00, 68445.00]",2026-02-16 18:30 IST,2026-02-16 18:30 IST,2026-02-16 18:30 IST,68364.0,68121.0,68774.184,0.3555,98.47,35.0,59.08,FILLED_TP,1.688,N/A,82.8564,48.9516,131.808,22.8795,1.8023,11.7149,34.5944,2026-02
23,BTCUSD,SHORT,"[68775.50, 69831.50]",2026-02-17 02:30 IST,2026-02-17 07:30 IST,2026-02-17 07:30 IST,69039.5,69831.5,68625.263,1.1472,30.51,35.0,18.31,FILLED_TP,0.523,N/A,131.808,24.1287,155.9367,34.5944,0.8444,5.4885,40.0829,2026-02
24,BTCUSD,SHORT,"[67008.00, 67308.50]",2026-02-19 23:30 IST,2026-02-20 00:30 IST,2026-02-20 00:30 IST,67083.125,67308.5,66680.6263,0.336,100.0,33.6,60.0,FILLED_TP,1.7859,N/A,155.9367,93.562,249.4987,40.0829,3.2066,20.8431,60.926,2026-02
25,BTCUSD,LONG,"[67497.00, 67977.50]",2026-02-22 03:30 IST,2026-02-22 05:30 IST,2026-02-22 19:30 IST,67857.375,67497.0,68264.5192,0.5311,65.9,35.0,39.54,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,249.4987,-87.3246,162.1742,60.926,3.2122,-24.5363,36.3897,2026-02
26,BTCUSD,LONG,"[66850.00, 67352.00]",2026-02-27 14:30 IST,2026-02-27 15:30 IST,2026-02-27 15:30 IST,67226.5,66850.0,67629.859,0.56,62.49,35.0,37.5,FILLED_SL,-1.0,INSTANT_BLOWTHROUGH,162.1742,-56.761,105.4132,36.3897,1.8193,-14.5557,21.834,2026-02
27,BTCUSD,LONG,"[64726.00, 65487.00]",2026-02-27 21:30 IST,2026-02-27 22:30 IST,2026-02-27 22:30 IST,65296.75,64726.0,65688.5305,0.8741,40.04,35.0,24.03,FILLED_TP,0.6864,N/A,105.4132,25.3256,130.7388,21.834,0.6994,4.5462,26.3802,2026-02
28,BTCUSD,SHORT,"[67928.50, 68891.50]",2026-03-04 10:30 IST,2026-03-04 10:30 IST,2026-03-04 10:30 IST,68169.25,68891.5,67760.2345,1.0595,33.03,35.0,19.82,FILLED_TP,0.5663,N/A,130.7388,25.9134,156.6523,26.3802,0.6972,4.5316,30.9118,2026-03
29,BTCUSD,SHORT,"[70582.50, 71429.00]",2026-03-04 13:30 IST,2026-03-04 13:30 IST,2026-03-04 13:30 IST,70794.125,71429.0,70369.3602,0.8968,39.03,35.0,23.42,FILLED_TP,0.6691,N/A,156.6523,36.683,193.3353,30.9118,0.9651,6.2734,37.1852,2026-03
30,BTCUSD,SHORT,"[72376.00, 73300.00]",2026-03-05 14:30 IST,2026-03-05 14:30 IST,2026-03-05 15:30 IST,72607.0,73300.0,72171.358,0.9545,36.67,35.0,22.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,193.3353,-67.6673,125.6679,37.1852,1.0909,-14.1057,23.0795,2026-03
31,BTCUSD,SHORT,"[70993.00, 71538.00]",2026-03-06 12:30 IST,2026-03-06 12:30 IST,2026-03-06 12:30 IST,71129.25,71538.0,70702.4745,0.5747,60.91,35.0,36.54,FILLED_TP,1.0441,N/A,125.6679,45.9234,171.5913,23.0795,1.1245,7.3095,30.389,2026-03
32,BTCUSD,LONG,"[67366.50, 68367.50]",2026-03-07 03:30 IST,2026-03-07 04:30 IST,2026-03-07 08:30 IST,68117.25,67366.5,68525.9535,1.1021,31.76,35.0,19.05,FILLED_TP,0.5444,N/A,171.5913,32.6946,204.286,30.389,0.772,5.0182,35.4072,2026-03
33,BTCUSD,SHORT,"[67148.50, 67466.00]",2026-03-08 12:30 IST,2026-03-08 12:30 IST,2026-03-08 13:30 IST,67227.875,67466.0,66824.5078,0.3542,98.81,35.0,59.29,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,204.286,-71.5001,132.7859,35.4072,2.7989,-15.1915,20.2157,2026-03
34,BTCUSD,SHORT,"[67816.00, 68210.50]",2026-03-08 15:30 IST,2026-03-08 15:30 IST,2026-03-08 16:30 IST,67914.625,68210.5,67507.1372,0.4357,80.34,35.0,48.2,FILLED_TP,1.3772,N/A,132.7859,64.0068,196.7927,20.2157,1.2993,8.4453,28.6611,2026-03
